time	vector.x	vector.y	vector.z	accel.x	accel.y	accel.z	gyro.x	gyro.y	gyro.z	bar	therm
2079.506250	847.289551	-51746.109375	19385.064453	-0.090056	9.951749	0.007025	0.051691	0.010901	-0.022514	1014.899963	42.732735
2079.517500	644.638550	-51771.328125	19352.644531	-0.093562	9.952181	0.013801	0.070253	0.012836	-0.027711	1014.899963	42.732735
2079.528750	615.945801	-51708.113281	19286.759766	-0.088029	9.970348	0.012908	0.073601	0.013557	-0.025922	1014.899963	42.732735
2079.540000	668.714966	-51752.972656	19374.767578	-0.080518	9.973550	0.011528	0.057871	0.012340	-0.019398	1014.899963	42.732735
2079.551250	808.205505	-51733.980469	19353.167969	-0.074502	9.968159	0.015377	0.034464	0.008829	-0.013351	1014.899963	42.732735
2079.562500	596.821533	-51733.964844	19430.134766	-0.084973	9.969295	0.022719	0.000684	0.005125	-0.006686	1014.899963	42.732735
2079.573750	678.593811	-51744.089844	19424.804687	-0.082255	9.968437	0.015172	-0.022154	0.002394	-0.002881	1014.899963	42.732735
2079.585000	767.479492	-51727.257812	19382.076172	-0.085432	9.959587	-0.001863	-0.038246	-0.000237	0.000681	1014.899963	42.732735
2079.596250	680.158325	-51770.558594	19347.835937	-0.084191	9.959421	0.004964	-0.031240	0.000359	0.001165	1014.899963	42.732735
2079.607500	782.127197	-51719.414062	19361.515625	-0.088947	9.958715	0.003306	-0.020284	0.001091	-0.002745	1014.899963	42.732735
2079.618750	617.513428	-51762.492187	19398.392578	-0.094416	9.970672	0.004527	0.010015	0.005141	-0.012860	1014.899963	42.732735
2079.630000	665.673401	-51748.460937	19301.798828	-0.089289	9.960802	0.011836	0.042940	0.009598	-0.020775	1014.899963	42.732735
2079.641250	738.845276	-51772.843750	19288.218750	-0.101539	9.967872	0.025283	0.062991	0.012478	-0.026322	1014.899963	42.732735
2079.652500	809.839233	-51755.621094	19254.828125	-0.088968	9.970188	0.011747	0.072951	0.012941	-0.026408	1014.899963	42.732735
2079.663750	729.741211	-51726.082031	19358.585937	-0.091517	9.965477	0.008998	0.063738	0.012707	-0.020333	1014.899963	42.732735
2079.675000	697.838989	-51764.828125	19502.113281	-0.089873	9.948425	0.010868	0.039997	0.009212	-0.014470	1014.899963	42.732735
2079.686250	686.094910	-51746.507812	19254.568359	-0.080411	9.962952	0.012647	0.013982	0.006324	-0.008692	1014.899963	42.732735
2079.697500	822.988403	-51796.804687	19237.302734	-0.086451	9.979054	0.017028	-0.015818	0.002698	-0.001705	1014.899963	42.732735
2079.708750	820.730042	-51747.339844	19369.763672	-0.095138	9.973614	0.010341	-0.029107	0.000374	0.000619	1014.889954	42.732735
2079.720000	731.572449	-51764.101562	19351.505859	-0.092040	9.961651	0.012281	-0.036901	-0.001003	0.002913	1014.889954	42.732735
2079.731250	646.921448	-51746.296875	19392.470703	-0.086752	9.965189	0.009778	-0.019638	0.000508	-0.002134	1014.889954	42.732735
2079.742500	727.526184	-51731.503906	19395.746094	-0.085046	9.970520	0.005994	0.009625	0.005440	-0.010416	1014.889954	42.732735
2079.753750	720.233459	-51748.894531	19358.921875	-0.088178	9.970722	0.006329	0.037196	0.008713	-0.019670	1014.889954	42.732735
2079.765000	678.179016	-51705.667969	19402.695312	-0.086960	9.962882	0.000169	0.061850	0.011350	-0.026348	1014.889954	42.732735
2079.776250	732.677612	-51763.269531	19551.167969	-0.081295	9.957950	0.004938	0.070759	0.013879	-0.025606	1014.889954	42.732735
2079.787500	687.117249	-51723.925781	19443.712891	-0.076400	9.958634	0.011732	0.068037	0.013044	-0.022211	1014.889954	42.732735
2079.798750	666.826965	-51766.363281	19423.345703	-0.088767	9.953714	0.017025	0.046595	0.010545	-0.015415	1014.889954	42.732735
2079.810000	656.470825	-51730.535156	19345.253906	-0.088794	9.956658	0.012194	0.019710	0.006492	-0.011126	1014.869995	42.735271
2079.821250	698.632812	-51737.496094	19369.035156	-0.094595	9.970140	0.020086	-0.009001	0.003660	-0.005391	1014.869995	42.735271
2079.832500	655.717163	-51752.851562	19338.921875	-0.087479	9.966847	0.003581	-0.031338	2.973161E-6	-9.842990E-5	1014.869995	42.735271
2079.843750	695.122864	-51733.382812	19392.998047	-0.090518	9.964307	0.017687	-0.035806	0.000333	0.002199	1014.869995	42.735271
2079.855000	677.907532	-51742.808594	19380.369141	-0.090781	9.978967	0.013486	-0.024963	0.000644	-0.003076	1014.869995	42.735271
2079.866250	613.499146	-51728.457031	19384.216797	-0.085844	9.971541	0.013894	0.000867	0.003838	-0.007177	1014.869995	42.735271
2079.877500	721.464844	-51764.042969	19334.474609	-0.075741	9.951948	0.014178	0.029119	0.007675	-0.017608	1014.869995	42.735271
2079.888750	628.412109	-51724.203125	19538.072266	-0.095043	9.970679	0.003252	0.050545	0.011583	-0.023527	1014.869995	42.735271
2079.900000	683.414062	-51779.242187	19584.070312	-0.097541	9.952441	0.000275	0.070838	0.012697	-0.026293	1014.909973	42.735271
2079.911250	723.491272	-51753.414062	19587.628906	-0.067139	9.959365	0.010936	0.068012	0.013665	-0.023075	1014.909973	42.735271
2079.922500	862.138733	-51722.570312	19388.175781	-0.087593	9.973859	0.008712	0.049667	0.010366	-0.017814	1014.909973	42.735271
2079.933750	845.369385	-51751.855469	19431.476562	-0.084917	9.965178	0.013065	0.022000	0.006949	-0.010425	1014.909973	42.735271
2079.945000	669.171631	-51726.042969	19475.742187	-0.082678	9.951755	0.017078	-0.000211	0.004919	-0.005607	1014.909973	42.735271
2079.956250	704.797729	-51757.515625	19346.984375	-0.078275	9.956343	0.017228	-0.026872	0.000571	-0.000244	1014.909973	42.735271
2079.967500	696.182983	-51741.316406	19305.378906	-0.088889	9.961838	0.012563	-0.037024	-1.827761E-5	0.001271	1014.909973	42.735271
2079.978750	710.163696	-51784.386719	19323.707031	-0.096128	9.974800	0.018062	-0.032478	-0.000126	0.001863	1014.909973	42.735271
2079.990000	784.021912	-51733.171875	19433.140625	-0.076581	9.964050	0.010633	-0.007843	0.004091	-0.004039	1014.909973	42.735271
2080.001250	608.085876	-51758.707031	19299.503906	-0.083426	9.964831	0.016787	0.021279	0.007066	-0.013570	1014.880005	42.732735
2080.012500	847.317688	-51758.105469	19344.486328	-0.083455	9.956875	0.017991	0.050193	0.010522	-0.022949	1014.880005	42.732735
2080.023750	746.427368	-51741.035156	19336.500000	-0.079718	9.955165	0.016470	0.066448	0.012721	-0.027114	1014.880005	42.732735
2080.035000	694.435486	-51768.910156	19503.371094	-0.089249	9.968134	0.016376	0.074323	0.014372	-0.025489	1014.880005	42.732735
2080.046250	757.022766	-51736.738281	19501.527344	-0.089486	9.969579	0.017442	0.061596	0.012902	-0.020487	1014.880005	42.732735
2080.057500	738.518555	-51768.609375	19372.363281	-0.082925	9.951113	0.016928	0.032131	0.008410	-0.012768	1014.880005	42.732735
2080.068750	778.074341	-51736.574219	19474.873047	-0.076565	9.956090	0.012091	0.000609	0.004448	-0.006774	1014.880005	42.732735
2080.080000	723.953247	-51760.078125	19357.183594	-0.097237	9.962212	0.025992	-0.019431	0.001693	-0.003107	1014.880005	42.732735
2080.091250	652.841003	-51737.187500	19315.656250	-0.081673	9.965330	0.020487	-0.037406	0.000310	0.001345	1014.880005	42.732735
2080.102500	632.606262	-51696.316406	19360.962891	-0.096868	9.968637	0.015226	-0.034652	-4.602004E-5	0.000996	1014.909973	42.732735
2080.113750	683.336121	-51759.574219	19432.982422	-0.084199	9.970023	0.003407	-0.017942	0.001204	-0.003801	1014.909973	42.732735
2080.125000	741.411072	-51720.093750	19473.605469	-0.074766	9.958003	0.001274	0.010918	0.005029	-0.011889	1014.909973	42.732735
2080.136250	810.762085	-51770.175781	19362.222656	-0.083474	9.952250	0.007595	0.040943	0.010365	-0.020575	1014.909973	42.732735
2080.147500	780.351929	-51709.046875	19309.021484	-0.087192	9.966784	0.007557	0.064502	0.013770	-0.026970	1014.909973	42.732735
2080.158750	647.129089	-51783.097656	19416.656250	-0.084670	9.967278	-0.002069	0.072275	0.013537	-0.025277	1014.909973	42.732735
2080.170000	664.795837	-51745.394531	19385.859375	-0.093350	9.957596	0.007819	0.063315	0.012669	-0.021791	1014.909973	42.732735
2080.181250	763.441650	-51727.363281	19408.832031	-0.082261	9.974908	0.003679	0.045552	0.010017	-0.015486	1014.909973	42.732735
2080.192500	699.718933	-51735.988281	19289.898437	-0.083907	9.970848	0.024697	0.015903	0.006688	-0.009538	1014.909973	42.732735
2080.203750	789.326660	-51756.097656	19519.904297	-0.087098	9.970311	0.007091	-0.014587	0.002725	-0.002646	1014.899963	42.730389
2080.215000	724.573975	-51788.593750	19364.537109	-0.091931	9.966299	0.006233	-0.034668	-0.000804	0.001074	1014.899963	42.730389
2080.226250	684.513000	-51727.566406	19438.384766	-0.094408	9.967833	0.002563	-0.033273	4.467949E-5	0.002222	1014.899963	42.730389
2080.237500	592.145813	-51748.937500	19409.705078	-0.072780	9.963945	0.010684	-0.018777	0.001612	-0.002007	1014.899963	42.730389
2080.248750	684.789490	-51692.359375	19349.765625	-0.077217	9.968574	0.003689	0.009629	0.005286	-0.009585	1014.899963	42.730389
2080.260000	711.019409	-51748.292969	19424.365234	-0.078410	9.966237	0.006030	0.039082	0.008389	-0.020580	1014.899963	42.730389
2080.271250	703.483337	-51748.035156	19434.015625	-0.083126	9.952580	0.008135	0.058232	0.011395	-0.024625	1014.899963	42.730389
2080.282500	716.211121	-51743.292969	19426.996094	-0.092868	9.961020	-0.004828	0.069824	0.012975	-0.025629	1014.899963	42.730389
2080.293750	774.191162	-51754.308594	19475.806641	-0.097293	9.959763	0.014414	0.069482	0.012758	-0.023515	1014.899963	42.730389
2080.305000	649.714050	-51739.722656	19439.042969	-0.094194	9.959689	0.008788	0.046120	0.009291	-0.016196	1014.889954	42.732735
2080.316250	649.849121	-51747.453125	19435.771484	-0.076566	9.955408	0.006029	0.019511	0.006288	-0.010381	1014.889954	42.732735
