time	vector.x	vector.y	vector.z	accel.x	accel.y	accel.z	gyro.x	gyro.y	gyro.z	bar	therm
423.810000	2219.819336	-51337.195312	19381.980469	-0.427466	9.962452	-0.044860	-0.033665	-9.525162E-6	0.001478	1015.039978	43.371208
423.821250	2174.140137	-51303.468750	19399.328125	-0.432445	9.951414	-0.053406	-0.016835	0.002208	-0.003402	1015.039978	43.371208
423.832500	2213.699463	-51330.300781	19339.375000	-0.438827	9.961531	-0.056661	0.015014	0.005870	-0.013294	1015.039978	43.371208
423.843750	2235.652588	-51354.187500	19247.869141	-0.437110	9.958088	-0.044372	0.038927	0.009254	-0.020603	1015.039978	43.371208
423.855000	2112.960205	-51335.558594	19341.863281	-0.436708	9.956840	-0.063701	0.062628	0.012773	-0.025515	1015.039978	43.371208
423.866250	2254.840576	-51337.453125	19312.318359	-0.433020	9.962533	-0.049980	0.062477	0.012373	-0.021433	1015.039978	43.371208
423.877500	2342.617676	-51328.527344	19456.888672	-0.441447	9.959656	-0.056037	0.054896	0.011798	-0.018974	1015.039978	43.371208
423.888750	2281.883301	-51334.109375	19382.664062	-0.444833	9.959661	-0.040020	0.031202	0.009150	-0.013686	1015.039978	43.371208
423.900000	2309.529785	-51340.269531	19403.687500	-0.440379	9.967134	-0.047152	0.000909	0.005506	-0.007125	1015.059998	43.376091
423.911250	2145.070801	-51327.816406	19312.408203	-0.433151	9.960679	-0.054687	-0.023570	0.001408	-0.001938	1015.059998	43.376091
423.922500	2204.712402	-51332.484375	19291.750000	-0.448666	9.959067	-0.059908	-0.033619	-0.000358	0.001937	1015.059998	43.376091
423.933750	2227.829346	-51340.578125	19262.617187	-0.446288	9.958897	-0.061435	-0.026369	0.000598	0.000434	1015.059998	43.376091
423.945000	2206.395996	-51341.378906	19410.388672	-0.453290	9.954103	-0.042385	-0.007310	0.003192	-0.006411	1015.059998	43.376091
423.956250	2065.294434	-51329.707031	19336.107422	-0.434209	9.962540	-0.045932	0.020490	0.006631	-0.015170	1015.059998	43.376091
423.967500	2270.397217	-51330.921875	19396.136719	-0.440618	9.950360	-0.035573	0.047626	0.010419	-0.022104	1015.059998	43.376091
423.978750	2209.267090	-51342.187500	19356.302734	-0.455881	9.964232	-0.060033	0.062742	0.011962	-0.023990	1015.059998	43.376091
423.990000	2188.086182	-51328.941406	19274.384766	-0.443735	9.954444	-0.069605	0.061363	0.012190	-0.020767	1015.059998	43.376091
424.001250	2271.895752	-51346.933594	19577.496094	-0.434206	9.956470	-0.041862	0.041369	0.008936	-0.014479	1015.059998	43.373554
424.012500	2300.176758	-51345.507812	19263.419922	-0.433718	9.951352	-0.055288	0.016878	0.005685	-0.010478	1015.059998	43.373554
424.023750	2261.353760	-51327.542969	19422.541016	-0.429827	9.959534	-0.062023	-0.006149	0.002771	-0.004699	1015.059998	43.373554
424.035000	2284.867676	-51340.484375	19250.308594	-0.421810	9.952432	-0.059234	-0.027973	5.463971E-5	-0.000354	1015.059998	43.373554
424.046250	2190.216553	-51340.195312	19279.060547	-0.434646	9.954487	-0.050374	-0.032876	0.000264	0.001068	1015.059998	43.373554
424.057500	2137.815430	-51332.675781	19366.177734	-0.446730	9.962816	-0.049392	-0.019536	0.001333	-0.002741	1015.059998	43.373554
424.068750	2129.635498	-51342.371094	19359.373047	-0.440338	9.959712	-0.052179	0.004728	0.004942	-0.009973	1015.059998	43.373554
424.080000	2282.924072	-51326.941406	19326.191406	-0.436886	9.960500	-0.061166	0.038640	0.009293	-0.019002	1015.059998	43.373554
424.091250	2178.064209	-51336.859375	19253.332031	-0.438740	9.965728	-0.051361	0.055870	0.011495	-0.023709	1015.059998	43.373554
424.102500	2258.375732	-51339.414062	19244.166016	-0.434145	9.957981	-0.056782	0.063439	0.012734	-0.023120	1015.070007	43.376091
424.113750	2341.531738	-51329.582031	19151.421875	-0.428871	9.967055	-0.063635	0.052971	0.011477	-0.018765	1015.070007	43.376091
424.125000	2257.891846	-51320.078125	19374.628906	-0.431258	9.957178	-0.060169	0.036139	0.008788	-0.014079	1015.070007	43.376091
424.136250	2196.892578	-51335.335937	19525.144531	-0.437859	9.956000	-0.050891	0.002789	0.004748	-0.007457	1015.070007	43.376091
424.147500	2187.925781	-51335.578125	19349.880859	-0.435791	9.957412	-0.044480	-0.025088	0.001253	-0.001511	1015.070007	43.376091
424.158750	2217.305176	-51362.527344	19219.343750	-0.441166	9.950357	-0.044338	-0.031334	0.000280	0.000974	1015.070007	43.376091
424.170000	2249.912598	-51321.507812	19346.298828	-0.451292	9.949126	-0.055848	-0.026689	0.000573	0.000904	1015.070007	43.376091
424.181250	2319.660156	-51319.011719	19425.937500	-0.437243	9.959162	-0.064598	-0.006275	0.002263	-0.006632	1015.070007	43.376091
424.192500	2249.668701	-51357.851562	19333.894531	-0.441475	9.958454	-0.059846	0.017378	0.005863	-0.014226	1015.070007	43.376091
424.203750	2200.525146	-51327.609375	19341.267578	-0.434432	9.954095	-0.058066	0.046959	0.010243	-0.021837	1015.059998	43.376091
424.215000	2248.599609	-51346.472656	19317.232422	-0.433555	9.959618	-0.060421	0.062183	0.012166	-0.023324	1015.059998	43.376091
424.226250	2254.423340	-51333.308594	19418.765625	-0.438722	9.966687	-0.064599	0.062244	0.012042	-0.021019	1015.059998	43.376091
424.237500	2252.000488	-51329.695312	19431.601562	-0.435138	9.958142	-0.059137	0.048579	0.010102	-0.015954	1015.059998	43.376091
424.248750	2149.645508	-51343.050781	19420.712891	-0.438072	9.950492	-0.067589	0.020616	0.007579	-0.011079	1015.059998	43.376091
424.260000	2246.070068	-51341.074219	19418.125000	-0.429588	9.961275	-0.062858	-0.010903	0.003377	-0.004314	1015.059998	43.376091
424.271250	2220.623047	-51338.460937	19589.935547	-0.444953	9.956989	-0.056821	-0.025201	0.001511	-0.000539	1015.059998	43.376091
424.282500	2326.096191	-51339.902344	19387.119141	-0.443426	9.948786	-0.061182	-0.033949	-0.000488	0.001692	1015.059998	43.376091
424.293750	2266.364258	-51314.390625	19369.000000	-0.442825	9.952084	-0.051968	-0.021687	0.000900	-0.001831	1015.059998	43.376091
424.305000	2261.280518	-51311.476562	19357.984375	-0.431301	9.944991	-0.063396	0.004508	0.003899	-0.008422	1015.049988	43.376091
