time	vector.x	vector.y	vector.z	accel.x	accel.y	accel.z	gyro.x	gyro.y	gyro.z	bar	therm
745.267500	2797.310791	-50302.968750	15653.348633	-0.258784	9.922910	0.455390	-0.020181	0.002825	0.003063	1014.000000	49.827656
745.278750	2775.339844	-50308.453125	15661.771484	-0.268355	9.905901	0.462433	-0.039539	-0.000291	0.007478	1014.000000	49.827656
745.290000	2789.646729	-50295.574219	15665.322266	-0.284199	9.916045	0.435520	-0.008881	0.003066	-0.002726	1014.000000	49.827656
745.301250	2716.288086	-50298.031250	15822.576172	-0.276857	9.943179	0.431701	0.035116	0.009433	-0.015747	1013.979980	49.830193
745.312500	2769.011719	-50300.769531	15689.373047	-0.278465	9.929026	0.452002	0.066882	0.012111	-0.021740	1013.979980	49.830193
745.323750	2795.917480	-50307.937500	15758.485352	-0.259023	9.919728	0.460856	0.056698	0.011272	-0.020620	1013.979980	49.830193
745.335000	2880.217773	-50306.050781	15692.875977	-0.272042	9.918836	0.455340	0.010506	0.006443	-0.007284	1013.979980	49.830193
745.346250	2843.503174	-50319.488281	15857.146484	-0.280590	9.940021	0.430632	-0.031113	0.001086	0.005353	1013.979980	49.830193
745.357500	2875.900146	-50288.488281	15692.417969	-0.275889	9.922071	0.435613	-0.027703	0.001161	0.003951	1013.979980	49.830193
745.368750	2775.047852	-50286.394531	15723.314453	-0.262230	9.919377	0.463666	0.017665	0.006494	-0.010859	1013.979980	49.830193
745.380000	2741.277344	-50288.886719	15705.852539	-0.268882	9.912774	0.436076	0.060087	0.011770	-0.023612	1013.979980	49.830193
745.391250	2749.604492	-50288.285156	15585.333008	-0.291280	9.936067	0.452141	0.067174	0.012575	-0.022467	1013.979980	49.830193
745.402500	2855.641113	-50314.917969	15649.302734	-0.271375	9.924622	0.436802	0.032912	0.008818	-0.012735	1013.940002	49.830193
745.413750	2770.057861	-50308.605469	15731.416016	-0.268062	9.920371	0.441461	-0.015080	0.003147	0.001868	1013.940002	49.830193
745.425000	2753.199219	-50296.296875	15693.161133	-0.279553	9.929874	0.445305	-0.033407	0.002307	0.005597	1013.940002	49.830193
745.436250	2758.926514	-50304.105469	15659.791992	-0.271340	9.928318	0.447519	-0.010213	0.003430	-0.002095	1013.940002	49.830193
745.447500	2771.312256	-50312.343750	15638.109375	-0.270342	9.929643	0.440332	0.040342	0.009429	-0.017084	1013.940002	49.830193
745.458750	2865.888428	-50305.996094	15673.004883	-0.265804	9.929663	0.438853	0.070988	0.013169	-0.023756	1013.940002	49.830193
745.470000	2683.543213	-50299.281250	15674.166016	-0.270832	9.931020	0.436622	0.060241	0.011958	-0.021145	1013.940002	49.830193
745.481250	2906.224854	-50293.992187	15570.166992	-0.263507	9.916916	0.446497	0.008899	0.006123	-0.006348	1013.940002	49.830193
745.492500	2886.994629	-50310.402344	15697.985352	-0.265408	9.924251	0.445219	-0.030809	0.001669	0.006299	1013.940002	49.830193
745.503750	2698.871338	-50305.464844	15650.005859	-0.281314	9.922902	0.438174	-0.027896	0.001471	0.004199	1013.979980	49.830193
745.515000	2825.982178	-50294.949219	15860.471680	-0.276265	9.928669	0.443007	0.012830	0.006134	-0.008790	1013.979980	49.830193
745.526250	2736.617920	-50293.312500	15795.707031	-0.263732	9.924135	0.436860	0.056729	0.011845	-0.021080	1013.979980	49.830193
745.537500	2728.455811	-50278.441406	15634.406250	-0.267941	9.919458	0.444253	0.065037	0.012783	-0.021204	1013.979980	49.830193
745.548750	2849.288086	-50301.062500	15625.961914	-0.273791	9.929208	0.448017	0.037848	0.009939	-0.013963	1013.979980	49.830193
745.560000	2818.572754	-50304.195312	15573.735352	-0.280152	9.927840	0.447446	-0.014156	0.002966	0.001047	1013.979980	49.830193
745.571250	2805.547607	-50308.277344	15583.515625	-0.272308	9.929209	0.442943	-0.039336	0.000394	0.008629	1013.979980	49.830193
745.582500	2795.826660	-50301.335937	15638.925781	-0.271704	9.920125	0.425401	-0.015737	0.003144	-0.000827	1013.979980	49.830193
745.593750	2797.837402	-50295.730469	15623.775391	-0.271330	9.923316	0.426340	0.033867	0.009388	-0.014979	1013.979980	49.830193
745.605000	2723.931885	-50297.886719	15601.509766	-0.277635	9.921236	0.431956	0.067717	0.012402	-0.023076	1013.959961	49.835075
745.616250	2728.850830	-50321.433594	15561.042969	-0.271255	9.922016	0.446866	0.053422	0.012086	-0.018321	1013.959961	49.835075
745.627500	2741.628906	-50346.468750	15585.720703	-0.276400	9.922194	0.426699	0.009201	0.007055	-0.005972	1013.959961	49.835075
745.638750	2794.388184	-50310.515625	15606.340820	-0.280052	9.928195	0.428524	-0.027220	0.002595	0.004054	1013.959961	49.835075
745.650000	2807.781738	-50277.855469	15493.947266	-0.280009	9.935787	0.426922	-0.030114	0.001864	0.004673	1013.959961	49.835075
745.661250	2825.536133	-50284.789062	15721.017578	-0.265227	9.925691	0.451324	0.010406	0.006171	-0.009017	1013.959961	49.835075
745.672500	2931.409424	-50286.558594	15819.844727	-0.277789	9.925263	0.436687	0.055380	0.011582	-0.020435	1013.959961	49.835075
745.683750	2826.326172	-50297.542969	15817.543945	-0.275349	9.938539	0.445963	0.071500	0.014491	-0.024314	1013.959961	49.835075
745.695000	2976.123047	-50319.511719	15737.693359	-0.271678	9.935841	0.442108	0.032852	0.010016	-0.013374	1013.959961	49.835075
745.706250	2838.179443	-50288.285156	15665.150391	-0.267599	9.929060	0.449614	-0.013813	0.003607	0.000342	1013.929993	49.830193
745.717500	2736.884521	-50288.304687	15666.207031	-0.275599	9.931748	0.451483	-0.039386	0.000406	0.007448	1013.929993	49.830193
745.728750	2711.514160	-50283.945312	15491.627930	-0.274125	9.934729	0.446643	-0.012287	0.003138	-0.002010	1013.929993	49.830193
745.740000	2785.308838	-50297.332031	15573.654297	-0.271329	9.932785	0.441799	0.034361	0.008827	-0.016765	1013.929993	49.830193
745.751250	2840.398682	-50280.339844	15614.877930	-0.259459	9.945004	0.455773	0.067318	0.012980	-0.023338	1013.929993	49.830193
745.762500	2690.783691	-50310.742187	15797.822266	-0.277552	9.923933	0.451640	0.059778	0.012712	-0.020893	1013.929993	49.830193
745.773750	2693.818359	-50300.539062	15580.252930	-0.272050	9.928885	0.432077	0.014753	0.007213	-0.008499	1013.929993	49.830193
745.785000	2726.122070	-50300.128906	15755.701172	-0.277315	9.919586	0.454082	-0.033906	0.000909	0.007149	1013.929993	49.830193
745.796250	2721.977783	-50277.335937	15705.259766	-0.274743	9.929515	0.442309	-0.030038	0.001254	0.004236	1013.929993	49.830193
745.807500	2727.923340	-50300.667969	15611.769531	-0.272703	9.923255	0.444183	0.010241	0.006577	-0.008426	1013.949951	49.837421
745.818750	2659.014160	-50341.285156	15681.006836	-0.278612	9.929324	0.454810	0.054291	0.011759	-0.020420	1013.949951	49.837421
745.830000	2811.493164	-50285.367187	15871.730469	-0.288285	9.923832	0.446125	0.072499	0.013775	-0.024638	1013.949951	49.837421
745.841250	2890.122314	-50311.578125	15804.004883	-0.287332	9.913782	0.449675	0.041180	0.009991	-0.015872	1013.949951	49.837421
745.852500	2747.813232	-50295.015625	15850.950195	-0.268110	9.915651	0.446589	-0.012124	0.003267	-0.000741	1013.949951	49.837421
745.863750	2789.400391	-50287.953125	15797.787109	-0.273038	9.926750	0.447446	-0.037391	0.000588	0.006682	1013.949951	49.837421
745.875000	2730.466797	-50317.417969	15646.112305	-0.261974	9.920995	0.436500	-0.009360	0.003641	-0.001338	1013.949951	49.837421
745.886250	2691.828613	-50305.527344	15681.192383	-0.268951	9.921101	0.446084	0.033340	0.009249	-0.014942	1013.949951	49.837421
745.897500	2752.982178	-50305.695312	15708.880859	-0.262154	9.928107	0.446981	0.066705	0.013091	-0.022301	1013.949951	49.837421
745.908750	2861.342529	-50268.886719	15717.058594	-0.285275	9.925093	0.437447	0.056180	0.011782	-0.019643	1013.969971	49.832539
745.920000	2761.561768	-50304.386719	15549.125000	-0.277884	9.924235	0.439742	0.015647	0.007277	-0.008797	1013.969971	49.832539
745.931250	2787.341309	-50296.253906	15646.566406	-0.267518	9.928566	0.446994	-0.025175	0.001591	0.004833	1013.969971	49.832539
745.942500	2767.977051	-50277.156250	15663.868164	-0.275274	9.929566	0.446661	-0.029873	0.001377	0.005087	1013.969971	49.832539
745.953750	2801.495361	-50311.089844	15663.840820	-0.272987	9.931701	0.438476	0.007379	0.006380	-0.007591	1013.969971	49.832539
745.965000	2795.697021	-50310.562500	15621.669922	-0.269514	9.924726	0.432257	0.058318	0.011804	-0.022234	1013.969971	49.832539
745.976250	2828.379639	-50280.339844	15669.013672	-0.272124	9.931357	0.450314	0.069707	0.013494	-0.022927	1013.969971	49.832539
745.987500	2943.361816	-50315.667969	15670.072266	-0.269025	9.936451	0.447475	0.039500	0.010396	-0.015247	1013.969971	49.832539
745.998750	2744.761230	-50298.035156	15611.384766	-0.274311	9.942842	0.445488	-0.013739	0.003880	0.001305	1013.969971	49.832539
746.010000	2614.368896	-50286.203125	15911.523437	-0.272301	9.924419	0.432438	-0.037980	0.000420	0.008898	1013.959961	49.837421
746.021250	2726.515625	-50294.761719	15556.049805	-0.280824	9.930135	0.440329	-0.011980	0.005020	-0.001896	1013.959961	49.837421
746.032500	2794.930176	-50287.539062	15669.681641	-0.283715	9.923499	0.431242	0.034502	0.009046	-0.016962	1013.959961	49.837421
746.043750	2763.736572	-50289.253906	15766.339844	-0.276162	9.934151	0.441575	0.071022	0.012884	-0.025528	1013.959961	49.837421
746.055000	2706.271973	-50274.382812	15789.332031	-0.280430	9.930074	0.455434	0.059851	0.012850	-0.021199	1013.959961	49.837421
746.066250	2745.305176	-50247.121094	15645.345703	-0.289346	9.921706	0.452740	0.010080	0.006247	-0.006739	1013.959961	49.837421
746.077500	2700.405029	-50284.234375	15701.403320	-0.269543	9.923275	0.456167	-0.030075	0.001011	0.006113	1013.959961	49.837421
746.088750	2734.908936	-50294.925781	15669.537109	-0.270353	9.931538	0.444697	-0.036147	7.436551E-6	0.006802	1013.959961	49.837421
746.100000	2869.676025	-50297.476562	15776.996094	-0.266733	9.936545	0.443451	0.011078	0.005462	-0.009233	1013.959961	49.837421
746.111250	2877.397461	-50295.335937	15740.738281	-0.272484	9.937783	0.449317	0.057732	0.011844	-0.022726	1013.959961	49.837421
746.122500	2850.095215	-50297.296875	15793.638672	-0.268360	9.926744	0.449968	0.073256	0.013402	-0.024495	1013.959961	49.837421
746.133750	2730.853516	-50287.042969	15644.108398	-0.273638	9.928885	0.441403	0.038690	0.009016	-0.014924	1013.959961	49.837421
746.145000	2832.492187	-50286.679687	15555.648437	-0.280495	9.924853	0.443792	-0.011895	0.004051	-0.000259	1013.959961	49.837421
746.156250	2742.272461	-50283.863281	15508.398437	-0.278975	9.928985	0.451872	-0.032785	0.000978	0.006633	1013.959961	49.837421
746.167500	2797.404297	-50267.718750	15594.632812	-0.282719	9.918389	0.442896	-0.015172	0.003010	-0.000206	1013.959961	49.837421
746.178750	2759.317627	-50264.664062	15542.770508	-0.266190	9.926312	0.438990	0.034704	0.008582	-0.016611	1013.959961	49.837421
746.190000	2830.491699	-50267.550781	15549.759766	-0.274252	9.928555	0.433347	0.068902	0.013307	-0.023566	1013.959961	49.837421
746.201250	2768.058105	-50281.500000	15641.667969	-0.285735	9.925161	0.425770	0.058779	0.012123	-0.020664	1013.949951	49.839958
