time	vector.x	vector.y	vector.z	accel.x	accel.y	accel.z	gyro.x	gyro.y	gyro.z	bar	therm
103.072500	2182.651367	-51598.601562	16676.041016	-0.192600	9.963245	0.300346	-0.024596	0.001349	0.002678	1013.820007	42.004219
103.083750	2160.819336	-51622.285156	16875.199219	-0.181779	9.946191	0.304764	-0.035017	-3.642852E-5	0.004300	1013.820007	42.004219
103.095000	2136.795166	-51591.816406	16871.310547	-0.193209	9.947114	0.301867	-0.039673	0.000104	0.005463	1013.820007	42.004219
103.106250	2313.452148	-51572.843750	16834.787109	-0.196002	9.967448	0.288663	-0.028673	0.000829	0.001402	1013.839966	42.009102
103.117500	2062.147949	-51577.511719	16840.466797	-0.195522	9.967551	0.291605	-0.005469	0.003723	-0.007544	1013.839966	42.009102
103.128750	2045.825439	-51579.593750	16777.744141	-0.191754	9.953225	0.296843	0.027853	0.007109	-0.017984	1013.839966	42.009102
103.140000	2174.935547	-51593.265625	16780.734375	-0.182845	9.948748	0.306106	0.059152	0.010613	-0.027720	1013.839966	42.009102
103.151250	2189.411865	-51580.871094	16732.302734	-0.199851	9.968486	0.290912	0.078024	0.013119	-0.032363	1013.839966	42.009102
103.162500	2147.016846	-51561.750000	16989.541016	-0.208200	9.956299	0.295611	0.090489	0.014339	-0.031971	1013.839966	42.009102
103.173750	2141.337891	-51570.199219	16837.201172	-0.189302	9.954463	0.294948	0.082978	0.013646	-0.027321	1013.839966	42.009102
103.185000	2321.596924	-51566.472656	16764.509766	-0.205002	9.950665	0.298055	0.058351	0.010334	-0.019933	1013.839966	42.009102
103.196250	2301.441162	-51560.699219	16872.033203	-0.201859	9.948400	0.298275	0.036524	0.008426	-0.013596	1013.839966	42.009102
103.207500	2211.006104	-51593.542969	16763.277344	-0.193966	9.947692	0.296088	0.008865	0.005869	-0.004697	1013.839966	42.009102
103.218750	2208.717285	-51585.843750	16778.128906	-0.179166	9.945328	0.305661	-0.020359	0.003213	0.001048	1013.839966	42.009102
