time	vector.x	vector.y	vector.z	accel.x	accel.y	accel.z	gyro.x	gyro.y	gyro.z	bar	therm
840.296250	-3194.633057	-49257.621094	20378.414062	0.548324	9.910691	-0.149863	-0.034892	0.000123	0.002346	1014.799988	44.598946
840.307500	-3105.516846	-49238.796875	20393.382812	0.516765	9.947354	-0.138206	-0.018590	0.002355	-0.001069	1014.789978	44.598946
840.318750	-3167.082764	-49211.320312	20427.671875	0.518238	9.945041	-0.163616	0.011572	0.005451	-0.011699	1014.789978	44.598946
840.330000	-3214.579590	-49222.867187	20375.017578	0.521186	9.933503	-0.159899	0.040144	0.008117	-0.019402	1014.789978	44.598946
840.341250	-3162.136230	-49223.339844	20308.683594	0.519521	9.935795	-0.155566	0.058709	0.010927	-0.022070	1014.789978	44.598946
840.352500	-3151.577148	-49222.859375	20326.873047	0.529871	9.934202	-0.140699	0.060707	0.010812	-0.020117	1014.789978	44.598946
840.363750	-3052.687500	-49228.742187	20313.414062	0.532440	9.922993	-0.154421	0.043204	0.008572	-0.014416	1014.789978	44.598946
840.375000	-2927.544678	-49236.355469	20296.152344	0.531430	9.921568	-0.160867	0.009694	0.004556	-0.009425	1014.789978	44.598946
840.386250	-2933.846191	-49272.250000	20299.849609	0.537273	9.943196	-0.147396	-0.016214	0.003613	-0.003160	1014.789978	44.598946
840.397500	-2973.666748	-49249.390625	20369.435547	0.531938	9.946209	-0.141300	-0.032463	0.001556	0.001583	1014.789978	44.598946
840.408750	-2958.479980	-49244.605469	20286.080078	0.549290	9.947557	-0.137724	-0.022621	0.002730	-0.001330	1014.759949	44.601482
840.420000	-2977.926514	-49253.851562	20322.300781	0.533097	9.941715	-0.153785	0.000868	0.005457	-0.008679	1014.759949	44.601482
840.431250	-2961.703613	-49249.308594	20252.548828	0.531351	9.950616	-0.151414	0.031996	0.009679	-0.017027	1014.759949	44.601482
840.442500	-3170.934570	-49243.332031	20362.949219	0.520906	9.942868	-0.159302	0.054580	0.011999	-0.022425	1014.759949	44.601482
840.453750	-3104.530273	-49243.148437	20473.427734	0.513603	9.933594	-0.155626	0.062221	0.013441	-0.020789	1014.759949	44.601482
840.465000	-3046.308594	-49240.769531	20320.285156	0.523955	9.930238	-0.161843	0.052576	0.011830	-0.017365	1014.759949	44.601482
840.476250	-3045.908936	-49274.488281	20340.691406	0.532510	9.934679	-0.143030	0.028814	0.009137	-0.012010	1014.759949	44.601482
840.487500	-3149.495850	-49277.019531	20289.828125	0.519073	9.940936	-0.146682	-0.007063	0.004120	-0.003780	1014.759949	44.601482
840.498750	-3174.313965	-49245.371094	20361.417969	0.523848	9.932422	-0.150497	-0.027070	0.002153	0.000718	1014.759949	44.601482
840.510000	-3195.857422	-49229.750000	20279.066406	0.527021	9.924661	-0.148816	-0.031711	0.000285	0.001263	1014.769958	44.601482
840.521250	-3106.248291	-49244.824219	20215.923828	0.524684	9.928083	-0.144495	-0.013442	0.003620	-0.002896	1014.769958	44.601482
840.532500	-2984.778320	-49234.507812	20381.238281	0.522520	9.938967	-0.133391	0.015558	0.006276	-0.011096	1014.769958	44.601482
840.543750	-3041.862061	-49244.628906	20282.339844	0.537454	9.940793	-0.158128	0.045698	0.010388	-0.021071	1014.769958	44.601482
840.555000	-3099.541504	-49230.585937	20495.785156	0.527392	9.927735	-0.150313	0.064145	0.012518	-0.023423	1014.769958	44.601482
840.566250	-3028.279053	-49221.972656	20494.787109	0.528216	9.927805	-0.157031	0.062011	0.013121	-0.020311	1014.769958	44.601482
840.577500	-2991.354980	-49228.402344	20400.558594	0.531932	9.938905	-0.153457	0.041108	0.010072	-0.012886	1014.769958	44.601482
840.588750	-3048.882812	-49219.253906	20434.601562	0.525385	9.941612	-0.158962	0.007668	0.005402	-0.007087	1014.769958	44.601482
840.600000	-3072.063965	-49216.492187	20280.091797	0.524220	9.950969	-0.155930	-0.015967	0.002454	-0.001818	1014.779968	44.598946
840.611250	-3274.464111	-49210.890625	20312.712891	0.517787	9.934139	-0.133225	-0.032093	-0.000347	0.002121	1014.779968	44.598946
840.622500	-2989.714844	-49213.121094	20254.447266	0.533779	9.928413	-0.143625	-0.027452	0.000161	0.000702	1014.779968	44.598946
840.633750	-3009.854248	-49228.066406	20421.404297	0.527619	9.947588	-0.141674	0.005029	0.004941	-0.009152	1014.779968	44.598946
840.645000	-3091.962158	-49227.011719	20465.587891	0.525134	9.929866	-0.156333	0.037108	0.008926	-0.018694	1014.779968	44.598946
840.656250	-3229.397705	-49233.523437	20503.451172	0.535915	9.935745	-0.146949	0.057309	0.011412	-0.022287	1014.779968	44.598946
840.667500	-3169.440430	-49246.570312	20474.220703	0.528532	9.931168	-0.150375	0.064045	0.012389	-0.021033	1014.779968	44.598946
840.678750	-3053.926758	-49231.269531	20359.599609	0.530465	9.927758	-0.147504	0.046898	0.009859	-0.015577	1014.779968	44.598946
