time	vector.x	vector.y	vector.z	accel.x	accel.y	accel.z	gyro.x	gyro.y	gyro.z	bar	therm
77.715000	3267.047852	-51354.585937	20555.867187	-0.404956	9.959692	-0.188530	0.065519	0.013520	-0.027501	1014.649963	39.784687
77.726250	3233.722900	-51358.253906	20599.976562	-0.416791	9.966601	-0.182185	0.068664	0.013603	-0.026672	1014.649963	39.784687
77.737500	3159.908447	-51346.558594	20535.302734	-0.420441	9.959991	-0.189069	0.064796	0.012450	-0.023766	1014.649963	39.784687
77.748750	3167.088135	-51400.351562	20496.556641	-0.394273	9.963934	-0.187920	0.053927	0.011388	-0.019650	1014.649963	39.784687
77.760000	3176.280762	-51355.332031	20609.507812	-0.403715	9.956759	-0.186849	0.037874	0.009807	-0.014672	1014.649963	39.784687
77.771250	3215.026611	-51351.222656	20464.988281	-0.399072	9.965971	-0.183882	0.020492	0.007138	-0.009057	1014.649963	39.784687
77.782500	3092.886963	-51366.089844	20601.398437	-0.389034	9.961880	-0.174718	0.000687	0.004660	-0.006789	1014.649963	39.784687
77.793750	3270.763672	-51361.875000	20581.539062	-0.403842	9.959837	-0.186648	-0.018268	0.001938	-0.002797	1014.649963	39.784687
77.805000	3230.616211	-51372.144531	20486.615234	-0.398969	9.963043	-0.184208	-0.028122	0.000469	-0.002075	1014.659973	39.784687
77.816250	3111.253174	-51354.179687	20575.117187	-0.401933	9.965569	-0.175670	-0.032561	-0.000136	1.714768E-7	1014.659973	39.784687
77.827500	3245.066162	-51361.507812	20617.916016	-0.407065	9.965302	-0.178604	-0.036356	-0.000837	0.000273	1014.659973	39.784687
77.838750	3292.483154	-51345.531250	20510.527344	-0.408892	9.967723	-0.207387	-0.026577	-0.000248	-0.001753	1014.659973	39.784687
77.850000	3153.984863	-51356.996094	20558.361328	-0.403422	9.967281	-0.178284	-0.021613	0.000275	-0.003771	1014.659973	39.784687
77.861250	3097.391846	-51347.355469	20616.570312	-0.408565	9.963972	-0.185853	-1.384670E-5	0.003535	-0.010323	1014.659973	39.784687
77.872500	3137.419678	-51364.382812	20552.562500	-0.409055	9.967475	-0.180095	0.019710	0.005918	-0.016132	1014.659973	39.784687
77.883750	3252.461426	-51343.371094	20610.724609	-0.396982	9.970432	-0.177404	0.040072	0.009356	-0.021542	1014.659973	39.784687
77.895000	3342.358643	-51336.503906	20645.873047	-0.401106	9.965507	-0.184819	0.055201	0.010838	-0.025463	1014.659973	39.784687
77.906250	3142.198486	-51344.792969	20713.421875	-0.398936	9.966611	-0.188900	0.060092	0.012436	-0.025978	1014.729980	39.794453
77.917500	3136.902588	-51333.398437	20592.873047	-0.395204	9.966540	-0.185483	0.068784	0.013370	-0.026342	1014.729980	39.794453
77.928750	3272.724121	-51330.070312	20732.320312	-0.412132	9.964287	-0.193235	0.067070	0.013353	-0.023567	1014.729980	39.794453
77.940000	3143.057617	-51358.804687	20711.527344	-0.417622	9.970086	-0.182469	0.057552	0.011366	-0.020504	1014.729980	39.794453
77.951250	3194.319824	-51365.113281	20532.382812	-0.410602	9.972666	-0.184665	0.041823	0.009932	-0.015210	1014.729980	39.794453
77.962500	3320.074951	-51344.140625	20463.388672	-0.404435	9.950958	-0.192114	0.021106	0.007882	-0.010506	1014.729980	39.794453
77.973750	3175.166504	-51346.957031	20566.263672	-0.404335	9.963838	-0.179617	0.003750	0.004845	-0.006803	1014.729980	39.794453
77.985000	3151.725586	-51355.527344	20533.544922	-0.404955	9.969614	-0.184215	-0.018610	0.002956	-0.002642	1014.729980	39.794453
77.996250	3205.168457	-51347.027344	20562.486328	-0.401000	9.955649	-0.195542	-0.025506	0.002048	-0.000307	1014.729980	39.794453
78.007500	3093.930176	-51350.398437	20590.138672	-0.399803	9.955522	-0.179880	-0.031625	0.000137	-1.706618E-5	1014.690002	39.799335
78.018750	3124.348877	-51342.035156	20673.041016	-0.401011	9.965319	-0.180098	-0.034304	-0.000830	0.000952	1014.690002	39.799335
78.030000	3132.532227	-51349.191406	20739.544922	-0.391685	9.969585	-0.182591	-0.028063	-6.858861E-5	-0.001493	1014.690002	39.799335
78.041250	3184.260742	-51344.078125	20710.791016	-0.397667	9.969479	-0.170858	-0.018679	0.001744	-0.004102	1014.690002	39.799335
78.052500	3214.521484	-51342.070312	20761.482422	-0.393190	9.969846	-0.183114	-0.004010	0.003190	-0.007284	1014.690002	39.799335
78.063750	3104.499268	-51337.257812	20704.792969	-0.401299	9.961569	-0.192064	0.021358	0.006034	-0.014856	1014.690002	39.799335
