time	vector.x	vector.y	vector.z	accel.x	accel.y	accel.z	gyro.x	gyro.y	gyro.z	bar	therm
323.561250	-1741.026978	-49976.628906	21296.582031	-0.001043	9.953154	-0.355549	0.076258	0.013890	-0.027853	1014.690002	41.994453
323.572500	-1792.989258	-49958.777344	21429.421875	-0.028196	9.942266	-0.374807	0.061960	0.011972	-0.022889	1014.690002	41.994453
323.583750	-1840.853149	-49970.343750	21326.662109	-0.020743	9.920263	-0.388818	0.039384	0.011568	-0.015602	1014.690002	41.994453
323.595000	-1728.917358	-49958.824219	21459.021484	-0.015249	9.967532	-0.386706	0.013829	0.009075	-0.011737	1014.690002	41.994453
323.606250	-1782.555908	-50003.691406	21370.031250	-0.015168	9.923289	-0.397263	-0.002555	0.007520	-0.006274	1014.699951	41.996990
323.617500	-1833.598022	-50037.531250	21353.781250	-0.006476	9.967864	-0.372161	-0.029111	0.004478	-0.000692	1014.699951	41.996990
323.628750	-1790.878906	-50032.410156	21351.197266	-0.053756	9.978886	-0.352304	-0.038376	-5.009214E-5	0.001163	1014.699951	41.996990
323.640000	-1720.038940	-50045.800781	21418.732422	-0.096429	9.971435	-0.386777	-0.034237	-0.003398	0.002956	1014.699951	41.996990
323.651250	-1659.104614	-50057.398437	21326.687500	-0.088531	10.010280	-0.440737	-0.014952	0.000277	-0.001482	1014.699951	41.996990
323.662500	-1656.442871	-50067.304687	21335.994141	0.000171	10.019153	-0.420756	0.009332	0.009711	-0.009812	1014.699951	41.996990
323.673750	-1593.370483	-50058.585937	21363.621094	0.046629	9.927445	-0.307524	0.040369	0.015116	-0.021272	1014.699951	41.996990
323.685000	-1655.375244	-50061.492187	21400.441406	0.034489	9.891269	-0.276275	0.066691	0.011709	-0.027059	1014.699951	41.996990
323.696250	-1687.451904	-50069.488281	21296.117187	0.003139	9.954141	-0.357240	0.074059	0.008277	-0.028089	1014.699951	41.996990
323.707500	-1638.860229	-50096.074219	21342.111328	-0.044429	9.978888	-0.443946	0.070441	0.009858	-0.024367	1014.709961	41.994453
323.718750	-1654.312134	-50050.218750	21353.119141	-0.074848	9.974706	-0.448486	0.048725	0.011830	-0.016022	1014.709961	41.994453
