time	vector.x	vector.y	vector.z	accel.x	accel.y	accel.z	gyro.x	gyro.y	gyro.z	bar	therm
143.876250	-554.951111	-49423.058594	23003.482422	0.370331	9.891943	-0.531454	0.020372	0.001838	0.022644	1014.579956	38.671211
143.887500	-679.864929	-49414.347656	23137.507812	0.408671	9.779578	-0.539378	0.054718	0.004149	0.009254	1014.579956	38.671211
143.898750	-722.911316	-49365.910156	23168.642578	0.414490	9.770814	-0.587707	0.070418	0.004160	-0.005591	1014.579956	38.671211
143.910000	-672.843384	-49390.546875	23077.880859	0.426239	9.841632	-0.670414	0.073488	0.006763	-0.020848	1014.570007	38.673748
143.921250	-727.648071	-49380.023437	23076.511719	0.419647	9.948826	-0.673795	0.065115	0.010335	-0.028780	1014.570007	38.673748
143.932500	-541.815369	-49401.679687	23162.710937	0.403133	9.996224	-0.644197	0.056357	0.009824	-0.033304	1014.570007	38.673748
143.943750	-600.761047	-49418.882812	23068.482422	0.382670	9.978567	-0.615389	0.047164	0.010810	-0.033725	1014.570007	38.673748
143.955000	-660.493530	-49421.054687	23072.835937	0.363597	9.940418	-0.565162	0.045446	0.014712	-0.029236	1014.570007	38.673748
143.966250	-689.495911	-49433.199219	23038.855469	0.350135	9.882444	-0.544833	0.041896	0.014897	-0.024158	1014.570007	38.673748
143.977500	-658.728027	-49454.359375	22999.531250	0.381134	9.895472	-0.564425	0.037263	0.013893	-0.019336	1014.570007	38.673748
143.988750	-642.089111	-49436.640625	23077.167969	0.387556	9.934592	-0.567737	0.023268	0.012790	-0.015745	1014.570007	38.673748
144.000000	-697.394775	-49428.988281	22991.000000	0.357409	9.996304	-0.591930	0.007898	0.010417	-0.014715	1014.589966	38.673748
144.011250	-660.085754	-49428.167969	23231.179687	0.324531	10.043118	-0.605869	-0.013024	0.005434	-0.011125	1014.589966	38.673748
144.022500	-643.142151	-49434.597656	23048.904297	0.295288	10.071043	-0.547600	-0.039968	-0.002128	0.002698	1014.589966	38.673748
144.033750	-602.338989	-49450.312500	22888.652344	0.349484	10.014530	-0.610727	-0.040465	-0.002168	0.010641	1014.589966	38.673748
144.045000	-679.590881	-49446.683594	22971.941406	0.358404	9.932199	-0.534009	-0.035786	-0.000945	0.015333	1014.589966	38.673748
144.056250	-650.142517	-49434.261719	23098.613281	0.349989	9.906024	-0.478016	-0.028843	-0.005716	0.015314	1014.589966	38.673748
144.067500	-615.988220	-49411.167969	23146.003906	0.352266	9.895810	-0.541269	-0.027356	-0.004239	0.011335	1014.589966	38.673748
144.078750	-804.713318	-49429.164062	23075.607422	0.399662	9.939090	-0.591176	-0.010922	-0.003488	0.005973	1014.589966	38.673748
144.090000	-714.695801	-49406.964844	23052.611328	0.405528	9.983430	-0.595465	0.005395	-0.001951	0.004297	1014.589966	38.673748
144.101250	-618.761230	-49376.695312	23222.964844	0.357014	9.957166	-0.603927	0.013887	0.001254	-0.004320	1014.589966	38.676094
144.112500	-651.719421	-49351.105469	23145.636719	0.360287	9.961881	-0.621258	0.027114	0.003652	-0.013897	1014.589966	38.676094
144.123750	-617.845337	-49390.855469	23252.562500	0.388758	9.960311	-0.619865	0.036450	0.006438	-0.012734	1014.589966	38.676094
144.135000	-730.794006	-49353.316406	23094.332031	0.386988	9.921746	-0.621678	0.054382	0.013135	-0.018185	1014.589966	38.676094
144.146250	-615.614075	-49423.949219	23152.630859	0.384829	9.950233	-0.597426	0.056828	0.013945	-0.024789	1014.589966	38.676094
144.157500	-617.317566	-49436.187500	23077.720703	0.393089	9.963027	-0.592661	0.058535	0.012048	-0.024970	1014.589966	38.676094
144.168750	-646.658936	-49428.339844	23219.089844	0.377615	9.952331	-0.553876	0.054475	0.010727	-0.022242	1014.589966	38.676094
144.180000	-621.384827	-49413.250000	23104.562500	0.345050	9.982691	-0.530421	0.058131	0.010426	-0.016684	1014.589966	38.676094
144.191250	-714.168274	-49392.570312	23065.042969	0.311186	10.028409	-0.510114	0.047124	0.004751	-0.004423	1014.589966	38.676094
144.202500	-753.925110	-49433.613281	23211.191406	0.357519	10.030311	-0.588144	0.040771	0.002578	0.005419	1014.559998	38.678631
144.213750	-745.551880	-49420.531250	23172.431641	0.398653	9.986388	-0.618295	0.035861	0.007208	0.010853	1014.559998	38.678631
144.225000	-785.388000	-49407.824219	22868.060547	0.386693	9.925568	-0.581696	0.020907	0.007315	0.013115	1014.559998	38.678631
144.236250	-682.564697	-49391.628906	23025.234375	0.407336	9.898091	-0.574179	-0.003079	0.002175	0.013835	1014.559998	38.678631
144.247500	-767.802368	-49367.226562	23158.070312	0.392110	9.935714	-0.598540	-0.023558	-0.000385	0.012389	1014.559998	38.678631
144.258750	-697.878174	-49360.910156	23149.310547	0.375116	9.962635	-0.588443	-0.041330	-0.004908	0.014040	1014.559998	38.678631
144.270000	-800.031250	-49373.015625	23016.068359	0.395032	9.823306	-0.551440	-0.044692	-0.009682	0.008097	1014.559998	38.678631
144.281250	-835.380981	-49387.695312	23049.927734	0.524893	9.751622	-0.519794	-0.023471	-0.005875	-0.009007	1014.559998	38.678631
144.292500	-799.676514	-49403.332031	23038.605469	0.458537	9.920054	-0.600293	-0.018085	0.005599	-0.003631	1014.559998	38.678631
144.303750	-858.425537	-49362.179687	23059.275391	0.295932	9.929498	-0.625487	-0.009304	0.007485	-0.006517	1014.570007	38.680977
