time	vector.x	vector.y	vector.z	accel.x	accel.y	accel.z	gyro.x	gyro.y	gyro.z	bar	therm
374.996250	-996.617187	-48654.687500	23165.263672	0.453467	9.901263	-0.632505	-0.029082	-0.000872	0.011871	1014.649963	42.089569
375.007500	-1027.476196	-48641.285156	23161.199219	0.463896	9.877196	-0.651702	-0.033896	-0.000142	0.008958	1014.649963	42.089569
375.018750	-1003.783569	-48634.964844	23128.855469	0.470238	9.879541	-0.672322	-0.022248	0.001007	-0.000613	1014.649963	42.089569
375.030000	-1046.934570	-48621.128906	23103.619141	0.464940	9.912558	-0.666063	0.001524	0.004800	-0.012430	1014.649963	42.089569
375.041250	-1053.792847	-48639.738281	23040.203125	0.444942	9.911092	-0.674192	0.021263	0.007008	-0.025697	1014.649963	42.089569
375.052500	-1056.929443	-48641.773437	23175.089844	0.451995	9.922083	-0.679057	0.046605	0.012344	-0.033983	1014.649963	42.089569
375.063750	-1018.588928	-48644.546875	23070.578125	0.446697	9.950562	-0.674071	0.059735	0.015701	-0.033236	1014.649963	42.089569
375.075000	-945.189209	-48651.410156	23140.732422	0.444547	9.976460	-0.635600	0.067133	0.017873	-0.028563	1014.649963	42.089569
375.086250	-985.768188	-48619.632812	23223.072266	0.448674	9.951706	-0.605237	0.054695	0.016058	-0.022720	1014.649963	42.089569
375.097500	-1002.565613	-48626.507812	23124.298828	0.447265	9.908990	-0.598043	0.037123	0.011945	-0.016814	1014.649963	42.089569
375.108750	-1150.660889	-48672.488281	23071.294922	0.431348	9.898929	-0.615560	0.018286	0.007921	-0.011456	1014.649963	42.089569
375.120000	-987.204956	-48665.894531	23110.248047	0.420269	9.950598	-0.649879	-0.008456	0.004492	-0.001411	1014.649963	42.089569
375.131250	-955.116333	-48683.351562	23226.917969	0.438656	9.983770	-0.645099	-0.032989	0.000103	0.005918	1014.649963	42.089569
375.142500	-1059.913330	-48667.875000	23107.824219	0.440201	9.983341	-0.643513	-0.039174	-0.004732	0.005567	1014.649963	42.089569
375.153750	-973.543030	-48670.968750	23067.363281	0.426839	9.945740	-0.674921	-0.024150	-0.002549	0.001877	1014.649963	42.089569
375.165000	-953.749390	-48675.148437	23174.898437	0.406394	9.916091	-0.650182	-0.003935	0.001815	0.000665	1014.649963	42.089569
375.176250	-1012.315674	-48671.160156	23111.640625	0.435589	9.899987	-0.621060	0.024221	0.006405	-0.006226	1014.649963	42.089569
375.187500	-1021.922729	-48628.437500	23153.763672	0.470831	9.885819	-0.602133	0.054800	0.009081	-0.017679	1014.649963	42.089569
375.198750	-1062.570068	-48616.933594	23267.923828	0.471923	9.884015	-0.631223	0.074257	0.010611	-0.026162	1014.649963	42.089569
375.210000	-1042.482788	-48631.378906	23104.097656	0.462167	9.924494	-0.650215	0.077033	0.011838	-0.026434	1014.669983	42.091911
375.221250	-952.847900	-48645.824219	23248.652344	0.431468	9.904985	-0.699649	0.058887	0.012584	-0.020886	1014.669983	42.091911
375.232500	-1062.211426	-48643.945312	23179.183594	0.439928	9.940825	-0.670006	0.040454	0.011848	-0.017419	1014.669983	42.091911
375.243750	-1041.708130	-48645.179687	23243.513672	0.439664	9.942071	-0.651694	0.012807	0.006882	-0.012344	1014.669983	42.091911
375.255000	-944.965210	-48645.601562	23197.318359	0.428374	9.950179	-0.643234	-0.022090	0.002227	-0.004541	1014.669983	42.091911
375.266250	-1069.655396	-48623.152344	23202.953125	0.435368	9.939204	-0.625821	-0.030097	0.001458	-0.000509	1014.669983	42.091911
375.277500	-885.136597	-48601.363281	23042.785156	0.434137	9.912021	-0.630111	-0.038457	-4.870025E-5	0.005407	1014.669983	42.091911
375.288750	-987.041931	-48614.945312	23039.730469	0.451450	9.899541	-0.635083	-0.025560	0.001088	0.001160	1014.669983	42.091911
375.300000	-1017.246277	-48617.929687	23092.791016	0.452795	9.920565	-0.661137	-0.005011	0.002806	-0.007871	1014.639954	42.096794
375.311250	-957.165344	-48625.148437	23274.517578	0.440644	9.951933	-0.674258	0.020420	0.006829	-0.016805	1014.639954	42.096794
375.322500	-964.482788	-48616.242187	23139.236328	0.442314	9.947182	-0.666747	0.044233	0.010447	-0.023464	1014.639954	42.096794
375.333750	-1008.268555	-48626.125000	23304.716797	0.446867	9.934067	-0.653953	0.062468	0.014240	-0.028180	1014.639954	42.096794
375.345000	-1017.767395	-48624.175781	23137.716797	0.445643	9.926544	-0.637148	0.069942	0.014857	-0.027810	1014.639954	42.096794
375.356250	-1070.208252	-48635.089844	23144.845703	0.439460	9.906157	-0.627531	0.062883	0.013628	-0.023853	1014.639954	42.096794
375.367500	-948.697998	-48633.023437	23158.349609	0.462854	9.916313	-0.637976	0.049154	0.012291	-0.020153	1014.639954	42.096794
375.378750	-1034.026611	-48609.796875	23062.330078	0.448447	9.941665	-0.642407	0.019322	0.010496	-0.012367	1014.639954	42.096794
375.390000	-965.368713	-48621.347656	23142.566406	0.422339	9.937308	-0.641970	-0.006072	0.004080	-0.006917	1014.639954	42.096794
375.401250	-951.863770	-48637.453125	23131.382812	0.449855	9.950767	-0.662634	-0.026682	0.001717	-0.000721	1014.659973	42.091911
375.412500	-1057.548340	-48670.125000	23114.234375	0.448345	9.955215	-0.644943	-0.037240	0.000322	0.005501	1014.659973	42.091911
375.423750	-1076.086792	-48631.582031	23047.097656	0.441181	9.933677	-0.642130	-0.028427	0.000518	0.003454	1014.659973	42.091911
375.435000	-992.640381	-48657.363281	23082.167969	0.462227	9.912492	-0.620402	-0.016606	0.001629	-0.000647	1014.659973	42.091911
375.446250	-1001.409302	-48666.347656	23205.937500	0.444994	9.891442	-0.664052	0.014395	0.006720	-0.010260	1014.659973	42.091911
375.457500	-1015.053040	-48617.792969	23078.535156	0.446556	9.914654	-0.638925	0.044165	0.009935	-0.018568	1014.659973	42.091911
375.468750	-933.927673	-48601.722656	23085.498047	0.434634	9.948428	-0.617485	0.055063	0.008569	-0.022731	1014.659973	42.091911
375.480000	-992.267883	-48658.054687	23186.197266	0.437961	9.940522	-0.668941	0.064514	0.008757	-0.026229	1014.659973	42.091911
375.491250	-1146.591675	-48680.304687	23108.361328	0.439135	9.973543	-0.672756	0.069269	0.012073	-0.020933	1014.659973	42.091911
375.502500	-894.048645	-48660.570312	23150.933594	0.409436	9.946229	-0.632934	0.054529	0.010226	-0.011857	1014.639954	42.096794
375.513750	-1055.456543	-48659.226562	23087.160156	0.425720	9.915413	-0.630043	0.022922	0.004696	-0.005206	1014.639954	42.096794
375.525000	-1037.836792	-48640.472656	23276.726562	0.478746	9.926744	-0.629025	0.001316	0.002067	-0.002024	1014.639954	42.096794
375.536250	-896.860779	-48662.601562	23240.894531	0.455534	9.906263	-0.648032	-0.019400	1.328106E-5	0.006248	1014.639954	42.096794
375.547500	-947.947815	-48633.457031	23228.898437	0.444607	9.917236	-0.654043	-0.028458	-0.001646	0.006608	1014.639954	42.096794
375.558750	-984.271301	-48591.515625	22999.615234	0.448531	9.924154	-0.667949	-0.032321	0.000484	0.006166	1014.639954	42.096794
375.570000	-981.083557	-48594.718750	23129.835937	0.470281	9.913770	-0.658794	-0.020725	0.001374	-0.002252	1014.639954	42.096794
375.581250	-1076.719604	-48599.246094	23184.261719	0.449570	9.929166	-0.669577	0.001375	0.004103	-0.014101	1014.639954	42.096794
375.592500	-942.563293	-48592.050781	23274.216797	0.445050	9.925502	-0.669751	0.026859	0.008529	-0.024360	1014.639954	42.096794
375.603750	-922.560791	-48577.062500	23260.539062	0.428546	9.938201	-0.646193	0.056654	0.013711	-0.030389	1014.619995	42.099335
375.615000	-981.780640	-48639.152344	23177.951172	0.431916	9.944481	-0.626582	0.066492	0.014484	-0.026936	1014.619995	42.099335
375.626250	-874.180786	-48610.160156	23239.591797	0.442225	9.934589	-0.625478	0.067585	0.014243	-0.022281	1014.619995	42.099335
375.637500	-1033.065308	-48630.535156	23087.255859	0.456136	9.928066	-0.633341	0.056478	0.012451	-0.017626	1014.619995	42.099335
375.648750	-966.447021	-48645.710937	23073.945312	0.444452	9.920263	-0.660509	0.033149	0.009090	-0.011026	1014.619995	42.099335
375.660000	-809.659912	-48654.070312	23159.441406	0.442817	9.913922	-0.644174	0.005026	0.005512	-0.007349	1014.619995	42.099335
375.671250	-1006.548584	-48654.781250	23051.851562	0.450743	9.927114	-0.651112	-0.022074	0.001998	-0.001099	1014.619995	42.099335
375.682500	-947.006348	-48659.308594	23192.781250	0.447219	9.947918	-0.655397	-0.039008	-0.000517	0.001567	1014.619995	42.099335
