time	vector.x	vector.y	vector.z	accel.x	accel.y	accel.z	gyro.x	gyro.y	gyro.z	bar	therm
230.478750	-1513.275513	-50522.019531	19519.308594	0.140209	9.969467	-0.171867	0.022113	0.005478	-0.019415	1015.320007	45.656563
230.490000	-1450.831421	-50533.562500	19435.585937	0.130219	9.933037	-0.178481	0.057578	0.010287	-0.028358	1015.320007	45.656563
230.501250	-1442.463257	-50536.339844	19480.464844	0.123933	9.984214	-0.203518	0.069617	0.011961	-0.027497	1015.309998	45.658905
230.512500	-1511.831787	-50532.429687	19559.740234	0.106242	9.993583	-0.199960	0.062307	0.012915	-0.018236	1015.309998	45.658905
230.523750	-1469.112061	-50531.722656	19582.890625	0.098534	10.005866	-0.190421	0.028102	0.010225	-0.004230	1015.309998	45.658905
230.535000	-1436.344116	-50537.792969	19452.714844	0.127022	9.970845	-0.205637	-0.019459	0.004083	0.009647	1015.309998	45.658905
230.546250	-1546.599854	-50523.183594	19480.171875	0.145153	9.908736	-0.164711	-0.044172	0.001817	0.015474	1015.309998	45.658905
230.557500	-1484.344849	-50528.507812	19627.437500	0.167077	9.934852	-0.129770	-0.048715	-0.000498	0.014084	1015.309998	45.658905
230.568750	-1491.391724	-50541.238281	19472.158203	0.172242	9.862962	-0.119757	-0.017589	0.001793	-0.001584	1015.309998	45.658905
230.580000	-1448.221802	-50554.292969	19437.306641	0.171903	9.895574	-0.137278	0.032168	0.006508	-0.021820	1015.309998	45.658905
230.591250	-1364.129761	-50537.589844	19497.154297	0.155501	9.916725	-0.161210	0.070936	0.010980	-0.036490	1015.309998	45.658905
230.602500	-1454.390381	-50513.527344	19467.390625	0.116521	9.977345	-0.188303	0.087358	0.013779	-0.036754	1015.320007	45.661247
230.613750	-1540.526611	-50527.390625	19552.369141	0.108586	10.004719	-0.209670	0.068300	0.011390	-0.025396	1015.320007	45.661247
230.625000	-1499.436279	-50515.132812	19460.582031	0.108680	9.994289	-0.203006	0.030997	0.008216	-0.011209	1015.320007	45.661247
230.636250	-1444.063843	-50529.042969	19612.875000	0.113315	9.991292	-0.200231	-0.018836	0.004266	0.004418	1015.320007	45.661247
230.647500	-1537.717285	-50531.230469	19610.570312	0.114584	9.990269	-0.191328	-0.048117	-0.000223	0.015474	1015.320007	45.661247
230.658750	-1513.122559	-50528.859375	19418.632812	0.133178	9.944526	-0.196119	-0.047085	0.000764	0.015738	1015.320007	45.661247
230.670000	-1474.690552	-50519.277344	19554.855469	0.149899	9.943809	-0.176743	-0.024180	0.003250	0.007833	1015.320007	45.661247
230.681250	-1484.740356	-50554.449219	19418.595703	0.162812	9.919551	-0.161393	0.021758	0.009098	-0.006628	1015.320007	45.661247
230.692500	-1464.442261	-50522.988281	19491.970703	0.157776	9.918238	-0.148310	0.058167	0.013103	-0.018608	1015.320007	45.661247
230.703750	-1523.302124	-50559.679687	19573.882812	0.157748	9.912648	-0.150083	0.067902	0.013753	-0.019964	1015.309998	45.663788
230.715000	-1569.437622	-50530.121094	19497.652344	0.141601	9.929822	-0.156706	0.050222	0.011616	-0.016831	1015.309998	45.663788
230.726250	-1456.277222	-50557.132812	19496.679687	0.154874	9.940844	-0.161879	0.022410	0.005980	-0.014111	1015.309998	45.663788
230.737500	-1504.714600	-50549.449219	19527.537109	0.147594	9.946510	-0.156921	-0.012609	0.001841	-0.007158	1015.309998	45.663788
230.748750	-1495.375977	-50531.363281	19476.855469	0.135553	9.940363	-0.150599	-0.023378	9.067191E-5	-0.004804	1015.309998	45.663788
230.760000	-1478.868652	-50527.335937	19388.765625	0.140704	9.941661	-0.174294	-0.012236	0.000935	-0.010454	1015.309998	45.663788
230.771250	-1519.009277	-50544.902344	19454.072266	0.121000	9.958946	-0.187768	0.017351	0.004770	-0.019250	1015.309998	45.663788
230.782500	-1500.669189	-50541.585937	19477.943359	0.102064	10.030467	-0.220445	0.051505	0.010844	-0.023873	1015.309998	45.663788
230.793750	-1456.097046	-50529.820312	19449.318359	0.091601	10.015443	-0.221658	0.058867	0.012634	-0.016831	1015.309998	45.663788
230.805000	-1499.572021	-50550.941406	19401.929687	0.100115	10.012976	-0.210954	0.045814	0.013431	-0.003116	1015.309998	45.663788
230.816250	-1461.569214	-50578.394531	19448.662109	0.137999	9.970836	-0.179507	0.012564	0.011147	0.010055	1015.309998	45.663788
230.827500	-1497.161987	-50561.281250	19540.443359	0.158765	9.883209	-0.138148	-0.022869	0.006233	0.013729	1015.309998	45.663788
230.838750	-1503.878784	-50564.039062	19408.023437	0.182471	9.860815	-0.122479	-0.045532	0.001179	0.013097	1015.309998	45.663788
230.850000	-1570.398437	-50551.648437	19558.894531	0.190033	9.864587	-0.097071	-0.033155	0.000559	0.003212	1015.309998	45.663788
230.861250	-1488.846924	-50549.960937	19497.371094	0.187991	9.864906	-0.105844	0.003033	0.002431	-0.015043	1015.309998	45.663788
230.872500	-1470.945557	-50534.867187	19506.017578	0.177836	9.873246	-0.125389	0.054498	0.006739	-0.039447	1015.309998	45.663788
230.883750	-1454.834351	-50548.953125	19605.748047	0.135131	9.966416	-0.171237	0.084891	0.010012	-0.048345	1015.309998	45.663788
230.895000	-1534.921875	-50531.289062	19669.927734	0.124962	9.983401	-0.213865	0.099081	0.012873	-0.045903	1015.309998	45.663788
230.906250	-1418.551147	-50554.574219	19589.083984	0.117072	10.024139	-0.231551	0.079391	0.011553	-0.033340	1015.329956	45.668671
230.917500	-1416.022705	-50536.191406	19582.873047	0.105303	10.024341	-0.232262	0.032248	0.008435	-0.016558	1015.329956	45.668671
230.928750	-1428.162109	-50521.289062	19509.531250	0.102110	9.980700	-0.210406	-0.016332	0.003315	-0.000131	1015.329956	45.668671
230.940000	-1397.313354	-50513.304687	19615.882812	0.121939	9.990192	-0.203949	-0.047754	0.000404	0.013306	1015.329956	45.668671
230.951250	-1448.189575	-50542.035156	19647.048828	0.146119	9.910949	-0.181193	-0.045869	0.000554	0.012026	1015.329956	45.668671
