time	vector.x	vector.y	vector.z	accel.x	accel.y	accel.z	gyro.x	gyro.y	gyro.z	bar	therm
320.512500	478.816803	-49411.468750	21641.234375	0.127782	9.959574	-0.387723	0.004558	0.003371	-0.010900	1011.820007	41.850700
320.523750	565.284302	-49422.277344	21654.396484	0.151819	9.950235	-0.388852	0.030609	0.007427	-0.016597	1011.820007	41.850700
320.535000	501.249176	-49421.906250	21573.587891	0.146702	9.947316	-0.382625	0.055545	0.010667	-0.024074	1011.820007	41.850700
320.546250	508.483521	-49428.003906	21688.712891	0.132115	9.957184	-0.394134	0.068280	0.012987	-0.027117	1011.820007	41.850700
320.557500	496.487213	-49404.519531	21559.505859	0.132998	9.955822	-0.385917	0.069486	0.014019	-0.023933	1011.820007	41.850700
320.568750	529.256897	-49393.257812	21582.517578	0.137090	9.962714	-0.401477	0.059497	0.012743	-0.018788	1011.820007	41.850700
320.580000	530.838074	-49394.316406	21679.855469	0.115728	9.962610	-0.401422	0.039963	0.010032	-0.012919	1011.820007	41.850700
320.591250	486.551056	-49396.796875	21805.947266	0.123789	9.959146	-0.388818	0.014273	0.007538	-0.007568	1011.820007	41.850700
320.602500	433.518097	-49404.351562	21710.000000	0.130781	9.953968	-0.392225	-0.009973	0.003283	-0.002288	1011.809998	41.855583
320.613750	491.200470	-49389.125000	21633.388672	0.133556	9.951423	-0.381064	-0.030570	0.000373	0.002656	1011.809998	41.855583
320.625000	540.302612	-49388.023437	21632.968750	0.140827	9.952515	-0.390324	-0.039558	-0.001574	0.004789	1011.809998	41.855583
320.636250	513.781494	-49384.757812	21685.951172	0.143741	9.956103	-0.394131	-0.028754	0.001041	0.002148	1011.809998	41.855583
320.647500	441.814026	-49388.433594	21608.767578	0.129758	9.956944	-0.377102	-0.011160	0.002428	-0.004638	1011.809998	41.855583
320.658750	397.546936	-49426.230469	21595.375000	0.138878	9.958385	-0.385990	0.015261	0.005472	-0.012087	1011.809998	41.855583
320.670000	399.829987	-49401.468750	21594.433594	0.131817	9.957721	-0.384623	0.039996	0.008851	-0.020840	1011.809998	41.855583
320.681250	452.529236	-49425.386719	21597.210937	0.140076	9.951903	-0.379491	0.057979	0.010938	-0.022290	1011.809998	41.855583
320.692500	443.460083	-49416.117187	21589.376953	0.130613	9.959036	-0.381153	0.071724	0.013648	-0.026285	1011.809998	41.855583
320.703750	395.273285	-49429.585937	21666.529297	0.142183	9.953192	-0.390311	0.066849	0.013324	-0.020811	1011.809998	41.853046
320.715000	347.074890	-49430.402344	21618.558594	0.142133	9.957072	-0.405106	0.056752	0.011744	-0.017106	1011.809998	41.853046
320.726250	494.814606	-49424.726562	21612.525391	0.143375	9.959555	-0.399474	0.030168	0.008549	-0.012736	1011.809998	41.853046
320.737500	469.849274	-49398.183594	21546.777344	0.130839	9.958395	-0.386809	0.000960	0.004964	-0.007990	1011.809998	41.853046
320.748750	540.217834	-49378.570312	21602.558594	0.127145	9.952954	-0.373815	-0.014563	0.003667	-0.002078	1011.809998	41.853046
320.760000	511.835327	-49387.859375	21631.451172	0.129760	9.960115	-0.376456	-0.031544	0.000525	0.002612	1011.809998	41.853046
320.771250	437.770203	-49405.597656	21576.353516	0.127914	9.955556	-0.391241	-0.032086	-2.823360E-5	0.002345	1011.809998	41.853046
320.782500	421.293701	-49417.375000	21646.832031	0.143114	9.950300	-0.402119	-0.029228	0.000574	0.001723	1011.809998	41.853046
320.793750	355.371796	-49408.949219	21757.816406	0.139155	9.947062	-0.393920	-0.005882	0.003968	-0.005915	1011.809998	41.853046
320.805000	538.311890	-49392.023437	21790.984375	0.134256	9.955282	-0.395208	0.020649	0.007176	-0.013820	1011.789978	41.855583
