time	vector.x	vector.y	vector.z	accel.x	accel.y	accel.z	gyro.x	gyro.y	gyro.z	bar	therm
248.580000	3668.456787	-49385.128906	20500.054687	-0.465436	9.929827	-0.202970	-0.030150	-0.000609	0.002405	1011.869995	44.004414
248.591250	3452.590332	-49378.890625	20522.216797	-0.441851	9.925692	-0.217901	-0.025427	0.000897	0.002219	1011.869995	44.004414
248.602500	3702.872559	-49368.792969	20484.380859	-0.444267	9.929469	-0.235210	-0.007738	0.002815	-0.003917	1011.839966	44.006950
248.613750	3642.223633	-49380.281250	20560.490234	-0.457781	9.951607	-0.219597	0.027406	0.007122	-0.017364	1011.839966	44.006950
248.625000	3526.621338	-49379.214844	20546.830078	-0.463242	9.969458	-0.216355	0.050893	0.010859	-0.024065	1011.839966	44.006950
248.636250	3527.139160	-49419.222656	20503.046875	-0.473812	9.973330	-0.205531	0.064324	0.013651	-0.024046	1011.839966	44.006950
248.647500	3597.870605	-49385.832031	20484.978516	-0.467344	9.958993	-0.203906	0.066015	0.012594	-0.019935	1011.839966	44.006950
248.658750	3602.761719	-49362.875000	20499.162109	-0.455662	9.942785	-0.205645	0.040608	0.009482	-0.012195	1011.839966	44.006950
248.670000	3553.671875	-49385.984375	20706.617187	-0.454569	9.944329	-0.214506	0.010047	0.005111	-0.006746	1011.839966	44.006950
248.681250	3555.775146	-49383.062500	20451.916016	-0.453086	9.955667	-0.219669	-0.019353	0.001914	-0.001877	1011.839966	44.006950
248.692500	3601.186523	-49382.160156	20554.074219	-0.455005	9.972198	-0.214079	-0.034007	9.091817E-6	0.002124	1011.839966	44.006950
248.703750	3620.943359	-49389.824219	20467.955078	-0.475466	9.962516	-0.213773	-0.029084	0.000669	0.000422	1011.829956	44.009296
248.715000	3507.125488	-49369.359375	20458.906250	-0.467667	9.939321	-0.210301	-0.008380	0.003551	-0.005180	1011.829956	44.009296
248.726250	3612.441162	-49380.417969	20542.337891	-0.455373	9.944516	-0.207753	0.018385	0.006013	-0.013228	1011.829956	44.009296
248.737500	3577.057373	-49373.265625	20551.958984	-0.443630	9.951325	-0.205096	0.055222	0.011135	-0.023749	1011.829956	44.009296
248.748750	3657.841309	-49411.945312	20465.460937	-0.449477	9.953323	-0.209957	0.067696	0.012795	-0.025926	1011.829956	44.009296
248.760000	3438.732178	-49389.015625	20410.357422	-0.464074	9.968263	-0.203448	0.065192	0.012808	-0.021987	1011.829956	44.009296
