time	vector.x	vector.y	vector.z	accel.x	accel.y	accel.z	gyro.x	gyro.y	gyro.z	bar	therm
143.561250	523.528015	-50044.484375	21804.103516	0.150201	9.976957	-0.381432	0.020856	0.005611	-0.013310	1011.789978	38.695625
143.572500	493.133087	-50024.566406	21752.429687	0.143500	9.968681	-0.396577	0.036748	0.009259	-0.019924	1011.789978	38.695625
143.583750	519.085876	-50029.324219	21606.160156	0.137722	9.962185	-0.381473	0.045625	0.012513	-0.024166	1011.789978	38.695625
143.595000	646.472656	-50082.921875	21768.550781	0.132408	9.964651	-0.352910	0.060708	0.013514	-0.028907	1011.789978	38.695625
143.606250	610.068359	-50044.402344	21787.212891	0.121360	9.966351	-0.370130	0.066032	0.012994	-0.029574	1011.789978	38.693279
143.617500	472.200287	-50018.292969	21846.496094	0.107991	9.970307	-0.365864	0.069929	0.012344	-0.026264	1011.789978	38.693279
143.628750	529.786316	-50030.609375	21942.439453	0.126229	9.979288	-0.396947	0.068489	0.012513	-0.021855	1011.789978	38.693279
143.640000	575.061890	-50020.980469	22019.003906	0.145525	9.971891	-0.389116	0.061199	0.012580	-0.018824	1011.789978	38.693279
143.651250	712.733154	-50045.484375	21995.128906	0.152672	9.956036	-0.389413	0.045172	0.011723	-0.016350	1011.789978	38.693279
143.662500	599.314453	-50017.171875	21903.414062	0.153591	9.963318	-0.363677	0.033252	0.010298	-0.013086	1011.789978	38.693279
143.673750	638.351318	-50042.070312	21886.134766	0.133393	9.974056	-0.356690	0.013171	0.007271	-0.008805	1011.789978	38.693279
143.685000	528.895569	-50057.808594	21877.638672	0.114635	9.968422	-0.367193	-0.003417	0.005108	-0.005451	1011.789978	38.693279
143.696250	535.482727	-50047.730469	21831.683594	0.126415	9.973295	-0.357566	-0.016042	0.002264	-0.002392	1011.789978	38.693279
143.707500	530.128479	-50058.042969	21812.828125	0.114740	9.968986	-0.372333	-0.026742	0.000961	0.003049	1011.759949	38.698357
143.718750	618.909058	-50035.062500	21867.292969	0.131958	9.966891	-0.377138	-0.035458	0.000964	0.004592	1011.759949	38.698357
143.730000	615.797974	-50032.480469	21879.820312	0.137390	9.963838	-0.389590	-0.037935	-0.000148	0.001973	1011.759949	38.698357
143.741250	621.839294	-50035.542969	21780.517578	0.140839	9.965763	-0.376844	-0.038199	5.982177E-5	0.000826	1011.759949	38.698357
143.752500	510.128815	-50075.457031	21882.408203	0.125775	9.967967	-0.365369	-0.030439	0.000548	-0.001206	1011.759949	38.698357
