time	vector.x	vector.y	vector.z	accel.x	accel.y	accel.z	gyro.x	gyro.y	gyro.z	bar	therm
506.655000	526.702026	-49714.925781	20110.351562	0.071176	9.967490	-0.243216	-0.004616	0.003700	-0.006535	1011.729980	42.040741
506.666250	626.501465	-49645.976562	20177.392578	0.067530	9.968444	-0.248990	0.022059	0.007022	-0.015343	1011.729980	42.040741
506.677500	580.330872	-49671.507812	20106.138672	0.073192	9.964679	-0.249085	0.044955	0.010123	-0.021882	1011.729980	42.040741
506.688750	543.447937	-49676.277344	20126.474609	0.072035	9.961121	-0.255059	0.061413	0.011401	-0.025831	1011.729980	42.040741
506.700000	517.234924	-49685.757812	20160.164062	0.062992	9.967580	-0.247486	0.069950	0.013533	-0.024714	1011.739990	42.043282
506.711250	519.270325	-49691.125000	20163.917969	0.073087	9.963342	-0.242874	0.064826	0.013505	-0.020873	1011.739990	42.043282
506.722500	618.580261	-49673.980469	20076.994141	0.053285	9.966170	-0.257621	0.050106	0.011168	-0.015642	1011.739990	42.043282
506.733750	568.286621	-49684.265625	20171.210937	0.071963	9.976908	-0.241099	0.022754	0.008200	-0.010119	1011.739990	42.043282
506.745000	594.645386	-49668.328125	20200.109375	0.071658	9.973491	-0.258650	-0.006761	0.004494	-0.005026	1011.739990	42.043282
506.756250	697.327942	-49671.906250	20032.345703	0.069799	9.965837	-0.249343	-0.025272	0.001558	-0.000991	1011.739990	42.043282
506.767500	568.309387	-49666.968750	20043.738281	0.062295	9.961410	-0.248869	-0.036970	0.000547	0.005101	1011.739990	42.043282
506.778750	563.342041	-49685.542969	20067.099609	0.065121	9.953896	-0.246296	-0.033762	-0.000176	0.003136	1011.739990	42.043282
506.790000	598.532166	-49700.328125	20103.541016	0.059888	9.958844	-0.251030	-0.017787	0.001318	-0.003917	1011.739990	42.043282
506.801250	500.763062	-49687.386719	20240.326172	0.071985	9.967488	-0.254395	0.001436	0.004574	-0.010533	1011.729980	42.040741
506.812500	473.748169	-49715.718750	20130.015625	0.074595	9.973085	-0.244751	0.029538	0.008100	-0.018627	1011.729980	42.040741
506.823750	542.744751	-49711.199219	19972.335937	0.074010	9.972768	-0.245045	0.056549	0.011496	-0.025029	1011.729980	42.040741
506.835000	465.976562	-49720.238281	20046.162109	0.069974	9.967178	-0.250742	0.067380	0.013439	-0.025699	1011.729980	42.040741
506.846250	392.104980	-49703.074219	20067.392578	0.081797	9.958148	-0.249256	0.071287	0.013847	-0.024139	1011.729980	42.040741
506.857500	471.063599	-49701.226562	20076.519531	0.060964	9.968456	-0.256624	0.060198	0.011822	-0.019590	1011.729980	42.040741
506.868750	438.883148	-49689.078125	19906.494141	0.075261	9.965934	-0.258645	0.030947	0.009398	-0.012499	1011.729980	42.040741
506.880000	484.455414	-49702.644531	20045.398437	0.075106	9.961110	-0.243447	0.008620	0.006398	-0.007428	1011.729980	42.040741
506.891250	558.997375	-49734.625000	19973.718750	0.065346	9.967842	-0.242501	-0.010492	0.003737	-0.002635	1011.729980	42.040741
506.902500	657.389160	-49702.109375	20082.410156	0.063431	9.967154	-0.241404	-0.032882	3.564158E-5	0.002579	1011.739990	42.043282
506.913750	664.605225	-49669.613281	20091.320312	0.069394	9.966412	-0.248443	-0.033702	-0.000947	0.004546	1011.739990	42.043282
506.925000	474.827118	-49662.585937	20144.304687	0.068719	9.950231	-0.255438	-0.023517	0.000616	-0.000321	1011.739990	42.043282
506.936250	514.183533	-49662.425781	20123.910156	0.083155	9.966764	-0.257314	-0.006874	0.002628	-0.007535	1011.739990	42.043282
506.947500	428.199585	-49674.406250	20192.828125	0.071632	9.961582	-0.262656	0.021222	0.006423	-0.017038	1011.739990	42.043282
