time	vector.x	vector.y	vector.z	accel.x	accel.y	accel.z	gyro.x	gyro.y	gyro.z	bar	therm
341.403750	2851.964111	-49381.996094	18833.646484	-0.286346	9.962713	0.145644	-0.013434	0.003423	-0.000342	1011.820007	42.749725
341.415000	2771.045654	-49381.285156	18799.525391	-0.311118	9.980928	0.139900	-0.032370	0.000961	0.003635	1011.820007	42.749725
341.426250	2785.896973	-49369.824219	18804.365234	-0.335157	9.979069	0.137431	-0.031562	0.000530	0.003003	1011.820007	42.749725
341.437500	2750.715088	-49347.468750	18706.326172	-0.327157	9.966360	0.153468	-0.023414	0.001173	0.000944	1011.820007	42.749725
341.448750	2728.018799	-49361.753906	18692.988281	-0.327689	9.965346	0.138315	0.003690	0.003940	-0.004627	1011.820007	42.749725
341.460000	2822.873047	-49372.851562	18594.583984	-0.296167	9.951565	0.136285	0.039405	0.008984	-0.016026	1011.820007	42.749725
341.471250	2909.500000	-49349.101562	18779.234375	-0.292977	9.943978	0.134121	0.054982	0.010733	-0.020464	1011.820007	42.749725
341.482500	2820.996582	-49360.371094	18720.388672	-0.309221	9.949115	0.151548	0.072485	0.013530	-0.025894	1011.820007	42.749725
341.493750	2882.385254	-49363.828125	18774.460937	-0.339363	9.971640	0.141705	0.067755	0.011919	-0.021898	1011.820007	42.749725
341.505000	2814.220215	-49389.078125	18734.027344	-0.316300	9.975595	0.115569	0.051579	0.010565	-0.016312	1011.829956	42.745037
341.516250	2730.916748	-49390.007812	18689.062500	-0.285939	9.944620	0.087204	0.022585	0.008937	-0.011663	1011.829956	42.745037
341.527500	2710.936279	-49389.972656	18764.412109	-0.270409	9.891184	0.098692	-0.013362	0.005951	-0.009925	1011.829956	42.745037
341.538750	2674.578369	-49409.585937	18883.943359	-0.289631	9.913060	0.143304	-0.042080	0.001912	-0.006313	1011.829956	42.745037
341.550000	2773.422607	-49401.074219	18882.058594	-0.316781	9.962631	0.176305	-0.045187	0.001076	-0.006292	1011.829956	42.745037
341.561250	2728.926514	-49388.972656	18641.234375	-0.310537	10.001047	0.166018	-0.034886	0.002252	-0.010160	1011.829956	42.745037
341.572500	2723.866455	-49417.121094	18632.908203	-0.306291	9.979273	0.133949	-0.023411	0.003865	-0.016094	1011.829956	42.745037
341.583750	2701.040283	-49404.789062	18586.908203	-0.298914	9.953106	0.118256	0.004123	0.008254	-0.025955	1011.829956	42.745037
341.595000	2755.549316	-49410.820312	18639.464844	-0.294004	9.945315	0.138553	0.039189	0.012342	-0.034059	1011.829956	42.745037
