time	vector.x	vector.y	vector.z	accel.x	accel.y	accel.z	gyro.x	gyro.y	gyro.z	bar	therm
237.296250	-189.530945	-49854.328125	20642.166016	0.168440	9.967071	-0.254861	0.049756	0.010787	-0.021631	1011.929993	41.321991
237.307500	-244.662766	-49857.085937	20643.531250	0.176848	9.962088	-0.268258	0.071505	0.013145	-0.025830	1011.929993	41.326874
237.318750	-187.828705	-49866.039062	20682.250000	0.179471	9.958342	-0.254755	0.073899	0.013402	-0.026851	1011.929993	41.326874
237.330000	-271.101440	-49863.382812	20706.656250	0.178449	9.959458	-0.257728	0.069512	0.012713	-0.025561	1011.929993	41.326874
237.341250	-183.076477	-49844.000000	20638.013672	0.163859	9.978001	-0.265630	0.050212	0.011161	-0.019678	1011.929993	41.326874
237.352500	-130.312668	-49882.871094	20620.484375	0.184937	9.980660	-0.274208	0.029221	0.008609	-0.013474	1011.929993	41.326874
237.363750	-311.385620	-49865.335937	20777.492187	0.167594	9.946389	-0.277362	-0.001587	0.004416	-0.005786	1011.929993	41.326874
237.375000	-290.527679	-49858.789062	20612.021484	0.167109	9.955676	-0.257446	-0.022244	0.000972	0.000124	1011.929993	41.326874
237.386250	-202.857208	-49894.105469	20680.357422	0.160617	9.966089	-0.253473	-0.038337	-0.000404	0.005047	1011.929993	41.326874
237.397500	-203.676346	-49877.335937	20643.550781	0.161314	9.967220	-0.262663	-0.037422	-0.001515	0.003937	1011.929993	41.326874
237.408750	-191.536438	-49848.015625	20641.154297	0.156186	9.960833	-0.267367	-0.031470	-0.000480	-8.925003E-6	1011.940002	41.326874
237.420000	-129.349457	-49849.136719	20688.609375	0.155490	9.968393	-0.269606	-0.014056	0.000929	-0.008196	1011.940002	41.326874
237.431250	-216.475632	-49877.867187	20668.798828	0.159332	9.958829	-0.249605	0.012652	0.004216	-0.015449	1011.940002	41.326874
237.442500	-162.217407	-49869.699219	20753.271484	0.159871	9.973022	-0.274527	0.035291	0.007274	-0.020726	1011.940002	41.326874
237.453750	-245.888733	-49870.378906	20621.490234	0.164699	9.977055	-0.275963	0.052186	0.010098	-0.022690	1011.940002	41.326874
237.465000	-105.654480	-49889.445312	20595.482422	0.165523	9.961875	-0.266573	0.069119	0.013279	-0.024398	1011.940002	41.326874
237.476250	-169.650391	-49868.726562	20700.359375	0.177753	9.961704	-0.264245	0.065112	0.012690	-0.021592	1011.940002	41.326874
237.487500	-259.889252	-49916.960937	20696.078125	0.151409	9.963542	-0.268305	0.062695	0.012527	-0.020872	1011.940002	41.326874
237.498750	-38.972084	-49892.484375	20725.761719	0.168905	9.968921	-0.266048	0.046285	0.010519	-0.016100	1011.940002	41.326874
237.510000	-332.675232	-49901.546875	20612.810547	0.167541	9.969522	-0.263743	0.019739	0.007775	-0.010633	1011.909973	41.329414
237.521250	-147.826431	-49881.066406	20617.828125	0.169046	9.957564	-0.270662	-0.002797	0.005348	-0.005787	1011.909973	41.329414
237.532500	-191.387131	-49885.316406	20737.392578	0.169745	9.967843	-0.277592	-0.025106	0.002586	0.000441	1011.909973	41.329414
237.543750	-144.192001	-49885.097656	20675.720703	0.168295	9.970778	-0.265104	-0.036694	-2.772913E-5	0.003539	1011.909973	41.329414
237.555000	-63.755642	-49879.394531	20665.378906	0.166556	9.971046	-0.270630	-0.037645	-0.000424	0.002926	1011.909973	41.329414
237.566250	-153.630692	-49895.933594	20738.703125	0.176099	9.963611	-0.262610	-0.027752	0.000775	0.000640	1011.909973	41.329414
237.577500	-128.329544	-49883.542969	20698.609375	0.155928	9.969102	-0.275388	-0.010824	0.001810	-0.009323	1011.909973	41.329414
237.588750	-77.157539	-49855.710937	20614.033203	0.167378	9.951208	-0.262421	0.014865	0.006474	-0.017694	1011.909973	41.329414
237.600000	-235.535477	-49882.261719	20730.666016	0.175206	9.966267	-0.260223	0.043246	0.007083	-0.023761	1011.909973	41.324532
237.611250	-236.533386	-49868.160156	20769.107422	0.149737	9.964124	-0.281933	0.062750	0.011364	-0.027201	1011.909973	41.324532
237.622500	-309.184662	-49857.593750	20694.273437	0.160307	9.988836	-0.269651	0.068776	0.013185	-0.023694	1011.909973	41.324532
237.633750	-159.773544	-49872.273437	20606.820312	0.170231	9.972119	-0.257319	0.063492	0.011831	-0.021634	1011.909973	41.324532
237.645000	-107.794312	-49882.750000	20619.451172	0.171692	9.953280	-0.265680	0.061824	0.012574	-0.020871	1011.909973	41.324532
237.656250	-134.484528	-49882.253906	20648.285156	0.176001	9.980627	-0.273984	0.041801	0.010096	-0.017043	1011.909973	41.324532
237.667500	-87.663223	-49878.429687	20670.322266	0.165056	9.966840	-0.267499	0.017787	0.006983	-0.010414	1011.909973	41.324532
237.678750	-153.870041	-49867.367187	20612.701172	0.157821	9.956787	-0.280632	-0.007648	0.003807	-0.003020	1011.909973	41.324532
237.690000	-179.545151	-49899.871094	20685.628906	0.165777	9.959810	-0.257818	-0.027091	0.000217	0.002471	1011.909973	41.324532
237.701250	-174.207932	-49884.074219	20717.335937	0.186227	9.974411	-0.262271	-0.036306	-0.000245	0.005548	1011.929993	41.329414
237.712500	-133.796936	-49866.292969	20751.638672	0.166204	9.969063	-0.256923	-0.031410	-0.000611	0.001663	1011.929993	41.329414
237.723750	-84.347679	-49869.898437	20714.228516	0.161875	9.961777	-0.260481	-0.017905	0.001147	-0.003991	1011.929993	41.329414
237.735000	-256.557281	-49875.992187	20757.871094	0.162382	9.971999	-0.271398	-0.001276	0.003300	-0.010307	1011.929993	41.329414
237.746250	-47.886383	-49884.371094	20731.371094	0.167622	9.981059	-0.273915	0.021021	0.005130	-0.016668	1011.929993	41.329414
237.757500	-181.211960	-49871.988281	20604.677734	0.167399	9.959166	-0.260152	0.044764	0.008724	-0.022190	1011.929993	41.329414
237.768750	-175.324265	-49887.769531	20604.054687	0.164006	9.969418	-0.280051	0.060259	0.011913	-0.024106	1011.929993	41.329414
237.780000	-172.907181	-49863.375000	20767.138672	0.151984	9.966865	-0.261341	0.075485	0.013582	-0.026923	1011.929993	41.329414
237.791250	-40.526253	-49859.871094	20807.541016	0.160767	9.966246	-0.271080	0.065561	0.012636	-0.022041	1011.929993	41.329414
237.802500	-123.973770	-49889.523437	20859.216797	0.168222	9.954015	-0.262839	0.055501	0.011252	-0.019153	1011.919983	41.329414
237.813750	-256.709229	-49892.925781	20688.583984	0.159340	9.969496	-0.276938	0.031591	0.007689	-0.013578	1011.919983	41.329414
237.825000	-82.408043	-49864.269531	20574.949219	0.169173	9.966979	-0.278236	0.011401	0.005982	-0.008663	1011.919983	41.329414
237.836250	-239.218933	-49898.539062	20461.562500	0.165885	9.963581	-0.260725	-0.011349	0.003564	-0.000509	1011.919983	41.329414
237.847500	-140.419464	-49887.347656	20536.640625	0.174020	9.978932	-0.265523	-0.025249	0.002024	0.001905	1011.919983	41.329414
237.858750	-177.770050	-49895.406250	20607.005859	0.153741	9.963400	-0.261954	-0.032409	-0.000161	0.003670	1011.919983	41.329414
237.870000	-189.539520	-49878.312500	20690.128906	0.166034	9.964124	-0.271758	-0.033800	-0.000484	0.002769	1011.919983	41.329414
237.881250	-109.443909	-49873.164062	20648.605469	0.171526	9.955376	-0.275137	-0.016813	0.001528	-0.004626	1011.919983	41.329414
237.892500	-85.620438	-49865.058594	20681.876953	0.166886	9.957026	-0.258705	0.004153	0.003447	-0.012260	1011.919983	41.329414
237.903750	-118.495743	-49860.800781	20644.794922	0.167245	9.957601	-0.265056	0.030052	0.007352	-0.019742	1011.909973	41.329414
237.915000	-107.272919	-49854.953125	20660.304687	0.177907	9.964043	-0.270346	0.049400	0.009559	-0.024055	1011.909973	41.329414
237.926250	-85.245209	-49867.394531	20653.791016	0.174961	9.962171	-0.269200	0.063129	0.012641	-0.024494	1011.909973	41.329414
237.937500	-228.163651	-49895.914062	20608.232422	0.170694	9.970688	-0.264590	0.069318	0.013151	-0.023482	1011.909973	41.329414
237.948750	-185.988815	-49900.156250	20543.613281	0.160170	9.967829	-0.247983	0.062831	0.011353	-0.021735	1011.909973	41.329414
237.960000	-237.624100	-49870.113281	20667.955078	0.175700	9.965470	-0.272124	0.053900	0.010682	-0.018680	1011.909973	41.329414
237.971250	-97.980843	-49861.718750	20630.310547	0.167599	9.976925	-0.277903	0.026890	0.009020	-0.013538	1011.909973	41.329414
237.982500	-183.276169	-49878.082031	20582.753906	0.174977	9.963638	-0.271954	0.005475	0.005187	-0.008260	1011.909973	41.329414
237.993750	-178.139114	-49900.929687	20435.900391	0.169414	9.956989	-0.260138	-0.012415	0.003129	-0.000835	1011.909973	41.329414
238.005000	-32.241493	-49887.117187	20680.808594	0.158778	9.961243	-0.252028	-0.033134	0.000212	0.004346	1011.919983	41.331757
238.016250	-241.262711	-49868.253906	20593.552734	0.166920	9.963049	-0.273803	-0.038155	-0.001111	0.003517	1011.919983	41.331757
238.027500	-264.165405	-49894.656250	20646.894531	0.166935	9.957100	-0.270212	-0.033211	-0.000735	0.001322	1011.919983	41.331757
238.038750	-205.391632	-49886.167969	20755.685547	0.173040	9.963527	-0.271261	-0.016194	0.000982	-0.006155	1011.919983	41.331757
238.050000	-131.513992	-49870.777344	20658.728516	0.172413	9.970434	-0.268670	0.010083	0.005063	-0.013835	1011.919983	41.331757
238.061250	-190.416534	-49910.488281	20535.660156	0.154748	9.966954	-0.264608	0.031637	0.008635	-0.020021	1011.919983	41.331757
238.072500	-205.304230	-49887.621094	20666.437500	0.165841	9.968938	-0.272055	0.054828	0.011911	-0.024694	1011.919983	41.331757
238.083750	-106.054398	-49863.914062	20752.777344	0.160342	9.968719	-0.269867	0.063121	0.011789	-0.024697	1011.919983	41.331757
238.095000	-156.365402	-49894.691406	20849.251953	0.159172	9.972665	-0.263434	0.070975	0.013626	-0.023443	1011.919983	41.331757
238.106250	-235.140472	-49866.882812	20719.683594	0.180009	9.959438	-0.264125	0.064218	0.012764	-0.021850	1011.909973	41.334297
238.117500	-136.537003	-49827.011719	20613.687500	0.173042	9.969225	-0.260098	0.052133	0.011960	-0.018513	1011.909973	41.334297
238.128750	-108.951653	-49833.550781	20660.656250	0.164299	9.964967	-0.270422	0.026690	0.007754	-0.013394	1011.909973	41.334297
238.140000	-281.127106	-49859.636719	20637.738281	0.168507	9.965531	-0.272277	-0.003145	0.004733	-0.006096	1011.909973	41.334297
238.151250	-264.720215	-49864.855469	20595.191406	0.158499	9.963479	-0.254148	-0.021335	0.001325	-0.000287	1011.909973	41.334297
238.162500	-171.869354	-49879.609375	20602.123047	0.171307	9.963745	-0.268049	-0.033500	0.000478	0.004218	1011.909973	41.334297
238.173750	-143.488663	-49867.410156	20573.054687	0.175493	9.965331	-0.273966	-0.035439	-0.001220	0.003272	1011.909973	41.334297
238.185000	-242.650497	-49862.140625	20650.494141	0.180659	9.959891	-0.255811	-0.032109	0.000271	-0.000410	1011.909973	41.334297
238.196250	-187.194412	-49878.535156	20622.072266	0.171907	9.968732	-0.264431	-0.010620	0.001977	-0.008305	1011.909973	41.334297
238.207500	-259.431732	-49909.304687	20716.099609	0.174087	9.973308	-0.264594	0.014105	0.004995	-0.016058	1011.940002	41.334297
238.218750	-305.798279	-49872.664062	20707.460937	0.170251	9.962906	-0.269650	0.035994	0.008549	-0.021345	1011.940002	41.334297
238.230000	-274.331055	-49867.683594	20714.908203	0.164705	9.954401	-0.284008	0.058011	0.012048	-0.024666	1011.940002	41.334297
238.241250	-278.252167	-49854.710937	20628.199219	0.167334	9.957372	-0.273674	0.068807	0.013043	-0.026001	1011.940002	41.334297
238.252500	-200.995499	-49855.148437	20711.636719	0.162573	9.962316	-0.255655	0.072921	0.013259	-0.025214	1011.940002	41.334297
238.263750	-197.248444	-49863.269531	20677.773437	0.171966	9.972692	-0.267481	0.062716	0.011718	-0.021457	1011.940002	41.334297
238.275000	-118.291367	-49881.253906	20650.146484	0.163979	9.959517	-0.266562	0.044619	0.010262	-0.017369	1011.940002	41.334297
238.286250	-228.263931	-49873.113281	20713.662109	0.173673	9.958040	-0.276854	0.019564	0.007419	-0.012321	1011.940002	41.334297
238.297500	-241.993912	-49871.058594	20666.191406	0.178140	9.965528	-0.266597	-0.003217	0.004035	-0.006480	1011.940002	41.334297
238.308750	-126.037582	-49841.121094	20742.429687	0.170410	9.957886	-0.261367	-0.023235	0.001859	0.000689	1011.909973	41.331757
238.320000	-230.136688	-49849.906250	20607.451172	0.168263	9.958041	-0.262804	-0.034005	-0.001375	0.003240	1011.909973	41.331757
238.331250	-156.392288	-49910.296875	20661.185547	0.157969	9.955365	-0.273417	-0.032070	-0.000745	0.001329	1011.909973	41.331757
238.342500	-233.474640	-49853.671875	20764.349609	0.169421	9.950599	-0.270916	-0.028353	-0.000794	-0.003189	1011.909973	41.331757
238.353750	-169.883453	-49871.753906	20635.232422	0.164323	9.960270	-0.259938	-0.003560	0.002491	-0.010468	1011.909973	41.331757
238.365000	-157.348862	-49854.976562	20555.599609	0.165984	9.957437	-0.262345	0.023209	0.006187	-0.018552	1011.909973	41.331757
238.376250	-171.218552	-49868.039062	20597.128906	0.171404	9.966708	-0.269116	0.042711	0.008717	-0.021979	1011.909973	41.331757
238.387500	-129.494171	-49881.441406	20650.072266	0.179203	9.967910	-0.263667	0.062853	0.012430	-0.025444	1011.909973	41.331757
238.398750	-159.516678	-49893.648437	20458.679687	0.164867	9.967969	-0.258012	0.066980	0.013087	-0.024769	1011.909973	41.331757
238.410000	-179.813400	-49889.023437	20574.679687	0.167453	9.961000	-0.264298	0.071155	0.012398	-0.024157	1011.909973	41.336639
238.421250	-202.559036	-49871.812500	20619.113281	0.169466	9.971042	-0.253657	0.057132	0.011796	-0.019759	1011.909973	41.336639
238.432500	-119.042641	-49867.800781	20640.921875	0.168675	9.966131	-0.275313	0.042751	0.010672	-0.016142	1011.909973	41.336639
238.443750	-165.090866	-49883.992187	20812.175781	0.168747	9.967670	-0.271058	0.009785	0.006988	-0.008832	1011.909973	41.336639
238.455000	-126.470459	-49857.523437	20732.160156	0.170788	9.962173	-0.261119	-0.005906	0.003611	-0.004002	1011.909973	41.336639
238.466250	-78.224648	-49837.867187	20487.759766	0.175845	9.966331	-0.264183	-0.026176	0.000754	0.001503	1011.909973	41.336639
238.477500	-252.361267	-49847.132812	20686.378906	0.158206	9.968854	-0.269357	-0.034897	-0.000409	0.004778	1011.909973	41.336639
238.488750	-208.896027	-49867.515625	20655.958984	0.166735	9.959708	-0.264832	-0.031975	0.000372	0.003149	1011.909973	41.336639
238.500000	-168.557312	-49869.394531	20613.732422	0.157212	9.970047	-0.251956	-0.021457	0.000109	-0.003128	1011.919983	41.334297
238.511250	-171.382507	-49873.933594	20712.427734	0.176247	9.984334	-0.270049	-0.002246	0.002109	-0.010746	1011.919983	41.334297
238.522500	-130.286667	-49886.875000	20570.541016	0.167730	9.953336	-0.271345	0.020909	0.005448	-0.017264	1011.919983	41.334297
238.533750	-239.161575	-49897.812500	20611.193359	0.159231	9.963356	-0.270752	0.045739	0.010327	-0.022533	1011.919983	41.334297
238.545000	-150.734177	-49858.703125	20846.986328	0.172414	9.962032	-0.273161	0.061241	0.011977	-0.024421	1011.919983	41.334297
238.556250	-115.700226	-49861.359375	20566.593750	0.158883	9.950377	-0.259893	0.069695	0.013255	-0.024361	1011.919983	41.334297
238.567500	-86.789139	-49867.066406	20515.546875	0.164981	9.951080	-0.266222	0.067995	0.013966	-0.023021	1011.919983	41.334297
238.578750	-239.227814	-49861.660156	20620.580078	0.171935	9.963088	-0.253955	0.053398	0.011978	-0.019163	1011.919983	41.334297
238.590000	-112.143593	-49882.074219	20599.365234	0.172367	9.952148	-0.270147	0.034387	0.009538	-0.013989	1011.919983	41.334297
238.601250	-42.278355	-49891.621094	20694.115234	0.174459	9.967312	-0.273222	0.005773	0.005145	-0.006616	1011.929993	41.334297
238.612500	-151.475983	-49866.433594	20746.960937	0.173479	9.972581	-0.260378	-0.014672	0.003152	-0.000909	1011.929993	41.334297
238.623750	-176.848389	-49875.566406	20713.806641	0.160640	9.966935	-0.257266	-0.034552	-0.000254	0.005397	1011.929993	41.334297
