time	vector.x	vector.y	vector.z	accel.x	accel.y	accel.z	gyro.x	gyro.y	gyro.z	bar	therm
143.898750	556.326050	-50260.003906	20348.103516	0.043863	9.966884	-0.242456	-0.029732	7.167638E-5	9.715040E-5	1011.659973	38.527657
143.910000	458.818695	-50269.699219	20436.062500	0.061112	9.965997	-0.255738	-0.026087	0.000692	0.002251	1011.669983	38.537422
143.921250	504.816895	-50246.785156	20488.605469	0.059525	9.973803	-0.263788	-0.015765	0.000954	-0.003509	1011.669983	38.537422
143.932500	506.704926	-50243.109375	20323.363281	0.068951	9.981605	-0.275385	-0.009905	0.002720	-0.007158	1011.669983	38.537422
143.943750	684.112122	-50224.664062	20368.894531	0.087984	9.979825	-0.280289	0.003221	0.003906	-0.013171	1011.669983	38.537422
143.955000	556.918823	-50238.953125	20366.544922	0.058311	9.977413	-0.273226	0.016141	0.005562	-0.016913	1011.669983	38.537422
143.966250	631.683899	-50259.820312	20206.150391	0.058094	9.974636	-0.267050	0.038437	0.009416	-0.022488	1011.669983	38.537422
143.977500	541.217590	-50245.093750	20296.708984	0.053957	9.964983	-0.248311	0.055615	0.011722	-0.026327	1011.669983	38.537422
143.988750	612.469604	-50247.765625	20407.345703	0.077302	9.974475	-0.265233	0.060271	0.012187	-0.026810	1011.669983	38.537422
144.000000	587.755310	-50248.492187	20533.541016	0.078533	9.973938	-0.263415	0.070894	0.013999	-0.028521	1011.659973	38.532539
144.011250	534.862732	-50246.523437	20492.097656	0.081005	9.974920	-0.283317	0.066617	0.013686	-0.026252	1011.659973	38.532539
144.022500	492.526398	-50254.175781	20392.771484	0.065337	9.972068	-0.268484	0.065908	0.012386	-0.024205	1011.659973	38.532539
144.033750	643.613037	-50257.832031	20270.500000	0.045311	9.963130	-0.263435	0.060405	0.011952	-0.019852	1011.659973	38.532539
144.045000	648.207336	-50228.375000	20409.062500	0.063247	9.956207	-0.264549	0.050453	0.011934	-0.017032	1011.659973	38.532539
144.056250	561.753967	-50250.003906	20457.179687	0.061693	9.978404	-0.257016	0.039230	0.009940	-0.013121	1011.659973	38.532539
144.067500	485.105347	-50238.648437	20362.707031	0.050256	9.971793	-0.271821	0.020126	0.008065	-0.009742	1011.659973	38.532539
144.078750	498.985901	-50257.687500	20425.423828	0.060592	9.989794	-0.278186	0.007247	0.005724	-0.007477	1011.659973	38.532539
144.090000	550.648132	-50252.734375	20402.769531	0.065196	9.984802	-0.279804	-0.012244	0.003231	-0.003739	1011.659973	38.532539
144.101250	461.760193	-50256.703125	20566.988281	0.065990	9.968471	-0.278613	-0.020370	0.003066	0.000275	1011.669983	38.534882
144.112500	515.936462	-50244.257812	20520.781250	0.061091	9.964767	-0.273381	-0.028862	0.001708	0.001160	1011.669983	38.534882
144.123750	556.385010	-50237.199219	20378.939453	0.060411	9.963453	-0.257202	-0.033363	0.000164	0.001913	1011.669983	38.534882
144.135000	573.909363	-50250.109375	20272.777344	0.061376	9.967079	-0.263058	-0.036057	-0.000501	0.001758	1011.669983	38.534882
144.146250	669.603088	-50247.289062	20385.722656	0.062815	9.985950	-0.269475	-0.030844	-0.000518	0.000935	1011.669983	38.534882
144.157500	604.160156	-50252.578125	20325.738281	0.071540	9.983768	-0.267816	-0.026348	0.000660	-0.000803	1011.669983	38.534882
144.168750	517.534180	-50267.453125	20382.683594	0.066176	9.972631	-0.255821	-0.013230	0.002604	-0.004895	1011.669983	38.534882
144.180000	541.206421	-50259.023437	20497.556641	0.068215	9.974072	-0.256200	0.002484	0.004320	-0.007922	1011.669983	38.534882
144.191250	452.363953	-50270.316406	20427.982422	0.061497	9.973994	-0.265461	0.014348	0.005586	-0.014872	1011.669983	38.534882
144.202500	434.769653	-50263.015625	20379.591797	0.077564	9.983276	-0.262996	0.031041	0.007758	-0.018870	1011.639954	38.542305
144.213750	518.171082	-50285.156250	20294.869141	0.059472	9.986035	-0.282576	0.043564	0.009128	-0.023933	1011.639954	38.542305
144.225000	576.846191	-50262.855469	20472.156250	0.061587	9.988010	-0.268592	0.057317	0.011325	-0.025519	1011.639954	38.542305
144.236250	618.682739	-50256.613281	20290.505859	0.067174	9.979297	-0.279912	0.064947	0.012731	-0.027579	1011.639954	38.542305
144.247500	532.796753	-50291.894531	20251.013672	0.062900	9.973380	-0.267231	0.069732	0.013111	-0.028162	1011.639954	38.542305
144.258750	568.404053	-50253.351562	20385.742187	0.058474	9.965074	-0.267767	0.068371	0.013726	-0.024916	1011.639954	38.542305
144.270000	552.736633	-50272.304687	20391.232422	0.068348	9.985717	-0.272318	0.066305	0.013009	-0.021964	1011.639954	38.542305
144.281250	616.698120	-50274.347656	20343.494141	0.059377	9.972905	-0.280048	0.057397	0.012660	-0.019776	1011.639954	38.542305
144.292500	611.532898	-50252.390625	20200.451172	0.060996	9.974483	-0.273695	0.045479	0.011611	-0.015778	1011.639954	38.542305
144.303750	773.350708	-50255.597656	20352.714844	0.058250	9.976832	-0.270573	0.033784	0.010212	-0.012790	1011.679993	38.547188
144.315000	572.723877	-50254.949219	20467.652344	0.064438	9.982035	-0.275696	0.015802	0.007252	-0.008119	1011.679993	38.547188
144.326250	624.605713	-50249.449219	20433.708984	0.056420	9.972046	-0.269856	0.001078	0.005533	-0.005744	1011.679993	38.547188
144.337500	593.151001	-50272.675781	20530.263672	0.065630	9.975487	-0.272090	-0.017598	0.002850	-0.001975	1011.679993	38.547188
144.348750	636.112305	-50220.558594	20279.263672	0.075613	9.975929	-0.270715	-0.028257	0.000170	-0.000882	1011.679993	38.547188
144.360000	545.244629	-50280.011719	20427.412109	0.074417	9.976131	-0.270939	-0.032670	-2.926316E-5	0.000168	1011.679993	38.547188
144.371250	528.210632	-50234.355469	20311.564453	0.075906	9.967196	-0.256344	-0.033686	0.000416	0.001572	1011.679993	38.547188
144.382500	618.468018	-50264.703125	20379.287109	0.065346	9.966917	-0.267918	-0.033814	-9.839586E-5	0.001857	1011.679993	38.547188
144.393750	663.320862	-50235.562500	20251.382812	0.069964	9.974729	-0.257402	-0.028232	0.000239	-0.000103	1011.679993	38.547188
144.405000	499.157715	-50248.851562	20444.187500	0.059134	9.973686	-0.277176	-0.020270	0.000996	-0.002812	1011.690002	38.549530
144.416250	609.004028	-50231.363281	20418.429687	0.069741	9.983690	-0.266113	-0.008866	0.001768	-0.006627	1011.690002	38.549530
144.427500	663.360352	-50219.210937	20238.285156	0.067928	9.962831	-0.282045	0.009669	0.004234	-0.012740	1011.690002	38.549530
144.438750	643.616211	-50238.644531	20404.681641	0.061594	9.975985	-0.275749	0.025535	0.006045	-0.017639	1011.690002	38.549530
144.450000	530.606262	-50247.078125	20350.582031	0.054919	9.966098	-0.275448	0.039076	0.008786	-0.020888	1011.690002	38.549530
144.461250	572.593750	-50238.796875	20476.826172	0.072004	9.983263	-0.264338	0.046724	0.009300	-0.023990	1011.690002	38.549530
144.472500	636.758423	-50234.281250	20398.769531	0.075695	9.976840	-0.266170	0.060759	0.011805	-0.026243	1011.690002	38.549530
144.483750	536.548889	-50224.898437	20456.298828	0.065597	9.973042	-0.270218	0.065396	0.012672	-0.026434	1011.690002	38.549530
144.495000	504.950806	-50219.773437	20276.371094	0.059256	9.981374	-0.272193	0.071699	0.014196	-0.026912	1011.690002	38.549530
144.506250	547.711975	-50224.785156	20318.732422	0.069391	9.978220	-0.279071	0.067429	0.013542	-0.023476	1011.690002	38.549530
144.517500	536.377075	-50247.765625	20388.398437	0.068159	9.980671	-0.267018	0.061269	0.013160	-0.020505	1011.690002	38.549530
144.528750	605.685181	-50235.207031	20415.966797	0.056937	9.979720	-0.261391	0.049195	0.011161	-0.016261	1011.690002	38.549530
144.540000	520.997253	-50250.628906	20165.322266	0.066563	9.977244	-0.271437	0.035435	0.009726	-0.012593	1011.690002	38.549530
144.551250	525.172791	-50245.347656	20327.869141	0.077988	9.990704	-0.272326	0.020050	0.007776	-0.008941	1011.690002	38.549530
144.562500	471.924835	-50230.972656	20337.945312	0.077827	9.981681	-0.279508	0.010203	0.006870	-0.006057	1011.690002	38.549530
144.573750	513.159973	-50262.390625	20225.654297	0.059243	9.980968	-0.288041	-0.008400	0.004728	-0.002251	1011.690002	38.549530
144.585000	615.992249	-50235.996094	20263.101562	0.066930	9.968169	-0.273520	-0.022839	0.002231	0.000957	1011.690002	38.549530
144.596250	628.115479	-50235.429687	20330.916016	0.066403	9.974664	-0.260948	-0.027591	0.001626	-8.320501E-5	1011.690002	38.549530
144.607500	666.996155	-50226.328125	20349.650391	0.068638	9.972738	-0.266874	-0.038824	-0.000792	0.002705	1011.719971	38.549530
144.618750	629.369446	-50248.589844	20159.707031	0.076946	9.974575	-0.269991	-0.034984	-0.000468	0.001321	1011.719971	38.549530
144.630000	533.858215	-50252.570312	20353.496094	0.076206	9.982790	-0.262527	-0.033047	-0.000213	0.000865	1011.719971	38.549530
144.641250	444.146942	-50243.855469	20160.958984	0.067012	9.976258	-0.266865	-0.026936	0.000556	-0.002399	1011.719971	38.549530
144.652500	585.210266	-50249.367187	20299.640625	0.065596	9.969635	-0.277201	-0.015662	0.000676	-0.006023	1011.719971	38.549530
144.663750	502.769684	-50249.828125	20374.191406	0.062415	9.974381	-0.270142	0.000314	0.003088	-0.010097	1011.719971	38.549530
144.675000	566.470276	-50303.664062	20460.349609	0.074117	9.970524	-0.268087	0.018454	0.005595	-0.015481	1011.719971	38.549530
144.686250	637.782166	-50246.718750	20372.990234	0.069139	9.975463	-0.268938	0.029938	0.007675	-0.018814	1011.719971	38.549530
144.697500	594.305176	-50243.156250	20352.318359	0.073584	9.971914	-0.260569	0.048755	0.010209	-0.024232	1011.719971	38.549530
144.708750	649.615295	-50257.449219	20253.830078	0.072497	9.974303	-0.252109	0.061530	0.013201	-0.027045	1011.709961	38.549530
144.720000	546.935669	-50257.160156	20334.687500	0.065868	9.972460	-0.263873	0.064449	0.012318	-0.027179	1011.709961	38.549530
144.731250	515.105042	-50255.031250	20475.292969	0.056262	9.973537	-0.270624	0.064543	0.012452	-0.026119	1011.709961	38.549530
144.742500	582.375977	-50273.839844	20362.882812	0.060644	9.969942	-0.278331	0.070274	0.014261	-0.024933	1011.709961	38.549530
144.753750	584.967712	-50249.363281	20231.896484	0.074569	9.975408	-0.270318	0.062713	0.013087	-0.021259	1011.709961	38.549530
144.765000	576.453064	-50252.808594	20367.126953	0.081860	9.989028	-0.262607	0.057841	0.012048	-0.019026	1011.709961	38.549530
144.776250	594.776489	-50275.859375	20439.505859	0.077016	9.983938	-0.270914	0.042014	0.010925	-0.014130	1011.709961	38.549530
144.787500	641.022705	-50223.058594	20397.482422	0.063283	9.980591	-0.262385	0.029710	0.008607	-0.011520	1011.709961	38.549530
