time	vector.x	vector.y	vector.z	accel.x	accel.y	accel.z	gyro.x	gyro.y	gyro.z	bar	therm
173.812500	-146.299744	-50006.609375	20643.562500	0.188526	10.013263	-0.254359	0.006245	0.003943	-0.018329	1012.029968	38.332733
173.823750	-64.768639	-50009.757812	20805.054687	0.174541	10.005278	-0.243971	-0.012857	0.001930	-0.010319	1012.029968	38.332733
173.835000	-63.285522	-50023.656250	20769.277344	0.181946	9.973107	-0.227584	-0.026245	0.000672	-0.002427	1012.029968	38.332733
173.846250	-73.109093	-50014.039062	20732.375000	0.203383	9.972437	-0.222081	-0.030422	-0.000192	-0.000639	1012.029968	38.332733
173.857500	-109.448265	-50003.851562	20632.037109	0.206761	9.981030	-0.250791	-0.036922	-0.001057	0.003858	1012.029968	38.332733
173.868750	-0.525217	-49969.347656	20595.861328	0.199730	9.983852	-0.238026	-0.031704	-0.000194	0.000461	1012.029968	38.332733
173.880000	-96.841393	-49994.359375	20646.386719	0.197360	9.967796	-0.243802	-0.033674	-0.000622	0.000363	1012.029968	38.332733
173.891250	31.499966	-50006.093750	20680.835937	0.217921	9.973380	-0.229290	-0.030106	-0.000760	-0.001818	1012.029968	38.332733
173.902500	-33.220886	-50024.417969	20603.033203	0.198730	9.980760	-0.244999	-0.017991	0.000907	-0.006258	1011.989990	38.332733
173.913750	-30.019150	-50019.675781	20575.921875	0.194205	9.968248	-0.250668	-0.004655	0.003151	-0.009639	1011.989990	38.332733
173.925000	-113.661346	-50017.644531	20719.962891	0.202144	9.966490	-0.239549	0.013574	0.006767	-0.014988	1011.989990	38.332733
173.936250	-83.570969	-50028.664062	20804.212891	0.220407	9.974604	-0.227029	0.030258	0.007877	-0.020398	1011.989990	38.332733
173.947500	4.659958	-50034.988281	20660.365234	0.208728	9.977342	-0.227975	0.045297	0.009230	-0.026704	1011.989990	38.332733
173.958750	-12.462996	-50005.515625	20687.644531	0.201125	9.978157	-0.245466	0.054750	0.009446	-0.027958	1011.989990	38.332733
173.970000	-6.941391	-50027.386719	20524.923828	0.184838	9.966079	-0.234646	0.063879	0.012564	-0.027654	1011.989990	38.332733
173.981250	-196.386108	-50015.253906	20722.736328	0.193756	9.989018	-0.235863	0.064735	0.013094	-0.025238	1011.989990	38.332733
173.992500	-87.841881	-50032.273437	20661.335937	0.206568	9.985623	-0.210147	0.070643	0.013501	-0.023481	1011.989990	38.332733
