time	vector.x	vector.y	vector.z	accel.x	accel.y	accel.z	gyro.x	gyro.y	gyro.z	bar	therm
352.890000	-131.142532	-49668.000000	20483.322266	0.211245	9.967301	-0.219229	0.052911	0.011622	-0.019378	1012.059998	40.286640
352.901250	-110.658585	-49729.421875	20409.261719	0.189904	9.978971	-0.219667	0.032774	0.008146	-0.014960	1012.029968	40.284100
352.912500	-66.239616	-49656.535156	20500.160156	0.196218	9.973142	-0.228894	0.010785	0.004969	-0.008804	1012.029968	40.284100
352.923750	-88.871101	-49671.066406	20445.117187	0.199333	9.968599	-0.220342	-0.006816	0.003008	-0.002543	1012.029968	40.284100
352.935000	-89.133675	-49684.113281	20423.535156	0.205790	9.964492	-0.228097	-0.021719	0.001529	0.003000	1012.029968	40.284100
352.946250	-133.586945	-49666.121094	20566.853516	0.207865	9.966688	-0.228756	-0.031612	0.000365	0.005443	1012.029968	40.284100
352.957500	-125.990685	-49732.601562	20519.490234	0.208976	9.966345	-0.229831	-0.035471	-0.000761	0.004585	1012.029968	40.284100
352.968750	-129.995438	-49668.175781	20511.144531	0.215807	9.966274	-0.231732	-0.027066	0.000437	-0.000533	1012.029968	40.284100
352.980000	-85.479996	-49668.300781	20447.246094	0.197320	9.978510	-0.221082	-0.017328	0.001166	-0.006445	1012.029968	40.284100
352.991250	-58.532295	-49666.054687	20629.265625	0.181225	9.988723	-0.215586	0.006028	0.005199	-0.012955	1012.029968	40.284100
353.002500	-24.078827	-49679.003906	20522.679687	0.186398	9.966761	-0.222647	0.028734	0.007823	-0.017496	1012.039978	40.288982
353.013750	-95.325455	-49711.437500	20624.490234	0.197440	9.966052	-0.221410	0.050284	0.010284	-0.022945	1012.039978	40.288982
353.025000	-45.924057	-49678.816406	20551.832031	0.206428	9.986111	-0.227336	0.062285	0.011532	-0.025318	1012.039978	40.288982
353.036250	-56.672073	-49682.269531	20572.402344	0.207171	9.975226	-0.230333	0.071663	0.012919	-0.025689	1012.039978	40.288982
353.047500	80.541397	-49670.492187	20652.347656	0.203966	9.960891	-0.215157	0.071767	0.013002	-0.024053	1012.039978	40.288982
353.058750	-42.775917	-49718.171875	20565.738281	0.192265	9.966685	-0.229270	0.065666	0.013550	-0.021035	1012.039978	40.288982
353.070000	-47.822067	-49689.105469	20457.333984	0.200141	9.971591	-0.226660	0.046662	0.010514	-0.017226	1012.039978	40.288982
353.081250	-10.527388	-49682.402344	20524.113281	0.203189	9.972347	-0.229910	0.023772	0.008055	-0.011149	1012.039978	40.288982
353.092500	-6.033234	-49690.242187	20515.048828	0.194101	9.968106	-0.221693	0.007234	0.005680	-0.006670	1012.039978	40.288982
353.103750	-129.718521	-49686.230469	20500.328125	0.193549	9.961528	-0.237665	-0.013889	0.003846	-0.000541	1012.049988	40.288982
353.115000	-36.382359	-49668.929687	20469.064453	0.201782	9.961060	-0.228360	-0.031160	0.000362	0.003377	1012.049988	40.288982
353.126250	-74.833771	-49691.136719	20596.218750	0.209105	9.960573	-0.220447	-0.038255	0.000382	0.004044	1012.049988	40.288982
353.137500	-179.196762	-49676.148437	20423.195312	0.206944	9.964534	-0.220408	-0.041234	-0.001240	0.005730	1012.049988	40.288982
353.148750	-87.359924	-49673.566406	20561.908203	0.192425	9.964064	-0.223744	-0.022268	0.001018	-0.002043	1012.049988	40.288982
353.160000	-26.874992	-49673.183594	20509.947266	0.204055	9.971803	-0.224012	-0.003661	0.003654	-0.008543	1012.049988	40.288982
353.171250	35.094410	-49687.062500	20479.964844	0.205716	9.974762	-0.220437	0.015586	0.006052	-0.014103	1012.049988	40.288982
353.182500	29.432291	-49678.421875	20520.445312	0.207824	9.969669	-0.231266	0.038613	0.009060	-0.021084	1012.049988	40.288982
353.193750	-36.023262	-49659.121094	20665.492187	0.189934	9.968597	-0.216713	0.049213	0.011320	-0.022649	1012.049988	40.288982
353.205000	-70.144432	-49643.628906	20507.320312	0.201076	9.967141	-0.212855	0.069488	0.012848	-0.025771	1012.019958	40.284100
353.216250	-127.426399	-49655.703125	20522.958984	0.203086	9.974208	-0.233676	0.070180	0.012972	-0.023055	1012.019958	40.284100
353.227500	-40.641888	-49668.648437	20506.468750	0.196660	9.961130	-0.230791	0.066775	0.013133	-0.020900	1012.019958	40.284100
353.238750	-115.667244	-49703.949219	20532.531250	0.203145	9.972589	-0.215063	0.057294	0.011621	-0.018533	1012.019958	40.284100
353.250000	-112.867004	-49684.429687	20488.966797	0.194950	9.963491	-0.227580	0.036349	0.009133	-0.014098	1012.019958	40.284100
353.261250	-56.128582	-49681.953125	20566.074219	0.192896	9.963397	-0.233553	0.011290	0.006032	-0.008778	1012.019958	40.284100
353.272500	-40.219734	-49685.171875	20480.109375	0.202948	9.956726	-0.234114	-0.006550	0.003475	-0.002360	1012.019958	40.284100
353.283750	-49.121681	-49678.328125	20381.419922	0.200500	9.971808	-0.215579	-0.017741	0.002763	0.000869	1012.019958	40.284100
353.295000	-94.743401	-49654.906250	20481.003906	0.209137	9.970191	-0.224394	-0.033718	0.000381	0.004860	1012.019958	40.284100
353.306250	-65.773575	-49670.148437	20615.068359	0.207180	9.961064	-0.218409	-0.034024	0.000200	0.002074	1012.039978	40.288982
353.317500	-125.860245	-49676.636719	20465.041016	0.208669	9.969052	-0.222796	-0.028116	0.000666	0.000400	1012.039978	40.288982
353.328750	-134.157196	-49722.992187	20451.382812	0.203508	9.972021	-0.228462	-0.015792	0.001604	-0.004146	1012.039978	40.288982
353.340000	-62.082554	-49672.742187	20650.847656	0.197545	9.965280	-0.227119	-0.000661	0.003745	-0.009192	1012.039978	40.288982
353.351250	-2.988567	-49679.257812	20544.169922	0.193053	9.967329	-0.228145	0.020116	0.006409	-0.016524	1012.039978	40.288982
353.362500	16.951351	-49660.960937	20557.681641	0.192498	9.966599	-0.229139	0.044242	0.008636	-0.023067	1012.039978	40.288982
353.373750	-97.401154	-49669.585937	20675.681641	0.186280	9.972677	-0.223193	0.057003	0.011285	-0.024350	1012.039978	40.288982
353.385000	-124.648109	-49690.910156	20633.933594	0.205248	9.973313	-0.220020	0.068917	0.012088	-0.025597	1012.039978	40.288982
353.396250	-20.188480	-49684.820312	20598.613281	0.197269	9.964429	-0.218803	0.068752	0.012933	-0.022997	1012.039978	40.288982
353.407500	-178.604996	-49674.898437	20555.132812	0.205807	9.967256	-0.226614	0.064177	0.012509	-0.020289	1012.049988	40.286640
353.418750	-110.326111	-49671.839844	20623.312500	0.205978	9.970982	-0.218789	0.049903	0.010845	-0.016432	1012.049988	40.286640
353.430000	-10.899543	-49713.746094	20447.472656	0.195291	9.960409	-0.222796	0.025058	0.007506	-0.011797	1012.049988	40.286640
353.441250	-124.378510	-49695.199219	20587.367187	0.202847	9.971054	-0.230406	0.004605	0.006926	-0.006657	1012.049988	40.286640
353.452500	-175.994308	-49665.695312	20450.949219	0.206707	9.968795	-0.237630	-0.016547	0.004055	0.000621	1012.049988	40.286640
353.463750	-22.947779	-49665.480469	20577.525391	0.198725	9.973682	-0.221783	-0.027289	0.001409	0.002895	1012.049988	40.286640
353.475000	-1.640462	-49705.824219	20532.515625	0.202687	9.970468	-0.220088	-0.037488	-0.000791	0.004870	1012.049988	40.286640
353.486250	-149.380325	-49679.859375	20317.490234	0.205367	9.981469	-0.234050	-0.031941	-0.000684	0.003076	1012.049988	40.286640
353.497500	-39.015495	-49664.867187	20453.521484	0.192643	9.973618	-0.221058	-0.026029	0.000672	-0.000663	1012.049988	40.286640
353.508750	-5.577435	-49688.406250	20441.488281	0.195927	9.981096	-0.222143	-0.005626	0.003141	-0.007116	1012.029968	40.288982
353.520000	48.561214	-49671.710937	20488.417969	0.214364	9.981607	-0.234966	0.012243	0.004852	-0.014082	1012.029968	40.288982
353.531250	-5.689956	-49675.726562	20534.423828	0.207406	9.967954	-0.237521	0.034790	0.007129	-0.021500	1012.029968	40.288982
353.542500	-33.746399	-49678.261719	20519.359375	0.202985	9.958834	-0.229323	0.055831	0.011035	-0.024828	1012.029968	40.288982
353.553750	-146.951660	-49672.066406	20613.167969	0.207182	9.971801	-0.227853	0.066677	0.012729	-0.025078	1012.029968	40.288982
353.565000	-128.504837	-49680.257812	20375.101562	0.204425	9.972759	-0.223848	0.072982	0.013099	-0.024451	1012.029968	40.288982
353.576250	-132.899750	-49644.687500	20506.890625	0.202442	9.972971	-0.225941	0.069644	0.013365	-0.021805	1012.029968	40.288982
353.587500	-37.791370	-49661.132812	20608.072266	0.202598	9.965811	-0.230966	0.055811	0.011868	-0.017728	1012.029968	40.288982
353.598750	-39.906387	-49649.218750	20596.878906	0.194730	9.960822	-0.235344	0.037450	0.009474	-0.013728	1012.029968	40.288982
353.610000	-74.521057	-49670.085937	20486.287109	0.195097	9.967340	-0.222631	0.014517	0.007357	-0.007845	1012.049988	40.291328
353.621250	-17.439117	-49699.582031	20570.216797	0.189984	9.965749	-0.215162	-0.004525	0.004384	-0.003680	1012.049988	40.291328
353.632500	-61.766541	-49710.164062	20517.730469	0.200606	9.959085	-0.226876	-0.024075	0.002408	0.002528	1012.049988	40.291328
353.643750	-94.227081	-49688.195312	20617.429687	0.197998	9.963647	-0.219850	-0.032611	-0.000267	0.004375	1012.049988	40.291328
353.655000	-39.133987	-49686.812500	20570.052734	0.199499	9.973689	-0.222003	-0.037625	-0.000782	0.004695	1012.049988	40.291328
353.666250	51.329514	-49683.066406	20503.195312	0.203007	9.970338	-0.226734	-0.032651	-0.000133	0.002775	1012.049988	40.291328
353.677500	-66.286079	-49685.226562	20602.349609	0.207828	9.973284	-0.230659	-0.019888	0.001752	-0.003162	1012.049988	40.291328
353.688750	-63.219982	-49679.707031	20592.906250	0.200568	9.955539	-0.230285	0.008619	0.004911	-0.011399	1012.049988	40.291328
353.700000	-60.318932	-49691.550781	20493.794922	0.202082	9.970303	-0.226012	0.023881	0.006510	-0.017694	1012.019958	40.288982
353.711250	-66.341675	-49640.316406	20436.271484	0.201722	9.973086	-0.236518	0.043531	0.008884	-0.022106	1012.019958	40.288982
353.722500	-169.451843	-49704.824219	20460.835937	0.198192	9.972240	-0.222406	0.056596	0.011194	-0.023834	1012.019958	40.288982
353.733750	61.900700	-49697.621094	20514.548828	0.199456	9.967564	-0.222919	0.069423	0.013289	-0.024475	1012.019958	40.288982
353.745000	83.427238	-49666.320312	20549.714844	0.191575	9.978174	-0.218976	0.071408	0.013383	-0.023518	1012.019958	40.288982
353.756250	68.364090	-49683.335937	20407.138672	0.209330	9.966486	-0.215153	0.067943	0.013456	-0.021519	1012.019958	40.288982
353.767500	-75.182579	-49674.597656	20575.691406	0.206846	9.958502	-0.225204	0.047002	0.010126	-0.016364	1012.019958	40.288982
353.778750	-78.835236	-49680.421875	20622.898437	0.205480	9.974671	-0.220111	0.026266	0.008092	-0.010792	1012.019958	40.288982
353.790000	-35.211109	-49695.039062	20539.226562	0.198266	9.975627	-0.235318	0.007188	0.006756	-0.006029	1012.019958	40.288982
353.801250	26.008373	-49677.593750	20622.181641	0.203997	9.976504	-0.231377	-0.014586	0.003599	-0.000321	1012.039978	40.291328
353.812500	-18.916431	-49669.554687	20574.511719	0.207547	9.965955	-0.229387	-0.033088	0.000247	0.003516	1012.039978	40.291328
353.823750	-99.619766	-49683.949219	20452.248047	0.204949	9.971807	-0.231431	-0.034829	-0.000628	0.003924	1012.039978	40.291328
353.835000	0.043186	-49664.609375	20457.931641	0.214161	9.961997	-0.217499	-0.033997	-0.000536	0.004187	1012.039978	40.291328
353.846250	14.210201	-49691.238281	20419.947266	0.210696	9.974782	-0.215087	-0.021492	0.001137	-0.000877	1012.039978	40.291328
353.857500	-34.068810	-49667.519531	20602.246094	0.213626	9.959769	-0.221268	-0.003231	0.003567	-0.007229	1012.039978	40.291328
353.868750	-29.926872	-49641.058594	20488.634766	0.208039	9.969135	-0.218164	0.015259	0.005574	-0.014761	1012.039978	40.291328
353.880000	81.513611	-49637.250000	20473.941406	0.207721	9.971354	-0.228348	0.029861	0.007154	-0.019265	1012.039978	40.291328
353.891250	-23.401434	-49653.964844	20457.505859	0.207245	9.964448	-0.222778	0.051158	0.010496	-0.023221	1012.039978	40.291328
353.902500	-159.323853	-49669.832031	20607.107422	0.198444	9.970408	-0.236450	0.060582	0.012404	-0.024164	1012.039978	40.293865
353.913750	-59.057949	-49669.843750	20503.492187	0.191286	9.972310	-0.227000	0.069505	0.013902	-0.023400	1012.039978	40.293865
353.925000	-34.872425	-49673.906250	20479.994141	0.195724	9.962459	-0.231367	0.064253	0.012344	-0.020721	1012.039978	40.293865
353.936250	19.711836	-49705.671875	20404.816406	0.189542	9.964780	-0.233809	0.053585	0.011043	-0.018508	1012.039978	40.293865
353.947500	-18.506912	-49676.925781	20490.458984	0.198728	9.959893	-0.234202	0.035699	0.009654	-0.012875	1012.039978	40.293865
353.958750	-132.557617	-49678.046875	20549.000000	0.191049	9.963435	-0.207494	0.013112	0.007702	-0.007607	1012.039978	40.293865
353.970000	-73.129143	-49677.457031	20425.357422	0.196554	9.963313	-0.214924	-0.006215	0.004961	-0.003457	1012.039978	40.293865
353.981250	-27.225489	-49697.316406	20535.126953	0.197079	9.961217	-0.236720	-0.021761	0.002372	0.000716	1012.039978	40.293865
353.992500	-97.865074	-49672.738281	20485.173828	0.200875	9.961089	-0.230422	-0.037239	-3.400528E-5	0.005305	1012.039978	40.293865
354.003750	-28.459766	-49655.316406	20515.179687	0.209792	9.964714	-0.209534	-0.035945	-0.000310	0.004361	1012.029968	40.293865
354.015000	-9.831823	-49669.488281	20492.603516	0.206081	9.972955	-0.227712	-0.033474	-0.000533	0.002826	1012.029968	40.293865
354.026250	-90.473701	-49649.945312	20455.947266	0.194329	9.972393	-0.222942	-0.015547	0.002402	-0.003552	1012.029968	40.293865
354.037500	34.735699	-49673.296875	20530.066406	0.189710	9.967971	-0.227290	0.001256	0.004414	-0.011059	1012.029968	40.293865
354.048750	83.513023	-49680.867187	20585.031250	0.192084	9.978349	-0.220049	0.021388	0.005811	-0.017119	1012.029968	40.293865
354.060000	-30.478592	-49638.199219	20468.324219	0.201760	9.973271	-0.239716	0.043880	0.009070	-0.022446	1012.029968	40.293865
354.071250	-47.313602	-49645.972656	20461.097656	0.185538	9.978907	-0.235003	0.061112	0.011304	-0.024585	1012.029968	40.293865
354.082500	-98.280716	-49664.984375	20428.400391	0.213875	9.977316	-0.225502	0.069873	0.013441	-0.023951	1012.029968	40.293865
354.093750	30.285429	-49718.214844	20499.820312	0.206951	9.968823	-0.222296	0.072189	0.013288	-0.023017	1012.029968	40.293865
354.105000	-42.198280	-49662.324219	20457.337891	0.210996	9.969513	-0.222025	0.063279	0.012502	-0.019316	1012.049988	40.293865
354.116250	4.445677	-49668.488281	20496.261719	0.202453	9.977062	-0.227916	0.046992	0.009935	-0.015727	1012.049988	40.293865
354.127500	-64.472580	-49666.277344	20574.513672	0.193887	9.962676	-0.235634	0.035635	0.009968	-0.013676	1012.049988	40.293865
354.138750	-27.236288	-49686.226562	20496.421875	0.207374	9.965912	-0.224939	0.006086	0.006102	-0.007195	1012.049988	40.293865
