time	vector.x	vector.y	vector.z	accel.x	accel.y	accel.z	gyro.x	gyro.y	gyro.z	bar	therm
238.106250	48.701759	-49008.355469	19852.937500	0.185156	9.959719	-0.215595	-0.027050	0.000513	-0.000865	1012.159973	40.771599
238.117500	94.294403	-49036.816406	19808.832031	0.173212	9.961302	-0.219577	-0.011249	0.002145	-0.006603	1012.159973	40.771599
238.128750	188.970673	-49042.957031	19920.980469	0.181618	9.972973	-0.219526	0.012994	0.004375	-0.014245	1012.159973	40.771599
238.140000	124.318306	-48990.687500	19820.476562	0.183000	9.970426	-0.214133	0.033587	0.007529	-0.019412	1012.159973	40.771599
238.151250	147.615387	-49010.449219	19814.220703	0.166314	9.959395	-0.217221	0.054589	0.010405	-0.024354	1012.159973	40.771599
238.162500	64.113831	-49025.125000	19810.699219	0.181742	9.961454	-0.218476	0.066414	0.013147	-0.025289	1012.159973	40.771599
238.173750	133.587082	-49033.753906	19951.572266	0.184734	9.965636	-0.209010	0.073120	0.013482	-0.025145	1012.159973	40.771599
238.185000	188.099701	-48993.925781	19814.792969	0.192735	9.970479	-0.213282	0.069290	0.014055	-0.023088	1012.159973	40.771599
238.196250	105.037964	-49004.031250	19836.509766	0.181183	9.955177	-0.223259	0.054776	0.011646	-0.019465	1012.159973	40.771599
238.207500	216.843414	-49020.261719	19857.044922	0.194854	9.964272	-0.225565	0.031996	0.009327	-0.014512	1012.190002	40.773945
238.218750	125.133911	-49032.523437	19876.816406	0.189295	9.966041	-0.213255	0.003704	0.005088	-0.008305	1012.190002	40.773945
238.230000	120.306923	-49026.226562	19818.882812	0.190669	9.980312	-0.217098	-0.015884	0.003705	-0.000143	1012.190002	40.773945
238.241250	88.804756	-49044.445312	19797.869141	0.189450	9.964264	-0.223436	-0.028771	0.000793	0.003659	1012.190002	40.773945
238.252500	98.970016	-49052.187500	19843.337891	0.184532	9.963051	-0.214524	-0.036953	-0.000152	0.004667	1012.190002	40.773945
238.263750	30.920919	-49039.382812	19971.187500	0.182862	9.969869	-0.212070	-0.033046	0.000384	0.001783	1012.190002	40.773945
238.275000	230.727127	-49048.441406	19860.931641	0.172969	9.981683	-0.227780	-0.021128	0.000773	-0.003691	1012.190002	40.773945
238.286250	135.278549	-49074.585937	19866.636719	0.167971	9.983761	-0.232463	-0.003745	0.002848	-0.009128	1012.190002	40.773945
238.297500	152.505249	-49048.031250	19845.958984	0.194463	9.962985	-0.222552	0.025115	0.006630	-0.017409	1012.190002	40.773945
238.308750	128.346725	-49035.457031	19930.525391	0.194436	9.964318	-0.217388	0.049363	0.009984	-0.022621	1012.159973	40.771599
238.320000	106.586990	-49054.500000	20024.130859	0.174382	9.964301	-0.223328	0.065900	0.011143	-0.025794	1012.159973	40.771599
238.331250	49.908752	-49069.230469	19688.972656	0.178251	9.973090	-0.233167	0.069278	0.012710	-0.023325	1012.159973	40.771599
238.342500	146.838867	-49043.335937	19860.691406	0.191409	9.959116	-0.226175	0.069699	0.013558	-0.022340	1012.159973	40.771599
238.353750	200.134964	-49031.308594	19832.521484	0.201577	9.950116	-0.207420	0.062526	0.013154	-0.021244	1012.159973	40.771599
238.365000	142.065033	-49066.945312	19946.267578	0.184423	9.963056	-0.211917	0.048072	0.011156	-0.018177	1012.159973	40.771599
238.376250	125.360321	-49028.496094	19844.095703	0.175666	9.973771	-0.219405	0.019317	0.007074	-0.012387	1012.159973	40.771599
238.387500	249.686066	-49012.253906	19798.595703	0.173855	9.974552	-0.235851	-0.009985	0.003672	-0.003326	1012.159973	40.771599
238.398750	216.863205	-48994.449219	19797.937500	0.179038	9.961434	-0.223823	-0.024679	0.001575	0.003958	1012.159973	40.771599
238.410000	268.940735	-49021.796875	19852.582031	0.192282	9.955327	-0.208871	-0.034261	-0.000295	0.004716	1012.190002	40.773945
238.421250	221.651474	-49019.867187	19689.652344	0.174866	9.962709	-0.225609	-0.040368	-0.001913	0.004035	1012.190002	40.773945
238.432500	145.633072	-49052.457031	19954.238281	0.170212	9.969828	-0.233243	-0.028066	-0.000374	-0.001397	1012.190002	40.773945
238.443750	163.638947	-49027.121094	19792.490234	0.180470	9.973030	-0.223716	-0.011247	0.002363	-0.007557	1012.190002	40.773945
238.455000	124.368462	-49081.171875	19853.763672	0.187967	9.950103	-0.214897	0.012471	0.005057	-0.015117	1012.190002	40.773945
238.466250	129.931824	-49086.164062	19882.369141	0.193048	9.947781	-0.219030	0.039410	0.008613	-0.020516	1012.190002	40.773945
238.477500	119.592590	-49058.625000	19920.009766	0.186269	9.957266	-0.213468	0.061102	0.012151	-0.026281	1012.190002	40.773945
238.488750	171.478607	-49022.402344	19791.757812	0.198797	9.983987	-0.220109	0.070241	0.013974	-0.026992	1012.190002	40.773945
238.500000	104.167549	-49048.351562	19823.220703	0.191240	9.963597	-0.227546	0.072355	0.014075	-0.025298	1012.179993	40.773945
238.511250	106.728188	-49016.269531	19843.958984	0.190753	9.954902	-0.212124	0.070233	0.014233	-0.024931	1012.179993	40.773945
238.522500	229.922256	-49007.265625	19793.871094	0.172408	9.956117	-0.221319	0.060330	0.013560	-0.023481	1012.179993	40.773945
238.533750	199.026718	-49032.074219	19891.615234	0.177838	9.973670	-0.221584	0.032456	0.009516	-0.017059	1012.179993	40.773945
238.545000	48.823326	-49039.910156	19968.449219	0.168999	9.976658	-0.239291	0.005825	0.004752	-0.010168	1012.179993	40.773945
238.556250	-13.068876	-49029.625000	19731.001953	0.174284	9.965667	-0.212596	-0.011406	0.002761	-0.006070	1012.179993	40.773945
238.567500	149.031830	-49032.691406	19920.398437	0.171178	9.976089	-0.237408	-0.034296	0.000619	0.004309	1012.179993	40.773945
