time	vector.x	vector.y	vector.z	accel.x	accel.y	accel.z	gyro.x	gyro.y	gyro.z	bar	therm
117.900000	3756.402100	-47094.027344	21761.027344	-0.026889	9.972345	-0.131205	0.035916	0.007792	-0.021970	1012.029968	38.493477
117.911250	3717.472900	-46947.773437	21783.109375	-0.039517	9.989598	-0.127041	0.050059	0.009603	-0.023671	1012.029968	38.493477
117.922500	3614.503662	-46922.785156	21601.742187	-0.036468	9.977611	-0.137828	0.064353	0.011584	-0.024569	1012.029968	38.493477
117.933750	3789.297852	-47121.589844	21687.990234	-0.031978	9.968360	-0.126041	0.066006	0.012112	-0.024667	1012.029968	38.493477
117.945000	3742.414307	-47082.140625	21645.251953	-0.045630	9.969374	-0.132116	0.069420	0.013459	-0.024215	1012.029968	38.493477
117.956250	3634.083740	-46863.285156	21492.476562	-0.039219	9.973771	-0.126386	0.064930	0.013318	-0.021537	1012.029968	38.493477
117.967500	3682.688232	-47039.582031	21636.068359	-0.036943	9.985182	-0.133281	0.062190	0.011990	-0.021974	1012.029968	38.493477
117.978750	3647.954346	-47111.175781	21666.679687	-0.033784	9.980453	-0.128197	0.051004	0.010768	-0.018725	1012.029968	38.493477
117.990000	3681.365967	-46967.878906	21619.871094	-0.032378	9.976479	-0.118946	0.040309	0.009435	-0.016900	1012.029968	38.493477
118.001250	3596.251221	-46896.062500	21628.904297	-0.029893	9.979275	-0.141227	0.022881	0.007627	-0.013320	1012.059998	38.491131
118.012500	3705.784912	-47095.746094	21788.937500	-0.024613	9.985905	-0.136649	0.001282	0.005776	-0.006721	1012.059998	38.491131
118.023750	3792.669434	-47105.902344	21654.814453	-0.033793	9.975198	-0.134224	-0.010552	0.003318	-0.003462	1012.059998	38.491131
118.035000	3670.273193	-46872.710937	21643.914062	-0.032359	9.970608	-0.124467	-0.026221	0.001287	0.001555	1012.059998	38.491131
118.046250	3606.346924	-47003.804687	21635.896484	-0.036339	9.981839	-0.132468	-0.029540	0.000143	0.002154	1012.059998	38.491131
118.057500	3659.126221	-47111.117187	21533.751953	-0.037377	9.972894	-0.117165	-0.036462	-0.000677	0.004460	1012.059998	38.491131
118.068750	3681.885986	-46987.972656	21807.849609	-0.038376	9.982748	-0.129116	-0.035706	-0.000452	0.003645	1012.059998	38.491131
118.080000	3619.595703	-46934.562500	21597.578125	-0.036449	9.965443	-0.122016	-0.036011	-0.001137	0.001527	1012.059998	38.491131
118.091250	3642.740723	-47106.593750	21557.660156	-0.033727	9.983083	-0.141119	-0.027252	-0.000984	-0.003940	1012.059998	38.491131
118.102500	3669.666504	-47133.335937	21614.962891	-0.039081	9.976472	-0.136648	-0.016054	0.000814	-0.008443	1012.029968	38.498360
118.113750	3579.219482	-46962.625000	21694.814453	-0.030860	9.988495	-0.135519	-0.000498	0.003025	-0.013474	1012.029968	38.498360
118.125000	3545.858887	-47020.675781	21599.072266	-0.041233	9.982899	-0.129599	0.016262	0.005517	-0.017669	1012.029968	38.498360
118.136250	3678.519531	-47162.156250	21503.363281	-0.035833	9.978972	-0.130852	0.033446	0.008727	-0.021728	1012.029968	38.498360
118.147500	3727.824707	-47062.425781	21565.556641	-0.033122	9.984182	-0.125226	0.049804	0.010186	-0.024919	1012.029968	38.498360
