time	vector.x	vector.y	vector.z	accel.x	accel.y	accel.z	gyro.x	gyro.y	gyro.z	bar	therm
415.856250	3846.318604	-46577.261719	21111.246094	-0.081657	9.963010	-0.124281	0.015751	0.007288	-0.009613	1012.119995	41.421989
415.867500	3822.531982	-46605.457031	21178.126953	-0.086325	9.962727	-0.132755	-0.007702	0.003147	-0.003583	1012.119995	41.421989
415.878750	3775.354980	-46453.851562	21486.832031	-0.083004	9.963793	-0.124350	-0.026893	0.000168	0.001070	1012.119995	41.421989
415.890000	3727.728516	-46494.746094	21295.146484	-0.086859	9.978342	-0.119565	-0.033724	-0.000782	0.003533	1012.119995	41.421989
415.901250	3846.392822	-46615.566406	21162.371094	-0.080403	9.976067	-0.125201	-0.032472	-0.000330	0.000914	1012.139954	41.424335
415.912500	3867.565430	-46578.199219	21174.029297	-0.081482	9.959496	-0.120178	-0.023711	4.364748E-5	-0.004363	1012.139954	41.424335
415.923750	3712.460937	-46366.636719	21355.214844	-0.087658	9.959243	-0.126565	0.001836	0.003357	-0.012447	1012.139954	41.424335
415.935000	3743.831055	-46586.988281	21327.703125	-0.087047	9.972666	-0.120073	0.036953	0.006857	-0.021699	1012.139954	41.424335
415.946250	3826.562256	-46633.207031	21299.517578	-0.089226	9.969142	-0.117684	0.050505	0.010116	-0.022160	1012.139954	41.424335
415.957500	3773.173584	-46456.929687	21267.289062	-0.072514	9.973945	-0.120758	0.068030	0.012963	-0.024872	1012.139954	41.424335
415.968750	3755.496094	-46447.210937	21316.546875	-0.069700	9.958504	-0.114339	0.071750	0.013551	-0.024786	1012.139954	41.424335
415.980000	3848.150879	-46610.277344	21375.445312	-0.077563	9.964059	-0.121671	0.067454	0.013598	-0.023967	1012.139954	41.424335
415.991250	3883.105957	-46600.976562	21383.447266	-0.081769	9.962014	-0.108801	0.050389	0.010973	-0.019049	1012.139954	41.424335
416.002500	3770.053223	-46402.828125	21258.296875	-0.089569	9.976328	-0.115149	0.020148	0.007768	-0.010613	1012.119995	41.426678
416.013750	3833.611816	-46521.894531	21197.539062	-0.081318	9.967805	-0.113953	-0.007322	0.004312	-0.003258	1012.119995	41.426678
416.025000	3956.063477	-46584.183594	21292.988281	-0.093366	9.970203	-0.132831	-0.021954	0.001659	0.001380	1012.119995	41.426678
416.036250	3794.473877	-46477.054687	21443.246094	-0.077675	9.965470	-0.124769	-0.035838	-0.000256	0.004664	1012.119995	41.426678
416.047500	3738.682617	-46442.722656	21436.714844	-0.089979	9.971121	-0.128259	-0.034692	-0.001024	0.003923	1012.119995	41.426678
416.058750	3987.515381	-46624.375000	21421.419922	-0.086636	9.973649	-0.122964	-0.023631	0.000699	-0.003895	1012.119995	41.426678
416.070000	3944.964844	-46613.593750	21384.583984	-0.096399	9.962885	-0.102816	-0.001306	0.002631	-0.011310	1012.119995	41.426678
416.081250	3799.934570	-46373.554687	21441.361328	-0.093555	9.974706	-0.113154	0.029134	0.007232	-0.020055	1012.119995	41.426678
416.092500	3741.119141	-46518.089844	21298.789062	-0.090793	9.973455	-0.123698	0.051596	0.010007	-0.022903	1012.119995	41.426678
416.103750	3969.224854	-46597.472656	21452.712891	-0.076422	9.976991	-0.121243	0.070880	0.012278	-0.026563	1012.099976	41.424335
416.115000	3765.390137	-46499.066406	21387.437500	-0.080113	9.980214	-0.121163	0.077773	0.013673	-0.025652	1012.099976	41.424335
416.126250	3771.866943	-46433.109375	21448.978516	-0.083667	9.975121	-0.113932	0.066722	0.013313	-0.022568	1012.099976	41.424335
416.137500	3870.516846	-46611.695312	21415.132812	-0.072463	9.965393	-0.129801	0.050879	0.011727	-0.017914	1012.099976	41.424335
416.148750	3871.020264	-46609.035156	21425.402344	-0.083270	9.963719	-0.128895	0.028358	0.008368	-0.012754	1012.099976	41.424335
416.160000	3897.912598	-46438.109375	21438.681641	-0.076457	9.971610	-0.124758	0.003072	0.005212	-0.005550	1012.099976	41.424335
416.171250	3807.057617	-46541.832031	21356.226562	-0.082359	9.975129	-0.123919	-0.020900	0.002144	0.001233	1012.099976	41.424335
416.182500	3960.983398	-46668.890625	21262.662109	-0.083685	9.979182	-0.118658	-0.033267	-1.228410E-6	0.004544	1012.099976	41.424335
416.193750	3851.562012	-46547.406250	21229.908203	-0.091165	9.972928	-0.129950	-0.030789	0.000500	0.002996	1012.099976	41.424335
416.205000	3790.664551	-46385.636719	21326.515625	-0.081395	9.973393	-0.120840	-0.022852	0.000873	-0.001148	1012.119995	41.426678
416.216250	4117.338379	-46597.558594	21381.626953	-0.085084	9.980148	-0.113378	-0.005841	0.003641	-0.008196	1012.119995	41.426678
416.227500	3988.476807	-46609.527344	21246.207031	-0.083188	9.970801	-0.117174	0.019257	0.005785	-0.016335	1012.119995	41.426678
416.238750	3796.644531	-46424.234375	21382.111328	-0.095423	9.972301	-0.115557	0.042102	0.008686	-0.022075	1012.119995	41.426678
416.250000	3849.164795	-46483.000000	21295.894531	-0.086312	9.969115	-0.117842	0.059803	0.011962	-0.024220	1012.119995	41.426678
416.261250	3899.188965	-46608.652344	21398.662109	-0.082421	9.964749	-0.132629	0.071421	0.013767	-0.023565	1012.119995	41.426678
416.272500	3905.244385	-46561.871094	21313.160156	-0.078082	9.969952	-0.133335	0.068870	0.013431	-0.021947	1012.119995	41.426678
416.283750	3809.541992	-46382.425781	21389.050781	-0.083310	9.965799	-0.108141	0.054342	0.011636	-0.018391	1012.119995	41.426678
416.295000	3891.017334	-46596.773437	21411.031250	-0.087777	9.970444	-0.113622	0.031604	0.008177	-0.013290	1012.119995	41.426678
416.306250	3917.227295	-46655.531250	21402.148437	-0.091307	9.973643	-0.118956	0.006893	0.006058	-0.006945	1012.130005	41.426678
416.317500	3845.397705	-46489.062500	21268.349609	-0.079705	9.970887	-0.119376	-0.020929	0.003022	0.003724	1012.130005	41.426678
416.328750	3796.091553	-46507.027344	21234.232422	-0.088067	9.970602	-0.121210	-0.031966	4.526622E-5	0.005368	1012.130005	41.426678
416.340000	3848.784668	-46629.707031	21297.748047	-0.082053	9.971965	-0.114194	-0.036734	-0.000641	0.004174	1012.130005	41.426678
416.351250	3901.110596	-46608.738281	21232.869141	-0.082737	9.976327	-0.121699	-0.031439	-0.000471	0.000705	1012.130005	41.426678
416.362500	3742.768066	-46406.699219	21239.255859	-0.084775	9.965545	-0.124212	-0.013130	0.002373	-0.007764	1012.130005	41.426678
416.373750	3829.427002	-46555.988281	21448.982422	-0.087919	9.968490	-0.124435	0.013244	0.005939	-0.015335	1012.130005	41.426678
416.385000	4011.958496	-46634.933594	21517.251953	-0.080864	9.968575	-0.121761	0.043291	0.009536	-0.022032	1012.130005	41.426678
416.396250	3839.397705	-46482.042969	21568.130859	-0.072421	9.958840	-0.125282	0.062987	0.011344	-0.024995	1012.130005	41.426678
416.407500	3705.700928	-46436.917969	21438.240234	-0.077448	9.977184	-0.123687	0.077799	0.013429	-0.025899	1012.099976	41.429218
416.418750	3964.188965	-46566.015625	21400.792969	-0.088336	9.967058	-0.120148	0.075006	0.014270	-0.024754	1012.099976	41.429218
416.430000	3893.080566	-46571.148437	21275.572266	-0.082314	9.963074	-0.127171	0.062569	0.013393	-0.022327	1012.099976	41.429218
416.441250	3785.109863	-46350.875000	21529.044922	-0.076892	9.968195	-0.113211	0.038087	0.008952	-0.016542	1012.099976	41.429218
416.452500	3792.479004	-46514.152344	21271.851562	-0.070956	9.967650	-0.120080	0.011216	0.006465	-0.009280	1012.099976	41.429218
416.463750	3903.368408	-46650.753906	21330.208984	-0.091440	9.978834	-0.111556	-0.011451	0.002970	-0.002847	1012.099976	41.429218
416.475000	3808.835449	-46528.250000	21409.441406	-0.087933	9.980453	-0.108097	-0.032653	0.000744	0.005218	1012.099976	41.429218
416.486250	3569.682617	-46403.914062	21343.330078	-0.077745	9.963823	-0.127982	-0.038588	-0.000676	0.004785	1012.099976	41.429218
416.497500	3860.516846	-46588.523437	21312.589844	-0.087130	9.964628	-0.131414	-0.033255	0.000253	0.000459	1012.099976	41.429218
416.508750	4014.880127	-46592.292969	21352.035156	-0.083449	9.978467	-0.137365	-0.016899	0.001340	-0.006187	1012.099976	41.426678
416.520000	3807.869629	-46419.652344	21352.847656	-0.088020	9.980045	-0.124208	0.007153	0.004115	-0.013486	1012.099976	41.426678
416.531250	3758.652100	-46552.339844	21294.373047	-0.090237	9.967363	-0.111172	0.033833	0.008450	-0.020446	1012.099976	41.426678
416.542500	3949.121338	-46647.988281	21368.406250	-0.089652	9.967589	-0.125525	0.062829	0.012171	-0.026454	1012.099976	41.426678
416.553750	3898.065186	-46521.761719	21340.822266	-0.085741	9.973016	-0.115913	0.070502	0.013911	-0.026562	1012.099976	41.426678
416.565000	3779.489502	-46372.042969	21321.767578	-0.086970	9.979047	-0.120984	0.074002	0.014299	-0.024335	1012.099976	41.426678
416.576250	3921.520752	-46546.964844	21386.912109	-0.083905	9.979771	-0.117166	0.063691	0.013061	-0.022378	1012.099976	41.426678
416.587500	3847.953857	-46598.582031	21169.169922	-0.081935	9.967766	-0.115057	0.045954	0.011623	-0.017908	1012.099976	41.426678
416.598750	3798.834229	-46412.308594	21343.478516	-0.092690	9.967907	-0.119302	0.014802	0.007199	-0.010470	1012.099976	41.426678
416.610000	3704.540039	-46488.164062	21268.986328	-0.077163	9.976045	-0.121244	-0.007899	0.004731	-0.003602	1012.119995	41.429218
416.621250	3824.306152	-46630.015625	21191.769531	-0.081505	9.971812	-0.136989	-0.026704	0.001493	0.003064	1012.119995	41.429218
416.632500	3934.290283	-46554.761719	21270.539062	-0.097150	9.963820	-0.130387	-0.039221	-0.001265	0.006216	1012.119995	41.429218
416.643750	3707.535889	-46355.718750	21249.830078	-0.074351	9.965029	-0.126891	-0.033088	-0.000135	0.000894	1012.119995	41.429218
416.655000	3970.535400	-46554.300781	21267.634766	-0.076185	9.966849	-0.108121	-0.022249	0.000333	-0.004981	1012.119995	41.429218
416.666250	4006.101807	-46579.964844	21328.255859	-0.084317	9.968112	-0.117636	0.001725	0.003700	-0.012298	1012.119995	41.429218
416.677500	3856.488281	-46482.285156	21310.876953	-0.074147	9.964843	-0.131805	0.026815	0.006564	-0.019031	1012.119995	41.429218
416.688750	3786.768799	-46509.699219	21322.347656	-0.078564	9.971864	-0.129061	0.048888	0.009873	-0.021913	1012.119995	41.429218
416.700000	3943.652100	-46639.847656	21236.447266	-0.089048	9.962115	-0.124329	0.069732	0.013212	-0.026346	1012.079956	41.429218
416.711250	3864.280518	-46636.167969	21298.445312	-0.077223	9.965664	-0.122953	0.073249	0.013684	-0.025495	1012.079956	41.429218
416.722500	3800.887939	-46402.187500	21338.828125	-0.064341	9.964849	-0.104256	0.070385	0.013662	-0.023423	1012.079956	41.429218
416.733750	3767.643311	-46559.960937	21302.203125	-0.081008	9.975355	-0.121336	0.052215	0.012191	-0.019567	1012.079956	41.429218
416.745000	3997.609863	-46608.488281	21313.708984	-0.089235	9.965312	-0.127831	0.026356	0.008346	-0.012395	1012.079956	41.429218
416.756250	3896.494141	-46470.636719	21382.912109	-0.073916	9.969002	-0.134974	-0.000393	0.005822	-0.004303	1012.079956	41.429218
416.767500	3811.978516	-46431.289062	21498.960937	-0.077051	9.970889	-0.120493	-0.023339	0.001787	0.002645	1012.079956	41.429218
416.778750	3882.913574	-46613.652344	21450.359375	-0.082584	9.973192	-0.108364	-0.034935	-0.000971	0.005657	1012.079956	41.429218
416.790000	3804.416504	-46596.789062	21225.441406	-0.082217	9.970324	-0.114459	-0.041095	-0.001297	0.005490	1012.079956	41.429218
416.801250	3743.740234	-46370.390625	21357.982422	-0.084812	9.973310	-0.111697	-0.025155	8.888147E-5	-0.002345	1012.109985	41.429218
416.812500	3810.790039	-46531.398437	21509.884766	-0.084712	9.971800	-0.131283	-0.001896	0.003085	-0.011526	1012.109985	41.429218
416.823750	3856.394775	-46657.312500	21409.523437	-0.074742	9.964767	-0.129086	0.021119	0.005382	-0.017553	1012.109985	41.429218
416.835000	3843.432617	-46534.175781	21279.041016	-0.092379	9.975356	-0.123959	0.048308	0.009535	-0.021866	1012.109985	41.429218
416.846250	3647.708984	-46447.859375	21384.353516	-0.079447	9.967683	-0.118736	0.062740	0.012426	-0.024484	1012.109985	41.429218
416.857500	3872.171631	-46632.453125	21336.810547	-0.097003	9.978227	-0.123258	0.073322	0.013895	-0.025659	1012.109985	41.429218
416.868750	3891.888916	-46620.210937	21268.712891	-0.089776	9.987050	-0.135390	0.067771	0.013573	-0.022155	1012.109985	41.429218
416.880000	3821.302002	-46451.074219	21377.259766	-0.083755	9.970520	-0.131506	0.049525	0.011693	-0.017853	1012.109985	41.429218
416.891250	3786.623047	-46541.085937	21254.648437	-0.080567	9.975246	-0.110554	0.029427	0.009813	-0.013291	1012.109985	41.429218
416.902500	3906.163574	-46672.691406	21336.396484	-0.066210	9.988623	-0.115044	0.003607	0.005941	-0.005403	1012.079956	41.429218
416.913750	3919.011230	-46566.191406	21409.402344	-0.081338	9.978799	-0.113838	-0.022131	0.002765	0.002250	1012.079956	41.429218
416.925000	3734.334961	-46398.824219	21307.013672	-0.078520	9.965937	-0.122179	-0.037995	-0.000593	0.005803	1012.079956	41.429218
416.936250	3782.269287	-46584.085937	21364.119141	-0.084023	9.977928	-0.120768	-0.036145	-0.000883	0.004103	1012.079956	41.429218
416.947500	3992.925293	-46601.785156	21278.824219	-0.090887	9.970225	-0.121208	-0.026178	-0.000157	-0.001348	1012.079956	41.429218
416.958750	3876.454834	-46416.027344	21364.050781	-0.088903	9.979455	-0.124045	-0.005008	0.002723	-0.008269	1012.079956	41.429218
416.970000	3939.991455	-46483.468750	21259.636719	-0.085579	9.969646	-0.119490	0.018039	0.006345	-0.015712	1012.079956	41.429218
416.981250	3954.970947	-46588.832031	21389.308594	-0.084023	9.977089	-0.130954	0.042275	0.009246	-0.020118	1012.079956	41.429218
416.992500	3863.415771	-46542.066406	21255.689453	-0.088718	9.969578	-0.121585	0.063045	0.011990	-0.023487	1012.079956	41.429218
417.003750	3821.193848	-46330.312500	21307.048828	-0.093708	9.968625	-0.122209	0.070449	0.013100	-0.023826	1012.119995	41.429218
