time	vector.x	vector.y	vector.z	accel.x	accel.y	accel.z	gyro.x	gyro.y	gyro.z	bar	therm
168.975000	574.705383	-49679.191406	20752.267578	0.029621	9.951151	-0.273863	0.061805	0.012917	-0.022561	1012.979980	40.971210
168.986250	547.104370	-49696.042969	20607.886719	0.026375	9.950986	-0.272126	0.056188	0.011514	-0.019842	1012.979980	40.971210
168.997500	635.403381	-49675.359375	20561.767578	0.010565	9.975886	-0.266033	0.050673	0.010396	-0.016784	1012.979980	40.971210
169.008750	616.886230	-49682.203125	20586.689453	0.006853	9.959296	-0.263981	0.033590	0.009203	-0.012693	1013.019958	40.980976
169.020000	648.038452	-49675.972656	20564.130859	0.012810	9.967528	-0.278729	0.016119	0.006635	-0.008034	1013.019958	40.980976
169.031250	650.267090	-49670.648437	20689.105469	0.008243	9.969522	-0.280191	-0.007159	0.003113	-0.002952	1013.019958	40.980976
169.042500	642.505188	-49664.066406	20736.050781	0.004310	9.955370	-0.268464	-0.025676	0.001355	0.001425	1013.019958	40.980976
169.053750	708.615906	-49649.253906	20661.068359	0.014264	9.954610	-0.273944	-0.030876	0.000452	0.001400	1013.019958	40.980976
169.065000	651.687744	-49687.257812	20727.478516	0.015483	9.970274	-0.259645	-0.033303	-0.001309	0.001672	1013.019958	40.980976
169.076250	534.393494	-49680.742187	20710.498047	0.003935	9.953562	-0.271419	-0.021686	0.001991	-0.001302	1013.019958	40.980976
169.087500	619.514709	-49666.242187	20719.779297	0.011895	9.970344	-0.263528	-0.005716	0.003304	-0.005270	1013.019958	40.980976
169.098750	511.766663	-49680.156250	20661.339844	0.029216	9.964027	-0.278601	0.011683	0.004505	-0.010395	1013.019958	40.980976
169.110000	613.161072	-49692.156250	20702.236328	0.016641	9.969406	-0.263851	0.030229	0.008308	-0.016177	1013.019958	40.988201
169.121250	621.870667	-49692.339844	20671.980469	0.018703	9.981543	-0.258178	0.048666	0.012047	-0.021586	1013.019958	40.988201
169.132500	560.876892	-49683.929687	20675.751953	0.023444	9.971981	-0.263535	0.060110	0.012970	-0.023638	1013.019958	40.988201
169.143750	674.120544	-49680.261719	20742.312500	0.019067	9.950897	-0.284325	0.061663	0.012107	-0.021532	1013.019958	40.988201
169.155000	700.524231	-49719.578125	20684.867187	0.015245	9.951980	-0.284478	0.052719	0.011748	-0.016548	1013.019958	40.988201
169.166250	582.211060	-49692.640625	20589.232422	0.007284	9.974151	-0.265871	0.034593	0.009176	-0.011656	1013.019958	40.988201
169.177500	525.241272	-49678.644531	20623.835937	0.016763	9.974277	-0.262031	0.016405	0.007761	-0.007992	1013.019958	40.988201
