time	vector.x	vector.y	vector.z	accel.x	accel.y	accel.z	gyro.x	gyro.y	gyro.z	bar	therm
318.735000	584.046448	-49036.113281	20448.451172	0.001174	9.948352	-0.274813	-0.026932	0.001628	0.001414	1013.029968	44.082344
318.746250	509.965759	-49030.476562	20479.537109	0.019353	9.959706	-0.247693	-0.021117	0.001575	-0.000199	1013.029968	44.082344
318.757500	599.201294	-49036.839844	20473.080078	0.009370	9.947810	-0.277331	0.002508	0.004407	-0.006351	1013.029968	44.082344
318.768750	666.176453	-49065.949219	20448.710937	0.014129	9.950622	-0.270626	0.027486	0.008149	-0.015497	1013.029968	44.082344
318.780000	654.003723	-49042.148437	20587.888672	0.014916	9.954713	-0.261333	0.053110	0.010492	-0.021288	1013.029968	44.082344
318.791250	595.782227	-49025.546875	20424.039062	0.008410	9.953062	-0.278297	0.055115	0.012141	-0.020130	1013.029968	44.082344
318.802500	647.704041	-49023.652344	20514.117187	0.008041	9.959908	-0.273144	0.047972	0.010736	-0.015334	1013.039978	44.079998
318.813750	641.816589	-49020.394531	20509.304687	0.016327	9.961237	-0.275707	0.026594	0.007503	-0.009905	1013.039978	44.079998
318.825000	520.464722	-49024.167969	20422.333984	0.006317	9.944550	-0.266089	-0.001108	0.003745	-0.006542	1013.039978	44.079998
318.836250	502.600555	-49041.492187	20472.128906	0.013317	9.946584	-0.261562	-0.020718	0.002324	-0.001920	1013.039978	44.079998
318.847500	653.481262	-49050.664062	20498.166016	-0.003277	9.961355	-0.275744	-0.026466	0.000442	0.000659	1013.039978	44.079998
318.858750	538.170898	-49030.171875	20328.406250	-0.001689	9.957081	-0.280101	-0.017553	0.001168	-0.001635	1013.039978	44.079998
318.870000	758.246033	-49025.429687	20553.246094	0.008895	9.958297	-0.267209	0.004282	0.005368	-0.008782	1013.039978	44.079998
318.881250	806.044861	-49028.992187	20465.736328	-0.000883	9.961062	-0.275189	0.030868	0.009174	-0.015997	1013.039978	44.079998
318.892500	702.547363	-49005.539062	20428.167969	0.004125	9.957506	-0.273351	0.053956	0.011853	-0.021354	1013.039978	44.079998
318.903750	518.505188	-49022.425781	20380.933594	0.004420	9.952859	-0.276209	0.056492	0.012120	-0.019124	1013.019958	44.084881
318.915000	566.934937	-49040.980469	20345.863281	-0.011907	9.953579	-0.269128	0.047193	0.011194	-0.014951	1013.019958	44.084881
318.926250	686.179382	-49032.292969	20541.957031	0.008023	9.964062	-0.267902	0.021962	0.006918	-0.007832	1013.019958	44.084881
318.937500	611.179810	-49027.871094	20369.062500	-0.004528	9.963368	-0.276419	-0.004853	0.004069	-0.003083	1013.019958	44.084881
318.948750	612.841614	-49018.714844	20395.962891	0.005455	9.957427	-0.272660	-0.023381	0.002210	4.409426E-5	1013.019958	44.084881
318.960000	700.825134	-49030.007812	20473.521484	0.006957	9.955322	-0.268024	-0.028839	0.001035	0.001594	1013.019958	44.084881
318.971250	680.490784	-49034.109375	20395.335937	0.002877	9.964208	-0.268788	-0.016310	0.002345	-0.002167	1013.019958	44.084881
318.982500	666.952637	-49013.988281	20524.125000	0.011543	9.952024	-0.262518	0.010423	0.006135	-0.010047	1013.019958	44.084881
318.993750	614.812622	-49013.449219	20348.656250	0.003051	9.968383	-0.279405	0.041795	0.009479	-0.019028	1013.019958	44.084881
319.005000	525.399719	-49025.558594	20538.923828	-0.001376	9.951416	-0.272114	0.058010	0.012341	-0.022470	1013.019958	44.082344
319.016250	616.128662	-49037.097656	20555.810547	0.027206	9.954212	-0.282926	0.057626	0.012399	-0.018959	1013.019958	44.082344
319.027500	636.436035	-49025.519531	20519.566406	0.008231	9.968079	-0.253066	0.044865	0.011071	-0.014749	1013.019958	44.082344
319.038750	704.781921	-49030.511719	20411.765625	0.019732	9.957771	-0.275932	0.018246	0.005696	-0.007417	1013.019958	44.082344
319.050000	573.033325	-49012.367187	20510.546875	0.006066	9.942048	-0.278916	-0.007924	0.003103	-0.003592	1013.019958	44.082344
319.061250	538.201721	-49024.207031	20345.359375	0.006538	9.969056	-0.258633	-0.029164	0.001951	-0.000448	1013.019958	44.082344
319.072500	629.688904	-49032.781250	20302.906250	-0.004896	9.953695	-0.270870	-0.027998	0.000878	0.001495	1013.019958	44.082344
