time	vector.x	vector.y	vector.z	accel.x	accel.y	accel.z	gyro.x	gyro.y	gyro.z	bar	therm
59.996250	1650.590210	-50044.617187	19645.839844	-0.119281	9.968681	-0.127560	0.023711	0.006848	-0.011923	1012.949951	41.083122
60.007500	1701.405762	-50043.105469	19443.248047	-0.123072	9.976135	-0.128091	0.005816	0.006423	-0.006953	1012.929993	41.085663
60.018750	1644.792725	-50065.960937	19499.701172	-0.118067	9.972175	-0.131624	-0.009980	0.004109	-0.001773	1012.929993	41.085663
60.030000	1721.479492	-50054.910156	19451.507812	-0.119876	9.965133	-0.132413	-0.027521	0.001667	0.001696	1012.929993	41.085663
60.041250	1705.497925	-50060.097656	19443.439453	-0.111157	9.972856	-0.138579	-0.032011	0.000316	0.002803	1012.929993	41.085663
60.052500	1617.932129	-50062.734375	19644.796875	-0.117592	9.961130	-0.132754	-0.027643	0.000875	-0.000411	1012.929993	41.085663
60.063750	1679.759644	-50068.539062	19578.511719	-0.111104	9.956559	-0.116701	-0.018964	0.001462	-0.004127	1012.929993	41.085663
60.075000	1581.627686	-50062.437500	19528.574219	-0.114908	9.972393	-0.136034	0.006195	0.004962	-0.010456	1012.929993	41.085663
60.086250	1735.798950	-50049.382812	19440.052734	-0.123869	9.971961	-0.140104	0.024561	0.006903	-0.015983	1012.929993	41.085663
60.097500	1738.683838	-50061.421875	19541.832031	-0.121108	9.958203	-0.127585	0.040277	0.008473	-0.019981	1012.929993	41.085663
60.108750	1522.039307	-50052.332031	19474.181641	-0.126832	9.970032	-0.115116	0.052089	0.010344	-0.021170	1012.940002	41.090546
60.120000	1638.435547	-50040.992187	19536.457031	-0.109035	9.958418	-0.127043	0.057771	0.011900	-0.021843	1012.940002	41.090546
60.131250	1585.613159	-50056.625000	19637.792969	-0.107123	9.968013	-0.129625	0.058985	0.011631	-0.020199	1012.940002	41.090546
60.142500	1550.118164	-50061.953125	19555.412109	-0.115912	9.966678	-0.121763	0.046275	0.009628	-0.015194	1012.940002	41.090546
60.153750	1458.113281	-50065.343750	19560.542969	-0.126111	9.962326	-0.121928	0.029628	0.007905	-0.010784	1012.940002	41.090546
60.165000	1653.647339	-50069.203125	19620.873047	-0.114023	9.966828	-0.109689	0.008893	0.006103	-0.006603	1012.940002	41.090546
60.176250	1682.691650	-50052.882812	19608.494141	-0.116021	9.967127	-0.130334	-0.010597	0.003755	-0.001809	1012.940002	41.090546
60.187500	1634.593872	-50070.847656	19638.281250	-0.117620	9.969097	-0.131743	-0.024473	0.002036	0.001809	1012.940002	41.090546
60.198750	1571.399902	-50065.605469	19698.242187	-0.115467	9.962170	-0.135273	-0.030025	0.000279	0.001948	1012.940002	41.090546
60.210000	1706.093140	-50058.375000	19652.253906	-0.124100	9.957341	-0.123418	-0.028436	0.001150	7.938841E-5	1012.949951	41.095623
60.221250	1642.007812	-50045.636719	19526.306641	-0.122221	9.955225	-0.115808	-0.015149	0.001513	-0.004129	1012.949951	41.095623
60.232500	1685.912231	-50061.175781	19572.443359	-0.114721	9.959816	-0.126530	0.001959	0.003282	-0.009525	1012.949951	41.095623
60.243750	1750.184448	-50058.636719	19557.119141	-0.126139	9.965371	-0.120348	0.019459	0.006752	-0.014689	1012.949951	41.095623
60.255000	1767.908203	-50073.519531	19673.539062	-0.127318	9.958331	-0.118879	0.044756	0.010072	-0.021262	1012.949951	41.095623
