time	vector.x	vector.y	vector.z	accel.x	accel.y	accel.z	gyro.x	gyro.y	gyro.z	bar	therm
264.757500	489.992249	-49740.777344	20625.105469	-0.039320	9.961500	-0.416533	0.015718	0.006207	-0.012995	1013.130005	42.128437
264.768750	494.505463	-49723.273437	20729.964844	-0.044579	9.961466	-0.427723	0.039686	0.009290	-0.020429	1013.130005	42.128437
264.780000	405.075867	-49691.812500	20619.613281	-0.034808	9.957398	-0.423148	0.059682	0.012289	-0.024611	1013.130005	42.128437
264.791250	397.051239	-49722.523437	20583.390625	-0.039502	9.959778	-0.421513	0.064910	0.013201	-0.023205	1013.130005	42.128437
264.802500	410.669159	-49716.277344	20640.154297	-0.030352	9.953772	-0.418212	0.063217	0.012198	-0.019659	1013.149963	42.133320
264.813750	420.268860	-49733.824219	20623.263672	-0.028692	9.957742	-0.412502	0.046733	0.009921	-0.014553	1013.149963	42.133320
264.825000	430.975708	-49703.765625	20556.615234	-0.031113	9.959886	-0.414325	0.023112	0.007581	-0.009644	1013.149963	42.133320
264.836250	377.339417	-49708.339844	20571.730469	-0.040258	9.969782	-0.423570	-0.004074	0.003568	-0.004970	1013.149963	42.133320
264.847500	378.744415	-49708.226562	20610.859375	-0.047524	9.944558	-0.426041	-0.024933	0.001404	-5.816335E-5	1013.149963	42.133320
264.858750	393.378418	-49705.773437	20638.001953	-0.045740	9.951998	-0.416808	-0.035041	-0.000270	0.001657	1013.149963	42.133320
264.870000	427.657166	-49711.511719	20569.648437	-0.039528	9.960953	-0.409956	-0.031965	6.573039E-5	0.001765	1013.149963	42.133320
264.881250	400.437469	-49704.742187	20489.482422	-0.043947	9.963241	-0.419460	-0.015627	0.001867	-0.004092	1013.149963	42.133320
264.892500	408.280701	-49686.558594	20534.617187	-0.037925	9.959462	-0.435789	0.008643	0.004176	-0.012087	1013.149963	42.133320
264.903750	323.401642	-49706.398437	20530.474609	-0.050018	9.960563	-0.422784	0.031979	0.007818	-0.019186	1013.139954	42.130974
264.915000	367.638641	-49702.304687	20581.591797	-0.043198	9.964679	-0.414441	0.051028	0.011400	-0.022593	1013.139954	42.130974
264.926250	341.116730	-49710.101562	20498.884766	-0.042310	9.966279	-0.434237	0.063531	0.011994	-0.024088	1013.139954	42.130974
264.937500	439.300018	-49709.371094	20590.859375	-0.037010	9.961960	-0.437696	0.067602	0.013126	-0.021926	1013.139954	42.130974
264.948750	353.241150	-49721.203125	20539.042969	-0.043471	9.962601	-0.421297	0.050071	0.011185	-0.016587	1013.139954	42.130974
264.960000	343.014038	-49714.261719	20620.429687	-0.036661	9.960268	-0.417239	0.029364	0.008939	-0.010286	1013.139954	42.130974
264.971250	365.735504	-49681.878906	20562.654297	-0.046765	9.959806	-0.413516	0.005477	0.005473	-0.006303	1013.139954	42.130974
264.982500	391.012207	-49691.781250	20511.855469	-0.044685	9.961658	-0.418776	-0.015501	0.001947	-0.002242	1013.139954	42.130974
264.993750	383.195587	-49706.621094	20593.628906	-0.042672	9.963380	-0.420381	-0.029490	0.001441	0.000424	1013.139954	42.130974
265.005000	374.606079	-49742.105469	20588.794922	-0.035314	9.960469	-0.420322	-0.031320	-0.000156	0.002501	1013.149963	42.130974
265.016250	401.441101	-49746.734375	20427.919922	-0.046736	9.963847	-0.427541	-0.020351	0.001240	-0.000261	1013.149963	42.130974
265.027500	318.137970	-49725.292969	20397.601562	-0.035952	9.960799	-0.416636	0.001649	0.004312	-0.008992	1013.149963	42.130974
265.038750	401.330414	-49723.648437	20496.583984	-0.034886	9.964717	-0.426298	0.024740	0.006996	-0.017128	1013.149963	42.130974
265.050000	482.075317	-49715.832031	20449.951172	-0.046076	9.955842	-0.424583	0.049247	0.010692	-0.021461	1013.149963	42.130974
265.061250	348.660675	-49685.453125	20598.611328	-0.032716	9.950184	-0.421894	0.059095	0.011985	-0.023554	1013.149963	42.130974
265.072500	385.918793	-49698.539062	20538.050781	-0.031746	9.954877	-0.401081	0.065122	0.013207	-0.021620	1013.149963	42.130974
265.083750	350.913635	-49707.863281	20508.394531	-0.038581	9.961486	-0.420891	0.055671	0.012254	-0.016403	1013.149963	42.130974
265.095000	341.781342	-49701.046875	20695.669922	-0.039281	9.954145	-0.421669	0.040835	0.009340	-0.013412	1013.149963	42.130974
265.106250	401.222290	-49690.292969	20633.916016	-0.051150	9.960120	-0.424726	0.013392	0.005962	-0.008057	1013.119995	42.135857
265.117500	358.162079	-49724.625000	20679.146484	-0.038132	9.966596	-0.434847	-0.014264	0.003446	0.000175	1013.119995	42.135857
265.128750	429.192108	-49677.687500	20591.714844	-0.042625	9.952066	-0.420978	-0.030895	0.001807	0.003052	1013.119995	42.135857
265.140000	440.231445	-49706.429687	20577.554687	-0.034004	9.955386	-0.429887	-0.035324	5.124987E-5	0.003425	1013.119995	42.135857
265.151250	461.436829	-49722.304687	20544.109375	-0.040204	9.958261	-0.419953	-0.024186	0.001483	0.000256	1013.119995	42.135857
265.162500	296.987091	-49726.730469	20469.427734	-0.033239	9.949614	-0.408066	-0.005127	0.003047	-0.006061	1013.119995	42.135857
265.173750	325.035126	-49710.980469	20594.669922	-0.026792	9.952478	-0.411557	0.017669	0.005357	-0.014115	1013.119995	42.135857
265.185000	379.310150	-49716.765625	20500.753906	-0.046999	9.956627	-0.421370	0.046245	0.009738	-0.022015	1013.119995	42.135857
265.196250	341.108490	-49704.792969	20479.554687	-0.049617	9.958281	-0.430446	0.061035	0.010948	-0.024865	1013.119995	42.135857
265.207500	378.235382	-49675.507812	20542.935547	-0.047327	9.961617	-0.431141	0.066627	0.012659	-0.023439	1013.130005	42.135857
265.218750	439.024414	-49704.894531	20703.308594	-0.048704	9.968282	-0.424876	0.057694	0.011105	-0.018409	1013.130005	42.135857
265.230000	286.275970	-49711.554687	20537.927734	-0.052132	9.964466	-0.422702	0.038826	0.009413	-0.013092	1013.130005	42.135857
265.241250	392.350708	-49744.851562	20549.671875	-0.036481	9.963746	-0.433228	0.014253	0.006634	-0.008222	1013.130005	42.135857
265.252500	347.019409	-49740.484375	20540.021484	-0.040350	9.967066	-0.423863	-0.008982	0.004317	-0.004204	1013.130005	42.135857
265.263750	350.260132	-49719.230469	20601.500000	-0.033490	9.969170	-0.416511	-0.025765	0.000999	0.000492	1013.130005	42.135857
265.275000	497.263275	-49706.277344	20586.486328	-0.047058	9.955439	-0.431974	-0.032304	7.205384E-5	0.002974	1013.130005	42.135857
265.286250	503.896332	-49737.207031	20583.189453	-0.033511	9.971270	-0.425077	-0.030391	0.000295	0.001398	1013.130005	42.135857
265.297500	551.742432	-49700.671875	20566.972656	-0.030992	9.950515	-0.431659	-0.014410	0.001601	-0.004972	1013.130005	42.135857
265.308750	490.184784	-49687.683594	20622.871094	-0.029048	9.958779	-0.424013	0.008850	0.005593	-0.011933	1013.109985	42.140739
265.320000	349.485168	-49696.246094	20582.583984	-0.037020	9.955083	-0.413934	0.037951	0.008847	-0.020749	1013.109985	42.140739
265.331250	366.632111	-49700.988281	20586.929687	-0.027874	9.952598	-0.417143	0.056115	0.011197	-0.023591	1013.109985	42.140739
265.342500	504.356934	-49704.664062	20672.044922	-0.030888	9.959982	-0.421636	0.066334	0.012756	-0.024159	1013.109985	42.140739
265.353750	426.589600	-49685.285156	20655.611328	-0.046663	9.963792	-0.441661	0.063962	0.013081	-0.020397	1013.109985	42.140739
265.365000	324.880280	-49702.101562	20664.169922	-0.036182	9.958638	-0.433161	0.052468	0.011431	-0.016993	1013.109985	42.140739
265.376250	512.733032	-49701.101562	20524.123047	-0.045710	9.951732	-0.432609	0.025422	0.008443	-0.010481	1013.109985	42.140739
265.387500	501.507660	-49702.062500	20569.201172	-0.035324	9.946836	-0.418314	-0.000831	0.005325	-0.006009	1013.109985	42.140739
265.398750	456.249908	-49690.636719	20583.308594	-0.039863	9.957867	-0.416506	-0.022368	0.001910	-0.000294	1013.109985	42.140739
265.410000	440.950989	-49716.144531	20552.820312	-0.032448	9.952398	-0.422495	-0.033293	-0.000339	0.002354	1013.119995	42.138203
265.421250	535.209167	-49689.582031	20510.552734	-0.030533	9.962682	-0.425399	-0.032832	-0.000490	0.002931	1013.119995	42.138203
265.432500	351.137421	-49701.324219	20618.744141	-0.040007	9.950909	-0.427417	-0.018001	0.001401	-0.001826	1013.119995	42.138203
265.443750	480.608032	-49732.835937	20429.710937	-0.035133	9.950687	-0.426053	0.004299	0.004339	-0.010604	1013.119995	42.138203
265.455000	362.616821	-49708.765625	20531.185547	-0.036091	9.955592	-0.418818	0.033256	0.008193	-0.018820	1013.119995	42.138203
265.466250	355.655792	-49713.816406	20657.396484	-0.043958	9.950797	-0.422469	0.055312	0.011732	-0.022582	1013.119995	42.138203
265.477500	416.559296	-49697.882812	20578.234375	-0.044435	9.954966	-0.406355	0.064815	0.013048	-0.023996	1013.119995	42.138203
265.488750	426.842010	-49703.984375	20598.656250	-0.032886	9.948886	-0.420214	0.062735	0.011708	-0.020774	1013.119995	42.138203
265.500000	374.051544	-49716.695312	20524.964844	-0.042518	9.945878	-0.429434	0.050438	0.011884	-0.015947	1013.130005	42.143085
265.511250	327.185364	-49710.218750	20529.882812	-0.042119	9.951238	-0.425964	0.026584	0.008266	-0.010394	1013.130005	42.143085
