time	vector.x	vector.y	vector.z	accel.x	accel.y	accel.z	gyro.x	gyro.y	gyro.z	bar	therm
157.545000	2823.342773	-50409.683594	19459.417969	0.028143	9.953212	-0.038617	0.040102	0.008869	-0.020935	1013.320007	43.069061
157.556250	2754.509766	-50419.613281	19429.189453	0.019376	9.961108	-0.041007	0.057336	0.011469	-0.025073	1013.320007	43.069061
157.567500	2699.089844	-50408.617187	19324.845703	0.025138	9.971894	-0.031026	0.069788	0.013277	-0.024903	1013.320007	43.069061
157.578750	2664.391357	-50408.304687	19355.558594	0.029433	9.961823	-0.031559	0.058104	0.011688	-0.018413	1013.320007	43.069061
157.590000	2701.529541	-50399.082031	19407.671875	0.029057	9.954380	-0.032103	0.041968	0.009967	-0.014211	1013.320007	43.069061
157.601250	2604.352051	-50402.683594	19312.974609	0.035629	9.947809	-0.028123	0.013574	0.006918	-0.008299	1013.299988	43.073944
157.612500	2684.497803	-50404.527344	19367.978516	0.026334	9.958402	-0.033168	-0.013166	0.003644	-0.000840	1013.299988	43.073944
157.623750	2767.838623	-50420.609375	19437.845703	0.029745	9.960425	-0.033822	-0.029184	0.001052	0.003615	1013.299988	43.073944
157.635000	2751.892578	-50428.718750	19504.656250	0.023554	9.958174	-0.035895	-0.033857	-0.000573	0.005126	1013.299988	43.073944
157.646250	2803.112549	-50428.945312	19455.371094	0.022015	9.956709	-0.035760	-0.021205	0.000402	-0.000556	1013.299988	43.073944
157.657500	2728.748291	-50434.632812	19389.867187	0.027025	9.960223	-0.034145	0.001088	0.003605	-0.007983	1013.299988	43.073944
157.668750	2721.237549	-50411.765625	19393.599609	0.022250	9.958741	-0.045886	0.031683	0.008677	-0.018098	1013.299988	43.073944
157.680000	2664.124023	-50418.355469	19343.599609	0.028314	9.962905	-0.044930	0.058628	0.011785	-0.026520	1013.299988	43.073944
157.691250	2675.950195	-50381.250000	19437.214844	0.026363	9.954722	-0.037801	0.067673	0.012517	-0.026706	1013.299988	43.073944
157.702500	2887.756348	-50422.664062	19350.558594	0.025641	9.960231	-0.038721	0.065302	0.012656	-0.021392	1013.309998	43.073944
157.713750	2754.597656	-50419.648437	19340.322266	0.038047	9.966200	-0.044032	0.044573	0.009970	-0.017427	1013.309998	43.073944
157.725000	2723.063965	-50409.734375	19427.794922	0.019215	9.960615	-0.022127	0.018785	0.007832	-0.009685	1013.309998	43.073944
157.736250	2675.458252	-50392.300781	19497.988281	0.015205	9.949778	-0.033329	-0.006512	0.004409	-0.003484	1013.309998	43.073944
157.747500	2819.056396	-50394.785156	19446.314453	0.040429	9.942022	-0.049797	-0.032287	0.000336	0.003648	1013.309998	43.073944
157.758750	2756.308594	-50432.000000	19366.328125	0.026196	9.957519	-0.030658	-0.031827	0.000503	0.003057	1013.309998	43.073944
157.770000	2885.250732	-50374.515625	19371.246094	0.032162	9.964563	-0.036636	-0.027609	0.001095	0.002421	1013.309998	43.073944
157.781250	2784.007568	-50402.906250	19327.833984	0.038701	9.959101	-0.051676	-0.007436	0.002089	-0.007471	1013.309998	43.073944
157.792500	2685.667480	-50400.414062	19357.298828	0.020968	9.970209	-0.038903	0.022415	0.007269	-0.016465	1013.309998	43.073944
157.803750	2645.764160	-50400.421875	19352.255859	0.029969	9.968607	-0.036037	0.050710	0.011109	-0.022372	1013.269958	43.076286
157.815000	2785.048584	-50412.640625	19318.861328	0.034423	9.978065	-0.043157	0.065196	0.012494	-0.024782	1013.269958	43.076286
157.826250	2817.521484	-50403.355469	19352.943359	0.035919	9.935772	-0.057549	0.060541	0.012596	-0.022096	1013.269958	43.076286
157.837500	2733.510498	-50397.011719	19418.777344	0.030031	9.948526	-0.056081	0.052895	0.011683	-0.017732	1013.269958	43.076286
157.848750	2646.097168	-50407.164062	19331.105469	0.012131	9.970530	-0.028556	0.027768	0.007791	-0.010819	1013.269958	43.076286
157.860000	2801.817871	-50417.457031	19393.150391	0.028263	9.955430	-0.041216	-0.000553	0.004864	-0.004710	1013.269958	43.076286
157.871250	2716.287842	-50407.406250	19486.595703	0.030386	9.947111	-0.044522	-0.024848	0.002051	0.003121	1013.269958	43.076286
157.882500	2815.373535	-50448.492187	19366.437500	0.014678	9.960428	-0.043407	-0.035858	-1.750235E-5	0.005234	1013.269958	43.076286
157.893750	2758.672363	-50403.855469	19537.289062	0.022836	9.938835	-0.028696	-0.031143	-0.000465	0.003363	1013.269958	43.076286
157.905000	2738.030273	-50449.070312	19489.656250	0.018605	9.947844	-0.034254	-0.013740	0.002261	-0.002747	1013.259949	43.076286
157.916250	2664.577881	-50415.175781	19362.982422	0.016553	9.966228	-0.032903	0.016579	0.007000	-0.012742	1013.259949	43.076286
157.927500	2593.915283	-50403.914062	19281.337891	0.008008	9.962783	-0.031336	0.042664	0.009494	-0.022718	1013.259949	43.076286
157.938750	2671.025635	-50411.070312	19425.751953	0.017041	9.963913	-0.033809	0.061385	0.012369	-0.025123	1013.259949	43.076286
157.950000	2677.882812	-50387.210937	19393.054687	0.019322	9.959819	-0.034115	0.066038	0.012883	-0.023690	1013.259949	43.076286
157.961250	2813.885498	-50383.109375	19438.464844	0.027157	9.961435	-0.035729	0.058371	0.011730	-0.019408	1013.259949	43.076286
157.972500	2790.635254	-50376.410156	19467.039062	0.019679	9.953338	-0.031699	0.035786	0.008901	-0.012406	1013.259949	43.076286
157.983750	2716.308350	-50410.449219	19540.511719	0.032199	9.953959	-0.029395	0.003918	0.005049	-0.006079	1013.259949	43.076286
157.995000	2795.517578	-50408.433594	19416.197266	0.019304	9.952809	-0.050305	-0.020898	0.001355	-0.000827	1013.259949	43.076286
158.006250	2810.173828	-50427.445312	19330.949219	0.017141	9.967041	-0.041289	-0.032663	-0.001023	0.002989	1013.289978	43.078827
158.017500	2748.614014	-50409.343750	19380.810547	0.031171	9.954945	-0.032260	-0.032290	0.000239	0.004040	1013.289978	43.078827
158.028750	2753.562744	-50424.882812	19335.671875	0.026615	9.958032	-0.030304	-0.020045	0.001326	-0.001918	1013.289978	43.078827
