time	vector.x	vector.y	vector.z	accel.x	accel.y	accel.z	gyro.x	gyro.y	gyro.z	bar	therm
94.140000	421.556763	-50374.949219	20733.763672	-0.038323	9.968246	-0.426631	0.014082	0.006391	-0.008852	1013.099976	38.371796
94.151250	381.175171	-50374.828125	20974.724609	-0.038376	9.973557	-0.421503	-0.003212	0.003924	-0.005761	1013.099976	38.371796
94.162500	486.509521	-50409.761719	20914.191406	-0.040829	9.968276	-0.431454	-0.011375	0.003231	-0.003178	1013.099976	38.371796
94.173750	475.196930	-50385.382812	20942.376953	-0.040550	9.983125	-0.427314	-0.019746	0.003270	-7.922090E-5	1013.099976	38.371796
94.185000	354.912262	-50393.878906	20958.630859	-0.054529	9.976607	-0.426841	-0.023384	0.002325	-0.000451	1013.099976	38.371796
94.196250	361.196594	-50401.683594	20964.294922	-0.047483	9.973391	-0.445397	-0.029043	0.000541	-0.000340	1013.099976	38.371796
94.207500	373.244781	-50384.652344	20718.500000	-0.041556	9.958632	-0.430099	-0.033798	3.483777E-5	0.001081	1013.119995	38.381561
94.218750	338.336670	-50380.046875	20807.460937	-0.035351	9.964167	-0.419826	-0.029384	-0.000602	0.000457	1013.119995	38.381561
94.230000	233.852341	-50386.691406	20917.488281	-0.032078	9.967870	-0.440731	-0.024515	-0.000109	-0.000762	1013.119995	38.381561
94.241250	411.707153	-50395.007812	20882.998047	-0.043441	9.977041	-0.421577	-0.007998	0.002888	-0.006020	1013.119995	38.381561
94.252500	565.446167	-50382.718750	20878.099609	-0.040200	9.971969	-0.431680	-0.000898	0.003863	-0.008577	1013.119995	38.381561
94.263750	453.164124	-50393.468750	21026.144531	-0.043349	9.962573	-0.424350	0.015548	0.004971	-0.015199	1013.119995	38.381561
94.275000	374.305420	-50417.367187	20888.695312	-0.048942	9.973062	-0.428909	0.027755	0.006946	-0.018901	1013.119995	38.381561
94.286250	413.481018	-50403.664062	20773.412109	-0.042791	9.969013	-0.425444	0.038239	0.008731	-0.021593	1013.119995	38.381561
94.297500	376.511719	-50381.257812	20741.234375	-0.038396	9.966879	-0.425912	0.052901	0.010133	-0.023791	1013.119995	38.381561
94.308750	530.754456	-50363.375000	20930.146484	-0.045647	9.974797	-0.426004	0.061578	0.012444	-0.026393	1013.119995	38.381561
94.320000	511.548920	-50347.515625	20783.964844	-0.043188	9.975964	-0.438716	0.065454	0.013374	-0.025872	1013.119995	38.381561
94.331250	425.225677	-50378.945312	21037.607422	-0.045488	9.974597	-0.427231	0.067963	0.013018	-0.025158	1013.119995	38.381561
94.342500	377.189606	-50397.597656	20950.228516	-0.033997	9.980170	-0.428585	0.064214	0.013482	-0.022810	1013.119995	38.381561
94.353750	286.208649	-50399.183594	20667.083984	-0.034371	9.977682	-0.432130	0.056826	0.011900	-0.019501	1013.119995	38.381561
94.365000	485.625519	-50392.828125	20800.148437	-0.040744	9.973238	-0.440339	0.049953	0.010439	-0.017692	1013.119995	38.381561
94.376250	457.609314	-50379.882812	20810.968750	-0.048612	9.953207	-0.425799	0.036434	0.009892	-0.012492	1013.119995	38.381561
94.387500	506.895477	-50364.785156	20887.642578	-0.038611	9.963972	-0.429736	0.022675	0.008312	-0.009485	1013.119995	38.381561
94.398750	372.701904	-50347.070312	20847.968750	-0.039875	9.957643	-0.427281	0.006747	0.005411	-0.006726	1013.119995	38.381561
94.410000	410.473511	-50373.105469	20904.375000	-0.043108	9.970920	-0.425257	-0.011732	0.003697	-0.004611	1013.089966	38.383904
94.421250	499.850830	-50379.914062	20889.431641	-0.040596	9.963351	-0.431828	-0.019180	0.001437	-0.003294	1013.089966	38.383904
94.432500	553.177856	-50376.617187	20763.677734	-0.032303	9.968449	-0.416868	-0.023401	0.001434	-0.000743	1013.089966	38.383904
94.443750	502.569214	-50356.882812	20775.351562	-0.038943	9.966952	-0.424639	-0.027301	0.000546	0.000320	1013.089966	38.383904
94.455000	452.279663	-50369.386719	20764.125000	-0.054918	9.971104	-0.424437	-0.032374	0.000132	0.000751	1013.089966	38.383904
94.466250	384.274719	-50400.917969	20867.593750	-0.044041	9.956769	-0.418667	-0.031403	-0.000250	0.000258	1013.089966	38.383904
94.477500	360.320282	-50384.437500	20818.212891	-0.030168	9.970022	-0.418211	-0.026895	0.000128	-0.002301	1013.089966	38.383904
94.488750	447.158173	-50406.566406	20840.193359	-0.038405	9.955756	-0.431468	-0.014250	0.002123	-0.005388	1013.089966	38.383904
94.500000	413.541626	-50409.429687	20814.927734	-0.034841	9.960031	-0.420410	-0.001084	0.003110	-0.008972	1013.130005	38.388786
94.511250	400.070496	-50374.652344	20853.943359	-0.037503	9.966454	-0.424458	0.014437	0.004865	-0.013925	1013.130005	38.388786
94.522500	453.723236	-50399.601562	20758.105469	-0.035949	9.975865	-0.422350	0.025431	0.006375	-0.017919	1013.130005	38.388786
94.533750	478.105804	-50397.636719	20732.976562	-0.031264	9.969378	-0.418151	0.035932	0.008379	-0.020309	1013.130005	38.388786
94.545000	393.866150	-50392.496094	20750.974609	-0.050084	9.970821	-0.421930	0.050882	0.009508	-0.023613	1013.130005	38.388786
94.556250	427.530975	-50377.476562	20923.261719	-0.038182	9.976064	-0.430316	0.059242	0.011989	-0.025652	1013.130005	38.388786
94.567500	528.581970	-50380.300781	20787.707031	-0.035273	9.977002	-0.434509	0.064562	0.012145	-0.026037	1013.130005	38.388786
94.578750	668.743958	-50360.812500	20666.388672	-0.048394	9.973112	-0.418001	0.065649	0.012848	-0.023569	1013.130005	38.388786
94.590000	461.497040	-50376.644531	20890.800781	-0.041978	9.981332	-0.423096	0.065826	0.012152	-0.022921	1013.130005	38.388786
94.601250	406.327667	-50376.855469	20947.814453	-0.035334	9.961312	-0.422397	0.057253	0.012484	-0.019663	1013.119995	38.391327
94.612500	490.168213	-50362.664062	20900.779297	-0.030947	9.970646	-0.427420	0.050596	0.011523	-0.017727	1013.119995	38.391327
94.623750	473.619781	-50400.917969	20803.126953	-0.050201	9.983705	-0.422376	0.033727	0.009755	-0.011629	1013.119995	38.391327
94.635000	361.784241	-50390.644531	20872.621094	-0.030025	9.971997	-0.426547	0.022727	0.008274	-0.008125	1013.119995	38.391327
94.646250	371.731903	-50385.375000	20896.755859	-0.028978	9.970137	-0.409809	0.007119	0.006030	-0.006696	1013.119995	38.391327
94.657500	432.604065	-50411.164062	20819.132812	-0.048851	9.961921	-0.429520	-0.008297	0.003635	-0.004217	1013.119995	38.391327
94.668750	474.477936	-50406.445312	20754.365234	-0.047724	9.970835	-0.422482	-0.014923	0.002757	-0.003971	1013.119995	38.391327
94.680000	391.448944	-50383.273437	20860.548828	-0.040363	9.960113	-0.412690	-0.029013	0.001049	-0.000492	1013.119995	38.391327
94.691250	392.602570	-50391.175781	20736.166016	-0.031831	9.964921	-0.422494	-0.035413	0.000639	0.000643	1013.119995	38.391327
94.702500	409.057617	-50400.468750	20810.486328	-0.036117	9.977337	-0.434316	-0.028402	0.001119	-0.000281	1013.099976	38.396210
94.713750	361.624298	-50390.597656	20844.757812	-0.047774	9.974493	-0.425337	-0.027085	0.000551	-0.001615	1013.099976	38.396210
94.725000	288.732086	-50368.691406	20834.207031	-0.047620	9.978631	-0.428700	-0.025921	0.000457	-0.002776	1013.099976	38.396210
94.736250	356.904480	-50364.062500	20847.726562	-0.041483	9.978282	-0.417424	-0.019664	0.001090	-0.004264	1013.099976	38.396210
94.747500	332.272278	-50410.902344	20788.699219	-0.040161	9.960398	-0.426472	-0.003125	0.002522	-0.007303	1013.099976	38.396210
94.758750	466.113953	-50358.648437	20950.101562	-0.048964	9.959518	-0.425601	0.014275	0.004767	-0.013344	1013.099976	38.396210
94.770000	458.221008	-50385.105469	20873.611328	-0.048098	9.963940	-0.420519	0.027505	0.006448	-0.016935	1013.099976	38.396210
94.781250	531.885071	-50383.988281	20940.863281	-0.047257	9.960914	-0.425019	0.041911	0.009317	-0.021817	1013.099976	38.396210
94.792500	554.512756	-50385.894531	20948.064453	-0.030631	9.963229	-0.421433	0.047376	0.009412	-0.022695	1013.099976	38.396210
94.803750	480.377228	-50381.640625	20972.177734	-0.035556	9.968376	-0.427488	0.055864	0.011008	-0.024992	1013.099976	38.398552
94.815000	471.892181	-50407.289062	20972.205078	-0.041835	9.965964	-0.427255	0.065261	0.012756	-0.025490	1013.099976	38.398552
94.826250	474.199951	-50397.445312	20924.162109	-0.044728	9.959834	-0.431092	0.064905	0.012770	-0.024068	1013.099976	38.398552
94.837500	530.122253	-50404.730469	20986.433594	-0.033872	9.963290	-0.412549	0.065360	0.012982	-0.023039	1013.099976	38.398552
94.848750	427.787506	-50388.175781	20830.589844	-0.042199	9.966274	-0.422446	0.055986	0.011503	-0.018672	1013.099976	38.398552
94.860000	396.728577	-50386.914062	20826.234375	-0.043295	9.960942	-0.418845	0.047899	0.010421	-0.016422	1013.099976	38.398552
94.871250	362.069916	-50396.347656	20789.138672	-0.048528	9.957697	-0.432221	0.032262	0.008601	-0.012036	1013.099976	38.398552
94.882500	327.208038	-50392.386719	20881.992187	-0.034124	9.969328	-0.429127	0.022674	0.007962	-0.009297	1013.099976	38.398552
94.893750	411.327911	-50402.312500	20924.134766	-0.045806	9.969693	-0.428158	0.010956	0.006491	-0.007491	1013.099976	38.398552
94.905000	445.228699	-50401.867187	20645.447266	-0.034730	9.967921	-0.420682	-3.805349E-5	0.005356	-0.005681	1013.119995	38.405781
94.916250	525.055969	-50391.375000	20835.607422	-0.038696	9.967407	-0.422967	-0.011517	0.003456	-0.003417	1013.119995	38.405781
94.927500	483.329041	-50416.769531	20935.736328	-0.037371	9.967525	-0.419151	-0.028126	0.002207	0.000902	1013.119995	38.405781
94.938750	483.490143	-50410.570312	20925.361328	-0.049699	9.971079	-0.432441	-0.031279	-0.000182	-0.000290	1013.119995	38.405781
94.950000	473.060425	-50404.218750	20960.183594	-0.039112	9.967205	-0.412729	-0.035156	-0.001084	0.001957	1013.119995	38.405781
94.961250	452.386078	-50378.097656	20943.792969	-0.041738	9.971952	-0.425196	-0.030298	-0.000354	0.000811	1013.119995	38.405781
94.972500	351.865662	-50391.925781	20929.535156	-0.036846	9.967390	-0.424895	-0.029399	-0.000354	-0.001770	1013.119995	38.405781
94.983750	564.059631	-50399.070312	20912.519531	-0.035805	9.972070	-0.422241	-0.016298	0.001486	-0.006113	1013.119995	38.405781
94.995000	419.064117	-50396.003906	20859.031250	-0.045532	9.973910	-0.425809	-0.008972	0.002016	-0.007430	1013.119995	38.405781
95.006250	501.880707	-50391.472656	20852.365234	-0.041492	9.968552	-0.420431	0.009375	0.004789	-0.011915	1013.099976	38.408318
