time	vector.x	vector.y	vector.z	accel.x	accel.y	accel.z	gyro.x	gyro.y	gyro.z	bar	therm
466.773750	1045.494507	-49542.183594	18534.472656	0.159029	9.935359	-0.076876	0.063777	0.010909	-0.018241	1012.679993	46.998943
466.785000	1100.055664	-49556.636719	18722.962891	0.148313	9.953770	-0.085698	0.035641	0.009680	-0.013130	1012.679993	46.998943
466.796250	1086.410034	-49545.277344	18631.070312	0.136167	9.945174	-0.070244	-0.009149	0.004409	-0.001929	1012.679993	46.998943
466.807500	1051.728882	-49547.460937	18643.566406	0.133334	9.943399	-0.071489	-0.036351	0.000569	0.004526	1012.690002	47.001484
466.818750	1091.201782	-49522.835937	18565.261719	0.146134	9.952486	-0.063553	-0.029539	-0.000616	0.005179	1012.690002	47.001484
466.830000	1150.922363	-49562.453125	18580.265625	0.145196	9.945205	-0.078210	0.004022	0.004359	-0.007080	1012.690002	47.001484
466.841250	1112.317749	-49550.980469	18555.677734	0.143963	9.951432	-0.088719	0.044062	0.010239	-0.020748	1012.690002	47.001484
466.852500	1047.616821	-49537.562500	18676.728516	0.143315	9.945986	-0.074972	0.065437	0.013951	-0.025519	1012.690002	47.001484
466.863750	1129.149902	-49520.828125	18677.693359	0.140431	9.951544	-0.060283	0.057878	0.013435	-0.019617	1012.690002	47.001484
466.875000	1143.080688	-49555.023437	18712.142578	0.139296	9.941671	-0.071283	0.033811	0.010937	-0.011981	1012.690002	47.001484
466.886250	1124.981079	-49545.921875	18600.230469	0.136242	9.944978	-0.050426	-0.008748	0.004745	-0.001064	1012.690002	47.001484
466.897500	1094.074219	-49561.097656	18546.773437	0.141081	9.948286	-0.075974	-0.038242	-9.442263E-5	0.006442	1012.690002	47.001484
466.908750	957.273254	-49584.843750	18601.095703	0.152174	9.941972	-0.086539	-0.025252	0.001651	0.002704	1012.719971	47.003826
466.920000	1118.819214	-49577.746094	18585.394531	0.143391	9.937717	-0.086596	0.012500	0.005791	-0.009949	1012.719971	47.003826
466.931250	1190.665527	-49552.894531	18665.939453	0.146550	9.957404	-0.071115	0.048136	0.010431	-0.021122	1012.719971	47.003826
466.942500	1146.115967	-49563.171875	18635.345703	0.146878	9.946257	-0.072028	0.072037	0.013235	-0.023804	1012.719971	47.003826
466.953750	1075.161499	-49520.089844	18521.279297	0.144617	9.939763	-0.074869	0.062043	0.011484	-0.018479	1012.719971	47.003826
466.965000	1014.164917	-49569.835937	18636.595703	0.144224	9.939548	-0.066558	0.027242	0.006909	-0.010381	1012.719971	47.003826
466.976250	1008.104736	-49563.230469	18693.353516	0.146921	9.957090	-0.087257	-0.017309	0.002506	-0.000541	1012.719971	47.003826
466.987500	1054.992676	-49542.152344	18596.503906	0.142134	9.956755	-0.082909	-0.036490	-0.000624	0.005342	1012.719971	47.003826
466.998750	1039.565918	-49546.777344	18675.996094	0.147324	9.952845	-0.067587	-0.025564	0.000819	0.001777	1012.719971	47.003826
467.010000	1200.742676	-49564.480469	18524.236328	0.148337	9.948714	-0.067467	0.017965	0.007458	-0.012101	1012.699951	47.001484
467.021250	1096.858154	-49532.113281	18467.589844	0.154934	9.948519	-0.075769	0.052545	0.010943	-0.021366	1012.699951	47.001484
467.032500	1081.973877	-49550.562500	18562.501953	0.147473	9.947089	-0.087145	0.071580	0.013163	-0.024621	1012.699951	47.001484
467.043750	1051.854248	-49554.015625	18648.783203	0.148635	9.948317	-0.080886	0.053502	0.012650	-0.018135	1012.699951	47.001484
467.055000	1127.689819	-49574.460937	18582.578125	0.142411	9.950158	-0.071088	0.019486	0.007951	-0.010312	1012.699951	47.001484
467.066250	1134.387573	-49516.281250	18665.640625	0.144975	9.946684	-0.073111	-0.022983	0.002722	0.001279	1012.699951	47.001484
467.077500	1069.929687	-49569.726562	18598.414062	0.161595	9.941023	-0.073613	-0.031582	0.001000	0.004111	1012.699951	47.001484
467.088750	955.801086	-49574.277344	18518.765625	0.153039	9.946041	-0.072208	-0.013842	0.003158	-0.000864	1012.699951	47.001484
467.100000	1038.929932	-49558.527344	18576.736328	0.149356	9.948548	-0.085023	0.025308	0.006622	-0.015391	1012.699951	47.001484
467.111250	1053.115356	-49555.316406	18672.302734	0.153867	9.955455	-0.067275	0.056930	0.010946	-0.024467	1012.699951	47.001484
467.122500	1039.770752	-49578.671875	18606.216797	0.159713	9.952283	-0.072561	0.068594	0.012979	-0.022691	1012.699951	47.001484
467.133750	1030.452637	-49589.875000	18642.865234	0.146720	9.940146	-0.066597	0.043988	0.009918	-0.013713	1012.699951	47.001484
467.145000	1056.118652	-49559.316406	18535.617187	0.135874	9.939552	-0.060199	0.004529	0.004791	-0.004812	1012.699951	47.001484
467.156250	1163.303345	-49560.519531	18690.234375	0.141240	9.946550	-0.071152	-0.026149	0.000830	0.001760	1012.699951	47.001484
467.167500	1097.354736	-49606.175781	18648.835937	0.147000	9.949215	-0.079861	-0.035330	-0.001365	0.004825	1012.699951	47.001484
467.178750	1097.759521	-49591.003906	18700.687500	0.148181	9.958380	-0.091594	-0.013848	0.000905	-0.002170	1012.699951	47.001484
467.190000	1231.901123	-49556.695312	18570.863281	0.138883	9.946976	-0.084380	0.029018	0.008255	-0.015844	1012.699951	47.001484
467.201250	1128.565918	-49525.812500	18600.378906	0.150654	9.967861	-0.070468	0.061008	0.014925	-0.024587	1012.679993	47.003826
467.212500	1095.726929	-49541.835937	18676.507812	0.136395	9.958646	-0.067677	0.070924	0.013894	-0.021691	1012.679993	47.003826
467.223750	1145.556030	-49549.121094	18548.521484	0.137478	9.950924	-0.066810	0.041242	0.010262	-0.012137	1012.679993	47.003826
467.235000	1028.470093	-49548.210937	18576.376953	0.150305	9.944435	-0.068512	-0.003353	0.004523	-0.002262	1012.679993	47.003826
467.246250	1019.871704	-49545.113281	18552.308594	0.148024	9.947672	-0.082911	-0.029347	0.000767	0.003838	1012.679993	47.003826
467.257500	1162.172119	-49511.085937	18654.144531	0.142947	9.949600	-0.077018	-0.034953	-0.000300	0.003934	1012.679993	47.003826
467.268750	1103.843994	-49546.019531	18688.048828	0.145217	9.952721	-0.065738	-0.007417	0.003632	-0.005639	1012.679993	47.003826
467.280000	1183.582153	-49552.207031	18689.005859	0.133042	9.950407	-0.070666	0.036826	0.009127	-0.018810	1012.679993	47.003826
467.291250	1200.246582	-49551.835937	18608.970703	0.139120	9.952013	-0.081574	0.068537	0.012644	-0.025555	1012.679993	47.003826
