time	vector.x	vector.y	vector.z	accel.x	accel.y	accel.z	gyro.x	gyro.y	gyro.z	bar	therm
264.093750	147.272812	-48731.914062	20033.929687	0.092695	9.942052	-0.367039	0.099914	0.016744	-0.034181	1013.789978	47.291328
264.105000	225.108963	-48701.355469	19998.570312	0.088620	9.946261	-0.357750	0.078552	0.014323	-0.025998	1013.789978	47.293865
264.116250	118.339417	-48691.164062	20067.474609	0.094427	9.937222	-0.366045	0.022528	0.008872	-0.010568	1013.789978	47.293865
264.127500	159.300110	-48674.414062	19974.837891	0.088570	9.940545	-0.358082	-0.027397	0.002249	0.004755	1013.789978	47.293865
264.138750	194.478821	-48702.187500	20082.638672	0.094009	9.952601	-0.358321	-0.046699	-0.000993	0.009970	1013.789978	47.293865
264.150000	147.872528	-48672.078125	20160.285156	0.087957	9.937098	-0.360964	-0.019985	0.001732	-2.366710E-6	1013.789978	47.293865
264.161250	156.159042	-48678.250000	20031.089844	0.099386	9.927008	-0.357812	0.035700	0.008582	-0.017603	1013.789978	47.293865
264.172500	203.630585	-48700.152344	20118.843750	0.094922	9.925139	-0.367554	0.084180	0.014077	-0.032105	1013.789978	47.293865
264.183750	218.512726	-48725.164062	20132.408203	0.098870	9.945969	-0.355032	0.098618	0.016041	-0.032973	1013.789978	47.293865
264.195000	145.831787	-48711.128906	19976.179687	0.099683	9.932029	-0.366931	0.063054	0.012816	-0.022339	1013.789978	47.293865
264.206250	207.174942	-48694.960937	20023.296875	0.093636	9.936774	-0.358003	0.006116	0.006345	-0.006437	1013.779968	47.291328
264.217500	209.930618	-48687.117187	20136.865234	0.098099	9.940267	-0.355979	-0.042351	-0.000372	0.009151	1013.779968	47.291328
264.228750	340.527557	-48684.843750	20045.798828	0.101251	9.943389	-0.368125	-0.045421	-0.000642	0.008182	1013.779968	47.291328
264.240000	169.712891	-48699.593750	19963.484375	0.105562	9.944525	-0.376463	0.002087	0.005355	-0.007340	1013.779968	47.291328
264.251250	180.315399	-48722.761719	20002.056641	0.099794	9.952070	-0.351444	0.046967	0.009808	-0.021553	1013.779968	47.291328
264.262500	218.324295	-48704.542969	19956.179687	0.100033	9.939594	-0.358430	0.086850	0.014600	-0.030728	1013.779968	47.291328
264.273750	206.294312	-48694.820312	20040.136719	0.094731	9.937627	-0.354811	0.093398	0.015780	-0.031588	1013.779968	47.291328
264.285000	232.127365	-48726.625000	20083.277344	0.084933	9.931242	-0.357810	0.047001	0.011614	-0.018802	1013.779968	47.291328
264.296250	300.374878	-48707.902344	20085.525391	0.085076	9.947919	-0.356479	-0.008357	0.004311	-0.001282	1013.779968	47.291328
264.307500	197.708191	-48677.707031	19878.820312	0.087422	9.954368	-0.359714	-0.046988	-0.000661	0.010080	1013.789978	47.291328
264.318750	172.517838	-48711.750000	20175.072266	0.093097	9.938198	-0.362495	-0.031149	0.000974	0.004444	1013.789978	47.291328
264.330000	156.229156	-48633.355469	20153.699219	0.092972	9.949956	-0.367695	0.011148	0.005158	-0.010769	1013.789978	47.291328
264.341250	334.965637	-48661.085937	20038.458984	0.088415	9.945058	-0.357555	0.061043	0.011700	-0.026320	1013.789978	47.291328
264.352500	224.347015	-48706.875000	20020.017578	0.088051	9.947500	-0.368919	0.090863	0.015779	-0.031724	1013.789978	47.291328
264.363750	165.422318	-48698.863281	20003.701172	0.091374	9.953089	-0.374931	0.085152	0.014853	-0.027718	1013.789978	47.291328
264.375000	237.849991	-48696.394531	19988.769531	0.094180	9.938548	-0.366772	0.025769	0.007948	-0.011357	1013.789978	47.291328
264.386250	281.534454	-48681.921875	20009.757812	0.088787	9.944256	-0.354060	-0.029807	0.001548	0.004191	1013.789978	47.291328
264.397500	149.151627	-48694.882812	20050.455078	0.098362	9.945854	-0.358633	-0.049431	-0.000733	0.011424	1013.789978	47.291328
