time	vector.x	vector.y	vector.z	accel.x	accel.y	accel.z	gyro.x	gyro.y	gyro.z	bar	therm
151.998750	1136.182495	-50266.511719	18966.775391	0.135930	9.969152	-0.074682	0.009287	0.004278	-0.011863	1012.719971	42.564568
152.010000	1125.634521	-50263.292969	18865.841797	0.147599	9.967057	-0.071720	0.039240	0.008296	-0.020912	1012.729980	42.564568
152.021250	1109.700317	-50258.746094	18877.556641	0.146962	9.953526	-0.061874	0.057199	0.010873	-0.024027	1012.729980	42.564568
152.032500	1021.944763	-50247.589844	19040.787109	0.135610	9.958378	-0.087717	0.070562	0.012811	-0.025677	1012.729980	42.564568
152.043750	1145.667603	-50251.761719	18933.394531	0.145186	9.971760	-0.084008	0.063086	0.012601	-0.019710	1012.729980	42.564568
152.055000	1106.227905	-50258.605469	18986.806641	0.144077	9.961303	-0.083683	0.046815	0.010482	-0.014791	1012.729980	42.564568
152.066250	1080.781006	-50246.578125	18670.386719	0.149721	9.963382	-0.083229	0.018102	0.007312	-0.007829	1012.729980	42.564568
152.077500	1042.518311	-50270.871094	18869.218750	0.130731	9.960288	-0.088816	-0.008506	0.003213	-0.002336	1012.729980	42.564568
152.088750	1076.281860	-50252.339844	18923.992187	0.137042	9.949748	-0.094439	-0.019393	0.002175	0.000684	1012.729980	42.564568
152.100000	1198.995483	-50230.367187	18967.947266	0.145357	9.967914	-0.090896	-0.034319	-0.000165	0.003955	1012.739990	42.566914
152.111250	1037.238159	-50283.207031	18892.439453	0.144736	9.966011	-0.084633	-0.026129	0.000773	0.000645	1012.739990	42.566914
152.122500	1067.506714	-50269.175781	18958.072266	0.149781	9.963721	-0.071557	-0.009294	0.003032	-0.005007	1012.739990	42.566914
152.133750	1105.709717	-50301.402344	18904.265625	0.147155	9.952132	-0.066391	0.014584	0.005534	-0.013356	1012.739990	42.566914
152.145000	960.518860	-50270.476562	18981.361328	0.142840	9.959681	-0.067973	0.044898	0.010438	-0.022673	1012.739990	42.566914
152.156250	1043.975586	-50279.417969	19033.867187	0.136245	9.962772	-0.077005	0.061656	0.012790	-0.026467	1012.739990	42.566914
152.167500	1034.427002	-50255.570312	18952.712891	0.146358	9.967881	-0.074597	0.068973	0.012252	-0.024681	1012.739990	42.566914
152.178750	1068.349976	-50273.980469	19007.445312	0.136700	9.952123	-0.081568	0.058418	0.012848	-0.019209	1012.739990	42.566914
152.190000	1072.990112	-50286.363281	18963.335937	0.143693	9.953655	-0.078202	0.044203	0.010790	-0.014827	1012.739990	42.566914
152.201250	1157.692383	-50269.585937	18871.410156	0.135071	9.955383	-0.092658	0.016320	0.007640	-0.007763	1012.709961	42.571796
152.212500	1178.810425	-50268.363281	18917.353516	0.140978	9.960925	-0.075106	-0.009523	0.004002	-0.001971	1012.709961	42.571796
152.223750	1061.257935	-50283.410156	18963.968750	0.145374	9.969493	-0.073027	-0.025500	0.000563	0.000794	1012.709961	42.571796
152.235000	1098.329346	-50282.722656	18942.621094	0.160722	9.964113	-0.086654	-0.036185	-0.000932	0.002936	1012.709961	42.571796
152.246250	1095.369995	-50263.671875	19018.806641	0.138336	9.963452	-0.092785	-0.029933	-0.000689	0.001869	1012.709961	42.571796
152.257500	1040.412720	-50262.839844	18918.916016	0.137723	9.962195	-0.092964	-0.008702	0.001835	-0.005467	1012.709961	42.571796
152.268750	1078.198364	-50282.390625	18810.310547	0.139623	9.961338	-0.087682	0.013689	0.004597	-0.013480	1012.709961	42.571796
152.280000	1122.098511	-50254.367187	18915.753906	0.151440	9.959457	-0.083357	0.045076	0.009119	-0.022974	1012.709961	42.571796
152.291250	1074.356445	-50270.468750	18902.722656	0.151314	9.957575	-0.089330	0.061316	0.012264	-0.026017	1012.709961	42.571796
152.302500	1100.569092	-50255.753906	19006.607422	0.138088	9.958428	-0.088958	0.067191	0.012997	-0.024872	1012.739990	42.571796
152.313750	1019.130249	-50259.757812	18975.277344	0.148262	9.950651	-0.073725	0.059062	0.012146	-0.018126	1012.739990	42.571796
152.325000	958.744202	-50276.152344	18952.314453	0.132246	9.966561	-0.081058	0.043566	0.010628	-0.013001	1012.739990	42.571796
152.336250	1107.583374	-50299.265625	18905.833984	0.134550	9.965929	-0.084125	0.015021	0.007485	-0.006722	1012.739990	42.571796
152.347500	1027.518066	-50289.347656	18963.474609	0.132602	9.971093	-0.073885	-0.014045	0.004031	-0.001255	1012.739990	42.571796
152.358750	1054.052246	-50276.035156	18976.160156	0.144614	9.959603	-0.082940	-0.025813	0.001590	0.001253	1012.739990	42.571796
152.370000	1135.885132	-50265.832031	18866.136719	0.136372	9.955721	-0.084104	-0.030882	-0.000164	0.003235	1012.739990	42.571796
152.381250	1089.324463	-50261.171875	18875.251953	0.132881	9.972997	-0.097388	-0.021343	0.001317	-7.344753E-5	1012.739990	42.571796
152.392500	1203.746582	-50279.757812	18922.392578	0.142742	9.957468	-0.080085	-0.004341	0.003116	-0.006911	1012.739990	42.571796
152.403750	1105.324463	-50259.074219	18959.785156	0.147904	9.955318	-0.090874	0.025080	0.005864	-0.015614	1012.759949	42.574333
152.415000	1117.355591	-50261.304687	18987.406250	0.144777	9.951068	-0.083373	0.046385	0.009138	-0.022432	1012.759949	42.574333
152.426250	975.497375	-50254.851562	19094.333984	0.138025	9.962801	-0.073227	0.060969	0.011917	-0.025191	1012.759949	42.574333
152.437500	1058.440674	-50312.886719	18983.271484	0.143306	9.964375	-0.065950	0.066988	0.012521	-0.022541	1012.759949	42.574333
152.448750	1043.221558	-50282.414062	18994.945312	0.143671	9.951737	-0.073277	0.057292	0.012333	-0.017346	1012.759949	42.574333
152.460000	1079.832031	-50275.960937	18897.492187	0.146575	9.966232	-0.076506	0.036011	0.009434	-0.011189	1012.759949	42.574333
152.471250	1012.497559	-50287.378906	18948.107422	0.143779	9.967770	-0.083293	0.013015	0.006145	-0.006750	1012.759949	42.574333
152.482500	1119.683228	-50274.339844	18859.367187	0.136568	9.961123	-0.089014	-0.011169	0.002696	-0.002944	1012.759949	42.574333
152.493750	1125.776123	-50271.460937	18954.695312	0.142520	9.956553	-0.091695	-0.029580	0.001169	0.003416	1012.759949	42.574333
152.505000	1025.301514	-50280.164062	18911.771484	0.145616	9.954795	-0.096873	-0.034741	-0.000360	0.004207	1012.739990	42.576679
152.516250	1122.723511	-50249.019531	18931.437500	0.144379	9.963769	-0.079117	-0.025450	0.001045	0.001328	1012.739990	42.576679
152.527500	1180.610107	-50268.984375	18952.501953	0.154913	9.958496	-0.073409	0.001544	0.004596	-0.008267	1012.739990	42.576679
152.538750	1000.510193	-50305.527344	18920.027344	0.140237	9.965400	-0.083553	0.023827	0.006989	-0.016319	1012.739990	42.576679
152.550000	1002.093628	-50273.441406	19085.281250	0.144318	9.965422	-0.073211	0.048443	0.011349	-0.023750	1012.739990	42.576679
152.561250	1022.489075	-50276.078125	18991.046875	0.147454	9.959069	-0.079755	0.066988	0.013214	-0.027101	1012.739990	42.576679
152.572500	1085.509155	-50263.851562	18909.894531	0.138976	9.954679	-0.077766	0.066373	0.013040	-0.023630	1012.739990	42.576679
152.583750	1066.878540	-50269.648437	18977.357422	0.156274	9.962522	-0.089021	0.058430	0.012844	-0.018602	1012.739990	42.576679
152.595000	1206.705933	-50234.648437	18995.693359	0.143707	9.945966	-0.089215	0.038232	0.010012	-0.012087	1012.739990	42.576679
152.606250	1077.217041	-50260.425781	18948.341797	0.151590	9.973305	-0.079328	0.009459	0.006557	-0.008825	1012.729980	42.579216
152.617500	1126.197021	-50173.750000	18952.841797	0.153310	9.956446	-0.082297	-0.013412	0.002909	-0.001196	1012.729980	42.579216
152.628750	1157.450562	-50239.070312	18836.738281	0.132002	9.952225	-0.076462	-0.027248	0.000768	0.000571	1012.729980	42.579216
