time	vector.x	vector.y	vector.z	accel.x	accel.y	accel.z	gyro.x	gyro.y	gyro.z	bar	therm
132.300000	5795.616699	-55593.417969	11718.521484	0.011521	9.975083	-0.272432	-0.020878	0.001402	-0.006021	1013.789978	35.304607
132.311250	5691.869141	-55570.796875	11636.382812	0.013363	9.975434	-0.266261	-0.018662	0.001399	-0.006393	1013.789978	35.304607
132.322500	5727.569336	-55571.160156	11875.786133	0.007343	9.979511	-0.274269	-0.017431	0.000968	-0.006882	1013.789978	35.304607
132.333750	5838.281250	-55532.949219	11861.698242	0.005573	9.981333	-0.267191	-0.012739	0.002104	-0.007067	1013.789978	35.304607
132.345000	5799.017090	-55554.812500	11781.586914	0.016924	9.973927	-0.271615	-0.005256	0.003512	-0.009150	1013.789978	35.304607
132.356250	5902.621582	-55537.792969	11854.051758	0.024221	9.980322	-0.270459	-0.001007	0.004123	-0.009024	1013.789978	35.304607
132.367500	5784.537109	-55535.125000	11816.678711	0.030443	9.975159	-0.283148	0.002625	0.005048	-0.008895	1013.789978	35.304607
132.378750	5716.068359	-55506.097656	11700.608398	0.029798	9.972209	-0.284460	0.005480	0.005268	-0.008830	1013.789978	35.304607
132.390000	5844.044434	-55521.308594	11740.570312	0.025870	9.983359	-0.270453	0.004249	0.005155	-0.009054	1013.789978	35.304607
132.401250	5726.909668	-55535.449219	11800.486328	0.004912	9.984071	-0.278104	0.007979	0.005165	-0.010121	1013.779968	35.304607
132.412500	5876.812012	-55529.683594	11727.402344	0.024803	9.986525	-0.272378	0.012744	0.005836	-0.011991	1013.779968	35.304607
132.423750	5800.920410	-55496.886719	11851.478516	0.018593	9.977196	-0.276015	0.017068	0.006928	-0.013597	1013.779968	35.304607
132.435000	5885.101074	-55517.464844	11842.000000	0.023646	9.980715	-0.272894	0.021804	0.007693	-0.014571	1013.779968	35.304607
132.446250	6008.287109	-55513.113281	11803.910156	0.005890	9.978257	-0.274717	0.026883	0.007951	-0.014306	1013.779968	35.304607
132.457500	5729.260742	-55497.765625	11800.357422	0.015508	9.984907	-0.274378	0.032562	0.009439	-0.016607	1013.779968	35.304607
132.468750	5772.087402	-55475.425781	11752.416992	0.010154	9.968754	-0.284840	0.033791	0.010104	-0.017167	1013.779968	35.304607
132.480000	5765.299805	-55492.218750	11674.654297	0.017409	9.976987	-0.288924	0.038573	0.009788	-0.018607	1013.779968	35.304607
132.491250	5782.117187	-55532.250000	11719.155273	0.027863	9.978570	-0.293551	0.033476	0.009298	-0.016525	1013.779968	35.304607
132.502500	5883.870117	-55516.578125	11675.585937	0.016768	9.982601	-0.276612	0.035583	0.009800	-0.017914	1013.759949	35.309490
132.513750	5829.782227	-55514.851562	11815.836914	0.020539	9.975325	-0.288023	0.039297	0.010755	-0.018618	1013.759949	35.309490
132.525000	5837.688477	-55520.203125	11734.297852	0.010074	9.975960	-0.289104	0.041578	0.010007	-0.020146	1013.759949	35.309490
132.536250	5781.097656	-55526.394531	11712.182617	0.036139	9.973042	-0.269900	0.042363	0.010449	-0.020668	1013.759949	35.309490
132.547500	5729.189453	-55536.058594	11806.716797	0.015195	9.978746	-0.274813	0.042796	0.011147	-0.020424	1013.759949	35.309490
132.558750	5767.285156	-55521.140625	11650.784180	0.030990	9.961915	-0.275231	0.038896	0.010016	-0.018710	1013.759949	35.309490
132.570000	5813.850586	-55540.804687	11637.186523	0.021382	9.971478	-0.276679	0.037480	0.009143	-0.018608	1013.759949	35.309490
132.581250	5850.339355	-55519.195312	11753.242187	0.018289	9.984611	-0.266030	0.035207	0.009547	-0.018079	1013.759949	35.309490
132.592500	5804.772461	-55501.660156	11713.768555	0.027188	9.970201	-0.267763	0.037445	0.009605	-0.016976	1013.759949	35.309490
132.603750	5833.510742	-55505.601562	11777.470703	0.020156	9.975675	-0.284496	0.038351	0.009248	-0.016719	1013.769958	35.309490
132.615000	5785.558105	-55530.460937	11845.283203	0.013960	9.983126	-0.286151	0.034067	0.009428	-0.015329	1013.769958	35.309490
132.626250	5749.413086	-55522.859375	11833.758789	0.019472	9.976336	-0.277040	0.028396	0.008084	-0.013972	1013.769958	35.309490
132.637500	5805.404297	-55520.769531	11741.894531	0.026942	9.979436	-0.288037	0.024706	0.007952	-0.011915	1013.769958	35.309490
132.648750	5734.597168	-55512.289062	11671.774414	0.014909	9.984872	-0.281393	0.019124	0.006302	-0.010449	1013.769958	35.309490
132.660000	5733.257812	-55525.289062	11696.075195	0.022278	9.983441	-0.269708	0.012320	0.005636	-0.008750	1013.769958	35.309490
132.671250	5735.037598	-55522.937500	11693.385742	0.010556	9.986392	-0.282796	0.011882	0.005794	-0.006794	1013.769958	35.309490
