time	vector.x	vector.y	vector.z	accel.x	accel.y	accel.z	gyro.x	gyro.y	gyro.z	bar	therm
197.617500	2433.174561	-45763.359375	20159.513672	-0.372355	9.980670	-0.223590	0.049256	0.010708	-0.015421	1024.789917	39.633709
197.628750	2440.892822	-45770.667969	20154.589844	-0.381149	10.005543	-0.227747	0.031319	0.008438	-0.011462	1024.789917	39.633709
197.640000	2479.082275	-45813.750000	20066.732422	-0.373809	9.987699	-0.216622	0.020134	0.007584	-0.010131	1024.789917	39.633709
197.651250	2512.616699	-45761.976562	20018.132812	-0.362302	9.964863	-0.237367	-0.000429	0.005204	-0.005778	1024.789917	39.633709
197.662500	2602.082520	-45758.222656	20118.822266	-0.370806	9.967848	-0.203007	-0.012008	0.003632	-0.001884	1024.789917	39.633709
197.673750	2528.004883	-45716.371094	20113.296875	-0.380111	9.967331	-0.219152	-0.023192	0.001737	0.003223	1024.789917	39.633709
197.685000	2493.402832	-45733.402344	20105.414062	-0.372607	9.967524	-0.214056	-0.029153	-0.000403	0.004628	1024.789917	39.633709
197.696250	2388.100098	-45749.601562	20243.521484	-0.377592	9.977074	-0.214430	-0.024189	0.000560	0.001384	1024.789917	39.633709
197.707500	2384.395752	-45753.078125	20228.767578	-0.359674	9.967731	-0.225726	-0.023452	-0.000253	-0.000829	1024.780029	39.631367
197.718750	2455.783447	-45747.378906	20067.175781	-0.359996	9.950335	-0.208450	-0.013282	0.001193	-0.008566	1024.780029	39.631367
197.730000	2400.708740	-45746.660156	19991.005859	-0.390448	9.980614	-0.227962	-7.409321E-5	0.002207	-0.012596	1024.780029	39.631367
197.741250	2474.906494	-45771.351562	20017.560547	-0.361555	9.969728	-0.225468	0.021183	0.005422	-0.017608	1024.780029	39.631367
197.752500	2544.651123	-45742.304687	20170.166016	-0.374394	9.952116	-0.205315	0.039924	0.008184	-0.022087	1024.780029	39.631367
197.763750	2537.416748	-45759.589844	20183.042969	-0.380178	9.967873	-0.225631	0.048312	0.009833	-0.022101	1024.780029	39.631367
197.775000	2470.599854	-45764.554687	20122.255859	-0.368086	9.972000	-0.201929	0.062642	0.013365	-0.024736	1024.780029	39.631367
197.786250	2449.192139	-45758.964844	20067.941406	-0.368084	9.949784	-0.217441	0.062872	0.012772	-0.022797	1024.780029	39.631367
197.797500	2508.281250	-45753.972656	20163.382812	-0.366785	9.951570	-0.210031	0.064379	0.012318	-0.022202	1024.780029	39.631367
197.808750	2503.447754	-45772.648437	20129.701172	-0.376874	9.969200	-0.221386	0.059605	0.012390	-0.020142	1024.750000	39.631367
197.820000	2570.494629	-45797.308594	20073.888672	-0.385426	9.975478	-0.223945	0.049455	0.011577	-0.017214	1024.750000	39.631367
197.831250	2468.407959	-45751.292969	20130.708984	-0.375066	9.970495	-0.219212	0.030444	0.008258	-0.012852	1024.750000	39.631367
197.842500	2492.979492	-45786.789062	20020.783203	-0.371282	9.977156	-0.216110	0.015436	0.007028	-0.009128	1024.750000	39.631367
197.853750	2351.605225	-45761.093750	19971.742187	-0.367817	9.962773	-0.210048	-0.000270	0.004601	-0.006116	1024.750000	39.631367
197.865000	2545.970947	-45765.585937	20063.150391	-0.374490	9.961600	-0.221261	-0.015321	0.001904	-0.000357	1024.750000	39.631367
197.876250	2462.116455	-45762.164062	20067.484375	-0.375476	9.978811	-0.205276	-0.026948	0.000523	0.002552	1024.750000	39.631367
197.887500	2472.302246	-45767.792969	19980.886719	-0.381812	9.986163	-0.224883	-0.028763	-0.000191	0.003073	1024.750000	39.631367
197.898750	2493.692383	-45779.167969	19988.107422	-0.380049	9.972816	-0.219846	-0.026813	0.000385	-0.000326	1024.750000	39.631367
197.910000	2517.793457	-45765.703125	20101.984375	-0.374642	9.989331	-0.207564	-0.021925	0.000237	-0.003916	1024.750000	39.633709
197.921250	2628.089111	-45787.265625	20060.892578	-0.363192	9.966058	-0.198916	-0.010478	0.001716	-0.009117	1024.750000	39.633709
197.932500	2513.844482	-45769.871094	20171.503906	-0.362399	9.973522	-0.207540	0.003603	0.003328	-0.014467	1024.750000	39.633709
197.943750	2533.233398	-45813.109375	20216.636719	-0.376484	9.985776	-0.220352	0.024996	0.005744	-0.018663	1024.750000	39.633709
197.955000	2577.607910	-45788.480469	20284.623047	-0.371397	9.992115	-0.225677	0.045491	0.008736	-0.022723	1024.750000	39.633709
197.966250	2545.153564	-45799.988281	20073.902344	-0.366692	9.975430	-0.215506	0.054365	0.011415	-0.023047	1024.750000	39.633709
197.977500	2526.436035	-45799.769531	20182.763672	-0.372602	9.985394	-0.227905	0.061941	0.012136	-0.023547	1024.750000	39.633709
197.988750	2426.920410	-45782.789062	20109.847656	-0.370891	9.966161	-0.221427	0.061486	0.012154	-0.021445	1024.750000	39.633709
198.000000	2642.413330	-45787.000000	20085.761719	-0.372460	9.958217	-0.205375	0.060825	0.012585	-0.019834	1024.739990	39.636250
198.011250	2617.744873	-45776.316406	20099.732422	-0.366478	9.974748	-0.226515	0.053353	0.011291	-0.019817	1024.739990	39.636250
198.022500	2430.219482	-45812.187500	20196.416016	-0.370360	9.978745	-0.219640	0.041752	0.010017	-0.015739	1024.739990	39.636250
198.033750	2411.217041	-45779.710937	20176.425781	-0.379211	9.974956	-0.209985	0.023018	0.008166	-0.010813	1024.739990	39.636250
