time	vector.x	vector.y	vector.z	accel.x	accel.y	accel.z	gyro.x	gyro.y	gyro.z	bar	therm
74.801250	1082.485107	-52402.382812	21316.171875	0.031076	10.011108	-0.081203	-0.015216	0.001613	-0.004758	1016.649963	33.216717
74.812500	1110.707031	-52409.917969	21233.205078	0.032594	10.023718	-0.102962	-0.015321	0.000537	-0.005170	1016.649963	33.216717
74.823750	1120.943848	-52421.164062	21298.697266	0.040693	10.024300	-0.086124	-0.015783	0.002124	-0.006019	1016.649963	33.216717
74.835000	1003.523437	-52384.828125	21164.218750	0.035298	9.954120	-0.087520	-0.012605	0.002544	-0.004172	1016.649963	33.216717
74.846250	1174.387451	-52419.859375	21077.277344	0.029075	9.943830	-0.086309	-0.013614	0.002734	-0.004149	1016.649963	33.216717
74.857500	1078.249268	-52406.230469	21150.349609	0.023815	9.949819	-0.092631	-0.015474	0.001668	-0.003668	1016.649963	33.216717
74.868750	1129.028198	-52387.886719	21187.574219	0.036120	9.959272	-0.086930	-0.013585	0.001289	-0.004067	1016.649963	33.216717
74.880000	1062.593140	-52374.957031	21154.060547	0.042551	9.936380	-0.083730	-0.016354	0.001060	-0.003829	1016.649963	33.216717
74.891250	1081.576172	-52381.121094	21142.224609	0.045377	9.954626	-0.091503	-0.013854	0.001582	-0.005464	1016.649963	33.216717
74.902500	1041.960815	-52383.816406	21126.453125	0.033045	9.941619	-0.089555	-0.014251	0.001456	-0.004642	1016.639954	33.219257
74.913750	1065.469360	-52380.687500	21180.345703	0.026027	9.956037	-0.089893	-0.015094	0.001865	-0.005641	1016.639954	33.219257
74.925000	1164.634277	-52405.453125	21066.310547	0.026562	9.933905	-0.091797	-0.011819	0.001241	-0.006402	1016.639954	33.219257
74.936250	1052.018433	-52403.375000	21211.677734	0.026406	9.950883	-0.098577	-0.009569	0.003547	-0.005599	1016.639954	33.219257
74.947500	991.080139	-52355.828125	21106.576172	0.039760	9.954404	-0.084788	-0.010469	0.002442	-0.005114	1016.639954	33.219257
