time	vector.x	vector.y	vector.z	accel.x	accel.y	accel.z	gyro.x	gyro.y	gyro.z	bar	therm
34.121250	-31.293898	-53767.851562	20946.136719	-0.084594	9.956170	-0.042047	-0.017315	0.001523	-0.007821	1016.929993	30.415350
34.132500	-11.751159	-53765.859375	20915.359375	-0.070254	9.953019	-0.051467	-0.014146	0.002340	-0.007928	1016.929993	30.415350
34.143750	59.527988	-53781.046875	20985.617187	-0.076309	9.963647	-0.053209	-0.013610	0.002286	-0.007597	1016.929993	30.415350
34.155000	14.471975	-53766.449219	21012.267578	-0.076967	9.967207	-0.054569	-0.011351	0.002933	-0.007517	1016.929993	30.415350
34.166250	17.958538	-53792.109375	20837.316406	-0.073208	9.961716	-0.035475	-0.010434	0.002846	-0.007240	1016.929993	30.415350
34.177500	-67.913597	-53736.453125	20841.255859	-0.079526	10.015869	-0.053467	-0.005031	0.003378	-0.005928	1016.929993	30.415350
34.188750	14.522122	-53762.449219	20964.986328	-0.080990	10.030784	-0.039586	-0.005010	0.003464	-0.004790	1016.929993	30.415350
34.200000	-81.758339	-53764.832031	20854.261719	-0.083294	10.033888	-0.047744	-0.002636	0.003679	-0.005757	1016.899963	30.422773
34.211250	-9.192917	-53761.257812	20859.824219	-0.073894	10.027780	-0.042557	0.001416	0.004464	-0.006124	1016.899963	30.422773
34.222500	50.599850	-53768.953125	20901.707031	-0.066560	10.019708	-0.041255	0.002022	0.004430	-0.006522	1016.899963	30.422773
34.233750	88.423103	-53785.578125	20804.230469	-0.079559	10.025552	-0.043194	0.005123	0.004040	-0.008294	1016.899963	30.422773
34.245000	20.903053	-53777.128906	20937.843750	-0.091390	10.021092	-0.050869	0.006042	0.004557	-0.010242	1016.899963	30.422773
34.256250	-29.132122	-53766.539062	20920.072266	-0.079653	10.021388	-0.049078	0.010063	0.004606	-0.011284	1016.899963	30.422773
34.267500	-12.914338	-53762.855469	20840.619141	-0.082574	10.023604	-0.049377	0.010229	0.004550	-0.012485	1016.899963	30.422773
34.278750	-75.619019	-53770.425781	20916.781250	-0.075068	10.037654	-0.052815	0.014115	0.006199	-0.012667	1016.899963	30.422773
34.290000	107.917778	-53774.585937	20831.148437	-0.082403	10.027084	-0.050997	0.019730	0.007289	-0.015812	1016.899963	30.422773
34.301250	98.211945	-53765.906250	20883.564453	-0.078627	10.017311	-0.024696	0.018021	0.007250	-0.014910	1016.959961	30.434881
34.312500	104.357941	-53739.496094	20828.943359	-0.084813	10.017142	-0.034071	0.017215	0.007735	-0.014809	1016.959961	30.434881
34.323750	48.613575	-53759.085937	20731.792969	-0.084059	10.039726	-0.046180	0.016204	0.007830	-0.014763	1016.959961	30.434881
34.335000	36.901661	-53755.707031	20884.175781	-0.074118	10.016399	-0.051803	0.010260	0.007319	-0.011945	1016.959961	30.434881
34.346250	34.368103	-53761.687500	20815.791016	-0.084369	10.017941	-0.052486	0.009770	0.006342	-0.010994	1016.959961	30.434881
34.357500	-30.030525	-53727.730469	20890.654297	-0.078285	10.014921	-0.040255	0.007803	0.006841	-0.009672	1016.959961	30.434881
34.368750	-63.325687	-53746.519531	20823.240234	-0.066974	10.040051	-0.056345	0.004291	0.006226	-0.008833	1016.959961	30.434881
34.380000	44.870087	-53779.777344	20878.521484	-0.085233	10.019023	-0.044834	0.003229	0.005918	-0.007168	1016.959961	30.434881
34.391250	43.934990	-53768.863281	20876.703125	-0.078534	9.971742	-0.043786	-0.001560	0.004002	-0.006678	1016.959961	30.434881
34.402500	-45.283142	-53790.320312	20853.748047	-0.087442	9.964294	-0.047109	-0.008322	0.002959	-0.005677	1016.959961	30.449530
34.413750	90.224106	-53789.402344	20925.884766	-0.084435	9.953932	-0.038965	-0.013421	0.001786	-0.005780	1016.959961	30.449530
34.425000	88.269417	-53787.742187	20865.031250	-0.079478	9.959228	-0.041207	-0.013482	0.002897	-0.006242	1016.959961	30.449530
34.436250	121.889076	-53803.648437	20876.322266	-0.077988	9.961708	-0.045279	-0.014632	0.003355	-0.005398	1016.959961	30.449530
34.447500	87.675201	-53797.128906	20912.837891	-0.080418	9.971779	-0.042376	-0.016621	0.002873	-0.006391	1016.959961	30.449530
34.458750	72.912048	-53783.617187	20771.929687	-0.086052	9.969612	-0.029840	-0.017311	0.002134	-0.006798	1016.959961	30.449530
34.470000	34.127396	-53803.863281	20829.900391	-0.086423	9.949371	-0.045565	-0.014677	0.002713	-0.006831	1016.959961	30.449530
34.481250	67.904060	-53822.796875	20883.556641	-0.074621	9.948210	-0.047689	-0.016491	0.002458	-0.007586	1016.959961	30.449530
34.492500	-72.716438	-53776.406250	20872.609375	-0.086124	9.953116	-0.040787	-0.016252	0.002499	-0.008395	1016.959961	30.449530
34.503750	-62.929928	-53741.617187	20961.138672	-0.077507	9.955317	-0.037674	-0.019822	0.001108	-0.007466	1016.949951	30.451874
34.515000	96.686699	-53745.742187	20919.923828	-0.069040	9.952657	-0.032568	-0.018038	0.000968	-0.006465	1016.949951	30.451874
34.526250	-8.001545	-53759.988281	20873.720703	-0.078156	9.961350	-0.054828	-0.014987	0.002339	-0.007433	1016.949951	30.451874
34.537500	-38.568459	-53739.589844	20766.650391	-0.086992	9.968450	-0.031325	-0.011521	0.002152	-0.007376	1016.949951	30.451874
34.548750	-93.303963	-53745.175781	20775.039062	-0.083305	9.969519	-0.050794	-0.010721	0.002525	-0.007060	1016.949951	30.451874
34.560000	-82.556610	-53765.984375	20867.662109	-0.072797	9.960669	-0.035418	-0.009656	0.002634	-0.005160	1016.949951	30.451874
34.571250	-22.081244	-53757.687500	20816.091797	-0.069113	9.961630	-0.044836	-0.005896	0.002067	-0.006407	1016.949951	30.451874
34.582500	15.166405	-53783.890625	20799.789062	-0.075639	9.964346	-0.040955	-0.002302	0.002350	-0.006951	1016.949951	30.451874
34.593750	-36.812145	-53782.714844	20841.419922	-0.077791	9.972054	-0.044560	-0.001705	0.002230	-0.006787	1016.949951	30.451874
34.605000	-39.711132	-53805.546875	20826.880859	-0.067350	10.008965	-0.045108	0.008664	0.003880	-0.008046	1016.909973	30.461639
34.616250	55.664562	-53810.824219	20730.968750	-0.067732	10.035161	-0.050270	0.010609	0.004976	-0.009288	1016.909973	30.461639
34.627500	126.552727	-53788.316406	20813.611328	-0.082603	10.037926	-0.053757	0.012518	0.005360	-0.011274	1016.909973	30.461639
34.638750	-66.205620	-53782.640625	20642.603516	-0.074595	10.030399	-0.046524	0.014849	0.006135	-0.012055	1016.909973	30.461639
34.650000	1.162825	-53772.234375	20911.851562	-0.078735	10.023234	-0.052231	0.014822	0.005511	-0.012638	1016.909973	30.461639
34.661250	-107.846397	-53783.382812	20817.416016	-0.080107	10.032264	-0.046599	0.014870	0.005596	-0.013845	1016.909973	30.461639
34.672500	54.332813	-53785.144531	20777.935547	-0.069690	10.031226	-0.049631	0.014520	0.006339	-0.014691	1016.909973	30.461639
34.683750	113.392731	-53737.457031	20770.341797	-0.074613	10.013782	-0.042047	0.013303	0.006312	-0.016098	1016.909973	30.461639
34.695000	-23.198265	-53749.378906	20762.531250	-0.068337	10.020942	-0.032448	0.011453	0.006360	-0.014623	1016.909973	30.461639
34.706250	-94.339226	-53787.636719	20618.742187	-0.069360	10.039000	-0.051097	0.008707	0.006370	-0.013168	1016.909973	30.466522
34.717500	-68.321007	-53796.695312	20952.050781	-0.084104	10.031646	-0.047385	0.010941	0.007012	-0.012620	1016.909973	30.466522
34.728750	-74.895035	-53787.457031	20834.982422	-0.075303	10.021581	-0.038933	0.009931	0.007499	-0.011446	1016.909973	30.466522
34.740000	26.593498	-53788.121094	20883.056641	-0.070490	10.027373	-0.062888	0.008840	0.006861	-0.010202	1016.909973	30.466522
34.751250	16.207405	-53801.527344	20833.111328	-0.063057	10.038486	-0.046408	0.005654	0.005774	-0.008444	1016.909973	30.466522
34.762500	17.916306	-53788.925781	20853.974609	-0.072248	10.027149	-0.041555	0.003657	0.005806	-0.007418	1016.909973	30.466522
34.773750	-41.993290	-53792.671875	20825.486328	-0.082479	10.017470	-0.033044	-0.001721	0.004995	-0.005237	1016.909973	30.466522
34.785000	-61.487553	-53770.925781	20926.019531	-0.076636	10.016276	-0.047836	-0.003475	0.004702	-0.005426	1016.909973	30.466522
34.796250	86.616615	-53747.046875	20965.281250	-0.075465	10.032313	-0.043436	-0.003888	0.004645	-0.004913	1016.909973	30.466522
34.807500	11.759144	-53752.183594	20932.277344	-0.082541	10.021438	-0.042151	-0.010630	0.004191	-0.005805	1016.899963	30.476288
34.818750	-2.231038	-53725.523437	20739.900391	-0.074428	9.990104	-0.051727	-0.012139	0.002893	-0.005129	1016.899963	30.476288
34.830000	50.379013	-53758.050781	20724.800781	-0.067170	9.963787	-0.050174	-0.019454	0.001708	-0.006645	1016.899963	30.476288
34.841250	140.436844	-53755.046875	20792.189453	-0.075935	9.959023	-0.056523	-0.021178	0.001100	-0.006230	1016.899963	30.476288
34.852500	-69.721176	-53768.152344	20765.917969	-0.077252	9.954652	-0.034867	-0.021328	0.000495	-0.007426	1016.899963	30.476288
34.863750	-46.872677	-53754.980469	20932.255859	-0.073560	9.958029	-0.035412	-0.020104	0.001201	-0.007564	1016.899963	30.476288
34.875000	19.803511	-53777.722656	20824.261719	-0.078933	9.972429	-0.042293	-0.019561	0.001974	-0.006890	1016.899963	30.476288
34.886250	109.884766	-53755.132812	20912.091797	-0.079053	9.963636	-0.042447	-0.018160	0.001660	-0.007398	1016.899963	30.476288
34.897500	-87.186455	-53761.023437	20918.669922	-0.066730	9.955371	-0.040763	-0.016912	0.001968	-0.006894	1016.899963	30.476288
34.908750	26.691216	-53779.593750	20908.320312	-0.078587	9.960067	-0.047742	-0.013211	0.002405	-0.007619	1016.969971	30.486053
34.920000	3.004984	-53810.980469	21018.244141	-0.073715	9.976664	-0.043043	-0.010784	0.001774	-0.006933	1016.969971	30.486053
34.931250	190.181992	-53805.152344	20921.833984	-0.076201	9.964241	-0.049796	-0.009895	0.002496	-0.005990	1016.969971	30.486053
34.942500	110.499046	-53758.472656	20948.900391	-0.068172	9.960088	-0.038085	-0.007426	0.003323	-0.004981	1016.969971	30.486053
34.953750	-5.983998	-53760.199219	20957.232422	-0.080260	9.955977	-0.046101	-0.003429	0.003678	-0.005531	1016.969971	30.486053
34.965000	52.019661	-53777.085937	20904.593750	-0.075549	9.956450	-0.035917	-3.915310E-5	0.003582	-0.007293	1016.969971	30.486053
34.976250	115.479507	-53803.687500	20892.417969	-0.072175	9.957032	-0.049498	-0.002457	0.003936	-0.007050	1016.969971	30.486053
34.987500	94.802658	-53795.734375	20912.025391	-0.070333	9.947347	-0.039015	0.002770	0.004154	-0.008252	1016.969971	30.486053
34.998750	39.331211	-53818.398437	20792.578125	-0.072511	9.967233	-0.043995	0.005172	0.004822	-0.008770	1016.969971	30.486053
35.010000	-55.932510	-53807.445312	20963.503906	-0.074255	9.967042	-0.044959	0.007069	0.005437	-0.009880	1016.919983	30.498163
35.021250	-18.585556	-53787.804687	20980.578125	-0.072875	9.968442	-0.044907	0.006176	0.004002	-0.010291	1016.919983	30.498163
35.032500	109.797943	-53779.164062	20974.689453	-0.076097	9.976273	-0.043054	0.010770	0.005752	-0.012992	1016.919983	30.498163
35.043750	-21.787514	-53781.910156	20841.388672	-0.075011	10.034254	-0.042131	0.017739	0.007192	-0.014352	1016.919983	30.498163
35.055000	-7.588103	-53782.273437	20930.769531	-0.075390	10.030877	-0.028430	0.017571	0.007347	-0.015057	1016.919983	30.498163
35.066250	56.275452	-53767.707031	20840.566406	-0.081707	10.023590	-0.048023	0.018070	0.007234	-0.014749	1016.919983	30.498163
35.077500	47.843807	-53750.113281	20889.835937	-0.076696	10.018175	-0.050348	0.015230	0.006865	-0.014430	1016.919983	30.498163
35.088750	6.105236	-53783.070312	20891.996094	-0.070267	10.039493	-0.047419	0.014636	0.006816	-0.014082	1016.919983	30.498163
35.100000	-63.016003	-53756.941406	20902.533203	-0.064555	10.031634	-0.040781	0.013466	0.006883	-0.013171	1016.959961	30.505390
35.111250	76.585297	-53766.835937	20948.421875	-0.075386	10.019341	-0.030909	0.011141	0.006279	-0.012171	1016.959961	30.505390
35.122500	38.215469	-53768.484375	20768.800781	-0.066193	10.029598	-0.047886	0.005649	0.005990	-0.010257	1016.959961	30.505390
35.133750	-119.967400	-53771.316406	20801.113281	-0.070448	10.039892	-0.049917	0.002000	0.005884	-0.008700	1016.959961	30.505390
