time	vector.x	vector.y	vector.z	accel.x	accel.y	accel.z	gyro.x	gyro.y	gyro.z	bar	therm
60.502500	719.157776	-53264.128906	19936.689453	-0.086777	9.959482	0.198314	-0.021004	0.000247	-0.006083	1016.949951	33.428829
60.513750	823.679626	-53240.433594	20034.275391	-0.078512	9.949067	0.182629	-0.020140	0.001376	-0.006001	1016.949951	33.428829
60.525000	774.170715	-53247.175781	19870.060547	-0.087990	9.947532	0.186984	-0.018563	0.001315	-0.006749	1016.949951	33.428829
60.536250	731.471741	-53267.359375	20023.955078	-0.087266	9.957752	0.179508	-0.019340	0.001173	-0.005952	1016.949951	33.428829
60.547500	744.487061	-53251.179687	19922.939453	-0.068876	9.965074	0.181864	-0.017629	0.001659	-0.005956	1016.949951	33.428829
60.558750	728.829163	-53283.109375	19992.486328	-0.075368	9.938646	0.186848	-0.014934	0.002097	-0.006786	1016.949951	33.428829
60.570000	786.136353	-53261.757812	20022.085937	-0.087122	9.931382	0.187957	-0.014758	0.001316	-0.006642	1016.949951	33.428829
60.581250	728.021240	-53249.714844	19994.498047	-0.096927	10.009131	0.167517	-0.019232	0.001189	-0.006856	1016.949951	33.428829
60.592500	816.839905	-53253.632812	19999.416016	-0.084032	10.017541	0.198278	-0.019938	0.000549	-0.005994	1016.949951	33.428829
60.603750	672.534180	-53250.441406	19910.492187	-0.085125	10.006673	0.185431	-0.019788	0.000679	-0.005270	1016.979980	33.433712
60.615000	601.070007	-53270.812500	20022.662109	-0.071709	10.013725	0.185798	-0.021177	0.000198	-0.006427	1016.979980	33.433712
60.626250	730.550354	-53259.964844	20023.544922	-0.071883	10.016591	0.193081	-0.016878	0.001249	-0.006630	1016.979980	33.433712
60.637500	820.786194	-53234.027344	20033.441406	-0.081799	10.015772	0.176689	-0.018188	0.001261	-0.006033	1016.979980	33.433712
60.648750	768.703796	-53247.652344	19968.056641	-0.087393	10.012526	0.175056	-0.016829	0.001405	-0.005643	1016.979980	33.433712
60.660000	741.837769	-53260.152344	20035.035156	-0.089443	10.007668	0.183078	-0.014775	0.001361	-0.006252	1016.979980	33.433712
60.671250	709.384644	-53255.546875	20022.751953	-0.084474	10.015990	0.192094	-0.013856	0.002343	-0.006351	1016.979980	33.433712
60.682500	670.942871	-53264.351562	19983.671875	-0.081918	10.009448	0.176004	-0.020015	0.001056	-0.006710	1016.979980	33.433712
60.693750	734.437378	-53237.980469	20030.617187	-0.081687	10.011076	0.180352	-0.020475	0.000822	-0.006298	1016.979980	33.433712
60.705000	653.601379	-53253.714844	19942.384766	-0.075061	9.998768	0.192654	-0.022364	0.000849	-0.006161	1016.959961	33.438595
60.716250	717.373352	-53253.753906	19965.699219	-0.064873	10.011450	0.179770	-0.020591	0.000818	-0.006244	1016.959961	33.438595
60.727500	775.439453	-53251.199219	19960.683594	-0.082223	10.017835	0.182550	-0.018775	0.001837	-0.006652	1016.959961	33.438595
60.738750	740.955383	-53264.812500	20002.292969	-0.081070	10.003276	0.188845	-0.017298	0.001002	-0.007106	1016.959961	33.438595
60.750000	672.042175	-53275.476562	19980.380859	-0.072531	10.002851	0.197782	-0.018888	0.000999	-0.006076	1016.959961	33.438595
60.761250	723.116516	-53252.710937	19889.796875	-0.068508	10.012221	0.175922	-0.015417	0.002595	-0.005248	1016.959961	33.438595
60.772500	691.932983	-53272.546875	20002.419922	-0.080647	10.005547	0.196475	-0.015065	0.002665	-0.005428	1016.959961	33.438595
60.783750	708.944885	-53276.921875	19942.214844	-0.074534	9.954939	0.194204	-0.018881	0.000977	-0.007023	1016.959961	33.438595
60.795000	816.330078	-53272.554687	19983.449219	-0.075114	9.948013	0.181353	-0.021797	0.000324	-0.006784	1016.959961	33.438595
60.806250	766.167847	-53269.289062	19898.541016	-0.081114	9.947744	0.182416	-0.021635	0.000500	-0.006634	1016.949951	33.445820
60.817500	757.288757	-53259.796875	20045.693359	-0.087874	9.931542	0.183941	-0.021810	0.000687	-0.006562	1016.949951	33.445820
60.828750	786.381653	-53245.226562	19999.535156	-0.086196	9.953876	0.188956	-0.020820	0.000892	-0.005585	1016.949951	33.445820
60.840000	769.468445	-53262.898437	20042.410156	-0.079392	9.937366	0.194917	-0.018881	0.000915	-0.005346	1016.949951	33.445820
60.851250	721.588623	-53263.718750	19935.351562	-0.077525	9.946111	0.196690	-0.016497	0.001850	-0.004906	1016.949951	33.445820
60.862500	827.534485	-53257.160156	20032.759766	-0.082950	9.949898	0.179309	-0.015902	0.001602	-0.004400	1016.949951	33.445820
60.873750	806.644470	-53263.707031	19949.324219	-0.068820	9.951654	0.184865	-0.015734	0.001842	-0.004617	1016.949951	33.445820
60.885000	804.050598	-53253.101562	19983.244141	-0.064050	9.940225	0.183415	-0.021536	0.000311	-0.005735	1016.949951	33.445820
60.896250	764.484802	-53240.429687	19900.814453	-0.070314	9.943233	0.187214	-0.022456	-0.000202	-0.006197	1016.949951	33.445820
60.907500	749.469666	-53244.617187	19860.140625	-0.079432	9.936027	0.181322	-0.021128	0.001021	-0.006549	1016.969971	33.450703
60.918750	614.492249	-53241.089844	19927.066406	-0.070929	9.946670	0.177851	-0.020034	0.001151	-0.006092	1016.969971	33.450703
60.930000	816.439392	-53277.671875	19888.105469	-0.077223	9.943539	0.191883	-0.019289	0.000828	-0.006388	1016.969971	33.450703
60.941250	877.267273	-53261.582031	20018.271484	-0.084170	9.943927	0.175849	-0.019989	0.001198	-0.006131	1016.969971	33.450703
60.952500	706.787231	-53287.730469	19944.865234	-0.086438	9.942058	0.177004	-0.017430	0.001514	-0.006103	1016.969971	33.450703
60.963750	776.871582	-53271.281250	19981.015625	-0.085299	9.949621	0.186013	-0.016444	0.002591	-0.005110	1016.969971	33.450703
60.975000	689.488220	-53295.828125	19859.162109	-0.079316	9.947093	0.169809	-0.014577	0.001755	-0.005511	1016.969971	33.450703
60.986250	813.181946	-53300.574219	20036.310547	-0.074005	9.995382	0.181760	-0.020076	0.001170	-0.006960	1016.969971	33.450703
60.997500	850.597961	-53272.539062	19904.103516	-0.070825	10.011838	0.194302	-0.021893	0.000399	-0.006015	1016.969971	33.450703
61.008750	725.546936	-53264.070312	19968.277344	-0.076035	10.035622	0.191759	-0.020186	0.001088	-0.005898	1016.979980	33.455585
61.020000	773.986511	-53288.312500	19970.251953	-0.083256	10.017938	0.181863	-0.020985	0.001621	-0.006136	1016.979980	33.455585
61.031250	830.072571	-53271.636719	20037.933594	-0.081613	10.014482	0.174565	-0.019236	0.001484	-0.006154	1016.979980	33.455585
61.042500	752.666992	-53266.941406	19998.021484	-0.079609	9.999160	0.183073	-0.017209	0.001601	-0.006422	1016.979980	33.455585
61.053750	715.106812	-53245.828125	19851.470703	-0.071210	10.008164	0.176845	-0.016887	0.001657	-0.005964	1016.979980	33.455585
61.065000	722.984375	-53319.453125	19952.867187	-0.084387	10.001533	0.182867	-0.016718	0.001922	-0.005701	1016.979980	33.455585
61.076250	665.602051	-53272.304687	19932.833984	-0.087692	10.010856	0.169642	-0.015236	0.002193	-0.004910	1016.979980	33.455585
61.087500	840.336731	-53228.738281	19926.968750	-0.076739	9.995793	0.185894	-0.021330	0.000601	-0.006821	1016.979980	33.455585
61.098750	858.894470	-53205.636719	19900.238281	-0.075204	10.024616	0.194360	-0.021525	0.000416	-0.006285	1016.979980	33.455585
61.110000	693.499084	-53220.695312	20056.550781	-0.088907	10.007557	0.187682	-0.022135	0.000296	-0.006743	1016.959961	33.465351
61.121250	721.622009	-53246.367187	20102.035156	-0.078806	10.000993	0.186987	-0.020829	0.000941	-0.005275	1016.959961	33.465351
61.132500	660.691162	-53232.695312	20164.138672	-0.097615	9.999497	0.177666	-0.020845	0.001555	-0.005382	1016.959961	33.465351
61.143750	688.878052	-53248.246094	19949.267578	-0.082683	10.013234	0.190014	-0.018787	0.001607	-0.005433	1016.959961	33.465351
61.155000	741.572571	-53247.675781	19984.167969	-0.086182	10.002598	0.187100	-0.019564	0.001394	-0.006146	1016.959961	33.465351
61.166250	823.492920	-53259.304687	20041.066406	-0.074568	10.003364	0.197507	-0.016565	0.002030	-0.006088	1016.959961	33.465351
61.177500	890.731445	-53272.281250	19949.736328	-0.088136	9.998596	0.186469	-0.016117	0.002448	-0.006600	1016.959961	33.465351
61.188750	793.956360	-53263.437500	20008.656250	-0.086336	9.953752	0.190285	-0.021191	0.000764	-0.006631	1016.959961	33.465351
61.200000	786.674255	-53258.085937	20098.796875	-0.084118	9.942070	0.181001	-0.022084	0.000494	-0.006682	1016.949951	33.470234
61.211250	832.808289	-53274.855469	20076.750000	-0.086976	9.947019	0.191904	-0.021718	0.000911	-0.005928	1016.949951	33.470234
61.222500	821.840576	-53282.035156	19975.519531	-0.084639	9.944408	0.188138	-0.021666	0.000153	-0.006305	1016.949951	33.470234
61.233750	827.117249	-53271.011719	19984.134766	-0.079824	9.941348	0.188220	-0.020452	0.001470	-0.006555	1016.949951	33.470234
61.245000	740.068359	-53246.429687	19849.587891	-0.090623	9.936994	0.182127	-0.018687	0.001553	-0.005692	1016.949951	33.470234
61.256250	827.840027	-53204.355469	19937.500000	-0.078244	9.951738	0.190790	-0.018887	0.001669	-0.006555	1016.949951	33.470234
61.267500	822.240295	-53227.140625	19944.875000	-0.078246	9.942598	0.178839	-0.017553	0.001742	-0.006676	1016.949951	33.470234
