time	vector.x	vector.y	vector.z	accel.x	accel.y	accel.z	gyro.x	gyro.y	gyro.z	bar	therm
1112.197500	-4627.769531	-46436.835937	23693.169922	0.885603	9.885263	-0.588868	0.057313	0.011713	-0.017851	1016.659973	46.114372
1112.208750	-4598.855469	-46419.417969	23671.931641	0.883684	9.886986	-0.586789	0.023619	0.007155	-0.009998	1016.669983	46.116913
1112.220000	-4684.749512	-46403.035156	23681.939453	0.892915	9.891493	-0.590178	-0.014860	0.003614	-0.000192	1016.669983	46.116913
1112.231250	-4716.124023	-46428.441406	23556.447266	0.864858	9.877856	-0.596715	-0.031454	0.000231	0.004360	1016.669983	46.116913
1112.242500	-4510.364746	-46434.785156	23707.958984	0.872148	9.884793	-0.594917	-0.030438	-0.000134	0.004157	1016.669983	46.116913
1112.253750	-4499.475098	-46435.410156	23721.519531	0.899216	9.883609	-0.593946	0.003565	0.004675	-0.006647	1016.669983	46.116913
1112.265000	-4794.897461	-46432.894531	23652.621094	0.899907	9.900295	-0.593341	0.043636	0.009568	-0.019979	1016.669983	46.116913
1112.276250	-4685.461914	-46426.042969	23522.283203	0.870936	9.879375	-0.582787	0.069938	0.013385	-0.026888	1016.669983	46.116913
1112.287500	-4583.460937	-46415.843750	23654.611328	0.869230	9.871214	-0.589661	0.064293	0.012774	-0.019481	1016.669983	46.116913
1112.298750	-4647.431152	-46500.082031	23629.300781	0.881309	9.872570	-0.593391	0.035765	0.009578	-0.010516	1016.669983	46.116913
1112.310000	-4588.829102	-46465.382812	23713.615234	0.886158	9.881573	-0.589882	-0.005781	0.004397	-0.001940	1016.659973	46.119255
1112.321250	-4537.948242	-46442.769531	23565.914062	0.896141	9.886415	-0.604532	-0.025716	0.000276	0.001429	1016.659973	46.119255
1112.332500	-4683.362793	-46427.640625	23583.466797	0.884464	9.890108	-0.596269	-0.032075	-0.000351	0.004000	1016.659973	46.119255
1112.343750	-4644.000977	-46429.453125	23607.951172	0.887245	9.867847	-0.586775	-0.005196	0.002875	-0.003633	1016.659973	46.119255
1112.355000	-4577.183594	-46451.394531	23687.296875	0.882542	9.873159	-0.589413	0.039176	0.009279	-0.016812	1016.659973	46.119255
1112.366250	-4637.641602	-46423.851562	23753.312500	0.895201	9.892323	-0.589833	0.063661	0.012296	-0.025159	1016.659973	46.119255
1112.377500	-4622.409180	-46445.792969	23700.339844	0.898877	9.897201	-0.585648	0.068174	0.012703	-0.022246	1016.659973	46.119255
1112.388750	-4608.592773	-46444.265625	23638.093750	0.885867	9.886000	-0.595695	0.045479	0.009865	-0.015210	1016.659973	46.119255
1112.400000	-4597.594727	-46484.792969	23590.261719	0.871791	9.878359	-0.593737	0.001212	0.003761	-0.003336	1016.659973	46.119255
1112.411250	-4584.423340	-46444.167969	23600.267578	0.886758	9.886700	-0.590621	-0.027870	0.001729	0.003737	1016.659973	46.119255
1112.422500	-4687.278809	-46428.445312	23780.531250	0.904241	9.879453	-0.577074	-0.035616	-0.000744	0.005696	1016.659973	46.119255
1112.433750	-4660.223633	-46420.144531	23717.242187	0.895957	9.885461	-0.589327	-0.008372	0.002743	-0.003409	1016.659973	46.119255
1112.445000	-4778.904297	-46441.523437	23639.972656	0.869866	9.881165	-0.612101	0.028927	0.007677	-0.015885	1016.659973	46.119255
1112.456250	-4721.679687	-46433.394531	23730.039062	0.873364	9.876228	-0.603801	0.057825	0.012319	-0.023061	1016.659973	46.119255
1112.467500	-4670.816406	-46423.890625	23560.951172	0.886938	9.872512	-0.578017	0.068272	0.012860	-0.021664	1016.659973	46.119255
1112.478750	-4745.701172	-46438.742187	23736.681641	0.897302	9.885857	-0.578346	0.048781	0.010865	-0.014999	1016.659973	46.119255
1112.490000	-4744.972656	-46433.703125	23647.472656	0.909402	9.892890	-0.598647	0.011972	0.005601	-0.006980	1016.659973	46.119255
1112.501250	-4667.281738	-46434.480469	23785.503906	0.886890	9.880280	-0.596924	-0.020338	0.002021	-0.000716	1016.659973	46.119255
1112.512500	-4696.451660	-46471.136719	23689.755859	0.877414	9.865336	-0.578658	-0.033340	0.000186	0.003628	1016.659973	46.119255
1112.523750	-4617.858398	-46432.300781	23628.669922	0.886791	9.883060	-0.588628	-0.017275	0.001555	-0.001037	1016.659973	46.119255
1112.535000	-4635.205566	-46443.304687	23623.744141	0.899539	9.879439	-0.592962	0.020977	0.005975	-0.012761	1016.659973	46.119255
1112.546250	-4661.753418	-46433.246094	23582.410156	0.896107	9.883259	-0.609556	0.054462	0.010397	-0.022523	1016.659973	46.119255
1112.557500	-4701.498535	-46430.175781	23613.968750	0.870225	9.882997	-0.598418	0.067447	0.013002	-0.023858	1016.659973	46.119255
1112.568750	-4670.435059	-46444.902344	23692.150391	0.866444	9.876320	-0.582197	0.053601	0.011451	-0.016149	1016.659973	46.119255
1112.580000	-4652.010254	-46432.046875	23717.683594	0.873601	9.876718	-0.599762	0.017055	0.006602	-0.006860	1016.659973	46.119255
1112.591250	-4673.773437	-46450.070312	23534.855469	0.891582	9.883421	-0.612719	-0.018064	0.002512	-0.000168	1016.659973	46.119255
1112.602500	-4584.361816	-46449.078125	23699.777344	0.890773	9.889504	-0.605474	-0.033975	-0.000697	0.004231	1016.679993	46.119255
1112.613750	-4628.965332	-46436.074219	23639.412109	0.883892	9.897040	-0.592554	-0.020669	0.001006	-0.000679	1016.679993	46.119255
1112.625000	-4692.854004	-46412.449219	23694.916016	0.881693	9.883087	-0.599998	0.013046	0.005382	-0.010737	1016.679993	46.119255
1112.636250	-4525.521484	-46446.675781	23636.798828	0.881983	9.871087	-0.606368	0.050136	0.010558	-0.020757	1016.679993	46.119255
1112.647500	-4639.984863	-46439.851562	23674.921875	0.890020	9.880527	-0.593727	0.068148	0.013189	-0.025295	1016.679993	46.119255
1112.658750	-4698.385254	-46465.792969	23678.501953	0.880004	9.891009	-0.593252	0.061309	0.011126	-0.020057	1016.679993	46.119255
1112.670000	-4776.661133	-46422.089844	23643.927734	0.877687	9.870816	-0.604459	0.024310	0.007914	-0.008511	1016.679993	46.119255
1112.681250	-4617.366211	-46447.292969	23615.259766	0.866706	9.870447	-0.598105	-0.010378	0.002161	-0.000242	1016.679993	46.119255
1112.692500	-4661.459961	-46438.976562	23598.013672	0.899515	9.889567	-0.595591	-0.037205	3.346547E-5	0.007250	1016.679993	46.119255
