time	vector.x	vector.y	vector.z	accel.x	accel.y	accel.z	gyro.x	gyro.y	gyro.z	bar	therm
92.868750	1345.682007	-50598.148437	20468.000000	-0.092705	9.971870	-0.123457	0.005412	0.005289	-0.004841	1017.349976	38.340157
92.880000	1368.970947	-50639.238281	20482.128906	-0.089248	9.966187	-0.130786	-0.010080	0.003082	-0.002613	1017.349976	38.340157
92.891250	1339.295166	-50609.871094	20430.097656	-0.090955	9.970287	-0.128387	-0.023578	0.001800	-0.000384	1017.349976	38.340157
92.902500	1347.627686	-50651.078125	20481.160156	-0.093699	9.961985	-0.132886	-0.031730	0.000641	0.004174	1017.349976	38.340157
92.913750	1237.066284	-50640.261719	20500.656250	-0.101902	9.959031	-0.123834	-0.037459	-0.000448	0.004506	1017.349976	38.340157
92.925000	1223.554321	-50638.222656	20630.025391	-0.099933	9.958772	-0.131039	-0.038164	-0.000582	0.003123	1017.349976	38.340157
92.936250	1266.037842	-50682.535156	20644.335937	-0.086968	9.973985	-0.138729	-0.033900	-0.000337	0.000995	1017.349976	38.340157
92.947500	1232.656128	-50600.253906	20460.904297	-0.093030	9.965884	-0.131568	-0.024552	-3.708739E-5	-0.000958	1017.349976	38.340157
92.958750	1193.266602	-50672.339844	20471.210937	-0.086203	9.965948	-0.137818	-0.014506	0.001255	-0.003484	1017.349976	38.340157
92.970000	1243.697998	-50643.078125	20487.230469	-0.082415	9.972745	-0.132895	-0.003314	0.003231	-0.007048	1017.349976	38.340157
92.981250	1164.040649	-50653.632812	20547.554687	-0.090057	9.967657	-0.135189	0.010938	0.004183	-0.010332	1017.349976	38.340157
92.992500	1257.868408	-50621.851562	20490.521484	-0.088666	9.965491	-0.141857	0.024379	0.006951	-0.017065	1017.349976	38.340157
93.003750	1273.918579	-50653.312500	20478.625000	-0.089806	9.971461	-0.134957	0.042564	0.008575	-0.022908	1017.349976	38.349922
93.015000	1364.187866	-50649.078125	20605.072266	-0.099456	9.967481	-0.116109	0.053783	0.009622	-0.025151	1017.349976	38.349922
93.026250	1255.637817	-50592.785156	20469.212891	-0.102582	9.963110	-0.130810	0.061470	0.011715	-0.027255	1017.349976	38.349922
93.037500	1290.099976	-50650.679687	20493.722656	-0.094849	9.955910	-0.134711	0.069662	0.013974	-0.029084	1017.349976	38.349922
93.048750	1288.827026	-50566.906250	20474.107422	-0.096132	9.962509	-0.136923	0.067201	0.013439	-0.027038	1017.349976	38.349922
93.060000	1209.743896	-50670.195312	20456.935547	-0.104062	9.967031	-0.120469	0.064846	0.013019	-0.023331	1017.349976	38.349922
93.071250	1318.702881	-50599.804687	20537.332031	-0.096804	9.975459	-0.127552	0.056138	0.011218	-0.020933	1017.349976	38.349922
93.082500	1312.941406	-50628.210937	20575.277344	-0.084740	9.962024	-0.130079	0.048295	0.010868	-0.018142	1017.349976	38.349922
93.093750	1333.828491	-50657.144531	20490.011719	-0.083566	9.971697	-0.132430	0.038151	0.009552	-0.014337	1017.349976	38.349922
93.105000	1323.544922	-50608.046875	20527.357422	-0.082534	9.974413	-0.144852	0.026970	0.008385	-0.009697	1017.359985	38.349922
93.116250	1255.038696	-50621.058594	20643.351562	-0.084056	9.961382	-0.129659	0.008651	0.006015	-0.006118	1017.359985	38.349922
93.127500	1424.996826	-50578.906250	20631.470703	-0.071494	9.968233	-0.120126	-0.007698	0.004764	-0.003137	1017.359985	38.349922
93.138750	1263.243774	-50636.835937	20529.035156	-0.082161	9.973619	-0.120765	-0.018000	0.002903	-0.001812	1017.359985	38.349922
93.150000	1299.803345	-50600.191406	20511.646484	-0.077737	9.966252	-0.126627	-0.030018	0.001022	0.001291	1017.359985	38.349922
93.161250	1346.312012	-50655.039062	20653.130859	-0.075805	9.969619	-0.128596	-0.031177	0.000123	0.000310	1017.359985	38.349922
93.172500	1351.402588	-50630.007812	20681.429687	-0.092763	9.971468	-0.136045	-0.034485	0.000324	0.002782	1017.359985	38.349922
93.183750	1406.843018	-50614.515625	20713.621094	-0.090338	9.961874	-0.142291	-0.033197	-0.001117	0.002167	1017.359985	38.349922
