time	vector.x	vector.y	vector.z	accel.x	accel.y	accel.z	gyro.x	gyro.y	gyro.z	bar	therm
119.576250	1552.689697	-48683.140625	23112.730469	0.044656	9.985510	-0.378401	0.023547	0.006620	-0.017692	1016.899963	37.991718
119.587500	1420.429077	-48634.121094	23031.025391	0.044601	10.002104	-0.387615	0.034284	0.008283	-0.020288	1016.899963	37.991718
119.598750	1498.616577	-48656.605469	23083.648437	0.045348	10.000594	-0.394305	0.042224	0.010777	-0.022310	1016.899963	37.991718
119.610000	1364.152710	-48660.574219	23042.324219	0.058348	9.969179	-0.382257	0.042204	0.009589	-0.021991	1016.899963	37.996601
119.621250	1483.161377	-48633.835937	23060.871094	0.060803	9.946643	-0.386383	0.043864	0.010441	-0.019348	1016.899963	37.996601
119.632500	1443.692139	-48682.640625	23027.361328	0.056240	9.952360	-0.388062	0.050334	0.011566	-0.020169	1016.899963	37.996601
119.643750	1427.149536	-48657.433594	23136.144531	0.063297	9.953562	-0.372035	0.047052	0.010760	-0.017057	1016.899963	37.996601
119.655000	1363.997559	-48670.929687	23048.207031	0.058713	9.955096	-0.384353	0.046800	0.010661	-0.015057	1016.899963	37.996601
119.666250	1494.600952	-48632.542969	23074.945312	0.052293	9.937194	-0.373169	0.039496	0.009333	-0.013307	1016.899963	37.996601
119.677500	1504.318359	-48670.386719	23106.986328	0.058552	9.947543	-0.389643	0.031174	0.008175	-0.010182	1016.899963	37.996601
119.688750	1497.552856	-48661.910156	23048.111328	0.056815	9.945598	-0.391865	0.019844	0.006458	-0.008052	1016.899963	37.996601
119.700000	1307.658569	-48654.312500	23030.732422	0.060028	9.953741	-0.387996	0.012832	0.006175	-0.005573	1016.889954	37.994061
119.711250	1474.769409	-48661.625000	23147.910156	0.042646	9.931104	-0.405869	0.005041	0.006704	-0.003823	1016.889954	37.994061
119.722500	1459.530640	-48660.464844	22986.509766	0.060260	9.956151	-0.387897	-0.007244	0.004183	-0.001780	1016.889954	37.994061
119.733750	1573.439575	-48690.699219	23084.828125	0.058186	9.942021	-0.399480	-0.014839	0.002407	-0.001287	1016.889954	37.994061
