time	vector.x	vector.y	vector.z	accel.x	accel.y	accel.z	gyro.x	gyro.y	gyro.z	bar	therm
175.353750	2374.852295	-42010.316406	29565.845703	-0.076132	9.968388	-0.056011	-0.027475	0.001958	0.003600	1023.429993	41.972576
175.365000	2380.717773	-41969.625000	29489.490234	-0.080264	9.959010	-0.050189	-0.038125	-0.000464	0.005549	1023.429993	41.972576
175.376250	2394.875732	-42003.691406	29387.117187	-0.081761	9.958827	-0.049989	-0.030192	-0.000743	0.002563	1023.429993	41.972576
175.387500	2200.143555	-41997.613281	29460.226562	-0.077586	9.959422	-0.048803	-0.016977	0.002183	-0.004231	1023.429993	41.972576
175.398750	2311.422852	-41970.914062	29403.744141	-0.078577	9.975551	-0.053993	0.011272	0.005271	-0.013232	1023.429993	41.972576
175.410000	2248.705811	-41944.273437	29502.761719	-0.076608	9.975136	-0.049149	0.036687	0.008909	-0.020566	1023.440002	41.975117
175.421250	2225.770020	-41951.535156	29553.722656	-0.071929	9.975805	-0.048267	0.055951	0.011168	-0.022770	1023.440002	41.975117
175.432500	2339.515625	-41947.050781	29519.318359	-0.065298	9.967065	-0.055190	0.063855	0.012438	-0.021547	1023.440002	41.975117
175.443750	2235.993896	-41980.429687	29493.259766	-0.070862	9.970391	-0.058760	0.070989	0.012865	-0.023120	1023.440002	41.975117
175.455000	2403.135742	-41981.054687	29442.833984	-0.073835	9.962111	-0.055130	0.062313	0.012726	-0.019254	1023.440002	41.975117
175.466250	2304.597900	-41988.082031	29446.041016	-0.072243	9.963793	-0.041851	0.038975	0.009899	-0.014779	1023.440002	41.975117
175.477500	2407.666016	-41996.210937	29468.689453	-0.073891	9.961729	-0.035603	0.009642	0.006677	-0.008050	1023.440002	41.975117
175.488750	2471.342285	-41996.042969	29478.291016	-0.065076	9.961369	-0.038011	-0.016305	0.002568	-0.000789	1023.440002	41.975117
175.500000	2377.837402	-42006.277344	29449.388672	-0.072980	9.959019	-0.040147	-0.030772	0.001205	0.005494	1023.440002	41.977459
175.511250	2247.945068	-41978.796875	29511.400391	-0.067318	9.956846	-0.051295	-0.032245	-7.999046E-6	0.005180	1023.440002	41.977459
