time	vector.x	vector.y	vector.z	accel.x	accel.y	accel.z	gyro.x	gyro.y	gyro.z	bar	therm
74.261250	-493.472046	-54256.238281	2927.561768	-0.002986	9.996272	-0.065068	0.047891	0.028666	-0.023125	1023.369995	39.928631
74.272500	-490.114410	-54261.527344	2949.374023	-0.000322	9.995282	-0.040006	0.060639	0.032501	-0.024586	1023.369995	39.928631
74.283750	-474.796967	-54282.089844	3083.371582	-0.004466	9.995154	-0.038158	0.064035	0.034402	-0.021666	1023.369995	39.928631
74.295000	-333.788177	-54276.988281	3088.133789	-0.010152	9.965059	-0.044401	0.069941	0.035210	-0.021172	1023.369995	39.928631
74.306250	-434.203583	-54246.187500	3016.893066	-0.012121	9.989722	-0.037420	0.061324	0.034167	-0.015518	1023.369995	39.928631
74.317500	-580.012207	-54250.515625	2942.847168	-0.012702	9.962516	-0.056837	0.047826	0.033104	-0.012452	1023.369995	39.928631
74.328750	-580.630310	-54251.429687	2926.135498	0.007388	9.972500	-0.054788	0.027438	0.033567	-0.011157	1023.369995	39.928631
74.340000	-488.488647	-54270.457031	3198.853760	-0.013872	9.954206	-0.031031	0.012163	0.032124	-0.006188	1023.369995	39.928631
74.351250	-493.127655	-54246.906250	3092.768311	-0.000298	9.971352	-0.028391	0.000278	0.027664	-0.001331	1023.369995	39.928631
74.362500	-568.902954	-54243.617187	2989.275146	0.019839	9.931296	-0.050810	-0.019761	0.022557	0.004820	1023.369995	39.928631
74.373750	-624.661743	-54234.691406	2953.561279	0.036987	9.949049	-0.042381	-0.032187	0.016500	0.004532	1023.369995	39.928631
74.385000	-488.216949	-54283.531250	3044.389160	0.022173	9.953938	-0.043240	-0.040464	0.009725	0.004958	1023.369995	39.928631
74.396250	-420.398529	-54321.113281	3050.284180	0.004446	9.972095	-0.036938	-0.030364	0.007670	0.001480	1023.369995	39.928631
74.407500	-530.747131	-54218.597656	3102.268799	-0.006689	9.982578	-0.032331	-0.022063	0.004680	-0.000977	1023.359985	39.933514
74.418750	-531.232483	-54267.824219	3065.829102	-0.003508	9.998805	-0.023888	-0.007766	0.004645	-0.006439	1023.359985	39.933514
74.430000	-666.741760	-54260.382812	3031.837402	-0.003701	9.988550	-0.043666	0.011804	0.006012	-0.014165	1023.359985	39.933514
74.441250	-551.441833	-54270.945312	3089.514648	0.001059	9.973235	-0.040454	0.029144	0.007933	-0.019682	1023.359985	39.933514
74.452500	-470.757904	-54254.718750	2988.740723	0.004227	9.978794	-0.051037	0.047139	0.010354	-0.022848	1023.359985	39.933514
74.463750	-503.264648	-54225.601562	3089.327637	0.000298	9.954398	-0.050491	0.057320	0.012086	-0.025100	1023.359985	39.933514
74.475000	-510.825287	-54251.296875	3085.804443	-0.003637	9.961602	-0.045291	0.066583	0.013831	-0.027740	1023.359985	39.933514
74.486250	-437.875977	-54219.148437	2969.657227	0.001299	9.954031	-0.051007	0.066643	0.013027	-0.027428	1023.359985	39.933514
74.497500	-478.073822	-54262.332031	3026.882812	-0.001019	9.961423	-0.044103	0.061205	0.013225	-0.026378	1023.359985	39.933514
74.508750	-422.261017	-54216.593750	3059.463623	-0.016595	9.967903	-0.043736	0.049078	0.012361	-0.024220	1023.359985	39.940742
74.520000	-513.486267	-54287.246094	3097.539795	-0.014160	9.960828	-0.043061	0.030709	0.010237	-0.018733	1023.359985	39.940742
74.531250	-471.185974	-54263.648437	3048.034668	0.003049	9.977019	-0.038078	0.012071	0.008008	-0.015368	1023.359985	39.940742
74.542500	-618.091431	-54241.589844	2977.074951	-0.052667	10.094211	0.062486	-0.000520	0.003235	-0.002116	1023.359985	39.940742
74.553750	-660.000671	-54246.703125	3051.703369	0.013894	9.813073	-0.076488	-0.005693	0.002775	0.011809	1023.359985	39.940742
74.565000	-464.833740	-54228.480469	3147.524170	0.051405	9.980509	-0.061812	-0.033585	0.000142	0.000953	1023.359985	39.940742
74.576250	-532.619080	-54244.488281	3117.391113	-0.053034	9.943916	-0.023780	-0.040747	-0.001580	0.000939	1023.359985	39.940742
74.587500	-466.002502	-54229.101562	3074.619385	-0.014829	9.992245	-0.000765	-0.031135	-0.001877	0.005686	1023.359985	39.940742
74.598750	-463.226044	-54260.285156	3034.196289	-0.007736	9.988224	-0.044172	-0.030259	-0.000726	0.006116	1023.359985	39.940742
74.610000	-469.774170	-54259.320312	3074.685791	0.061209	9.940358	-0.046125	-0.019465	0.000241	-0.008537	1023.359985	39.943279
74.621250	-427.270325	-54258.109375	3036.200195	-0.044367	10.060426	-0.018503	-0.000754	0.003280	-0.016108	1023.359985	39.943279
74.632500	-456.994934	-54259.292969	2974.281494	-0.020216	9.950426	-0.017898	0.023761	0.005596	-0.014714	1023.359985	39.943279
74.643750	-621.223206	-54233.875000	2968.122803	0.002819	10.012609	-0.056940	0.043715	0.008145	-0.024167	1023.359985	39.943279
74.655000	-599.584106	-54229.050781	3105.507812	-0.019491	9.955750	-0.045532	0.059538	0.010157	-0.026077	1023.359985	39.943279
74.666250	-496.706635	-54212.046875	3031.149170	-0.021097	9.983001	-0.030776	0.069895	0.012023	-0.025249	1023.359985	39.943279
74.677500	-392.488068	-54242.246094	2893.391357	-0.007032	9.958312	-0.043917	0.071799	0.011317	-0.024403	1023.359985	39.943279
74.688750	-561.424377	-54223.921875	3138.220459	-0.013847	9.955649	-0.025893	0.064737	0.010306	-0.022880	1023.359985	39.943279
74.700000	-616.735291	-54243.570312	3085.788574	-0.014118	9.963106	-0.044688	0.054565	0.009733	-0.020656	1023.339966	39.948162
74.711250	-517.819763	-54228.898437	2970.847900	-0.005803	9.966248	-0.048760	0.037096	0.007781	-0.016582	1023.339966	39.948162
74.722500	-378.863586	-54227.238281	3025.716064	-0.027551	9.984428	-0.042915	0.021697	0.006365	-0.011125	1023.339966	39.948162
74.733750	-446.630280	-54232.238281	3078.816895	0.002735	9.960066	-0.053147	0.001583	0.003992	-0.007401	1023.339966	39.948162
