time	vector.x	vector.y	vector.z	accel.x	accel.y	accel.z	gyro.x	gyro.y	gyro.z	bar	therm
280.361250	-1549.869141	-70771.132812	25032.039062	-0.231252	9.914142	-0.236379	0.035919	0.012119	-0.016853	1022.259949	42.715740
280.372500	-1584.551392	-70790.679687	25065.572266	-0.177761	9.994785	-0.223512	-0.000603	0.007453	-0.011564	1022.259949	42.715740
280.383750	-1503.420654	-70785.656250	24922.181641	-0.201819	9.940315	-0.212670	-0.033758	0.005544	-0.005397	1022.259949	42.715740
280.395000	-1507.674194	-70790.679687	24972.783203	-0.291726	10.086542	-0.206157	-0.042125	0.001293	0.004782	1022.259949	42.715740
280.406250	-1397.775146	-70811.765625	24953.529297	-0.207492	9.942771	-0.285941	-0.038601	-0.001444	0.002947	1022.259949	42.715740
280.417500	-1539.533325	-70794.593750	24828.269531	-0.265146	9.915350	-0.282357	-0.036418	-0.000108	-0.005549	1022.259949	42.715740
280.428750	-1536.500732	-70801.781250	24901.603516	-0.249928	9.910023	-0.218464	-0.014622	0.002112	-0.013253	1022.259949	42.715740
280.440000	-1656.060059	-70831.953125	24912.277344	-0.286121	9.948289	-0.220505	0.021343	0.006366	-0.020897	1022.259949	42.715740
280.451250	-1568.874634	-70839.937500	25036.730469	-0.245359	9.972005	-0.232958	0.044773	0.009502	-0.022675	1022.259949	42.715740
280.462500	-1492.224854	-70832.585937	24953.523437	-0.221700	9.959943	-0.226174	0.067238	0.011756	-0.027286	1022.259949	42.715740
280.473750	-1309.874634	-70852.898437	24969.787109	-0.233215	10.002910	-0.243127	0.067924	0.012381	-0.027342	1022.259949	42.715740
280.485000	-1456.310059	-70911.164062	24962.031250	-0.234119	9.975212	-0.238644	0.055229	0.009958	-0.024691	1022.259949	42.715740
280.496250	-1439.727661	-70911.171875	25043.734375	-0.248244	10.022009	-0.224019	0.025448	0.007523	-0.015921	1022.259949	42.715740
280.507500	-1468.676025	-70939.046875	24950.441406	-0.252153	9.966045	-0.235912	0.002232	0.004403	-0.005257	1022.279968	42.715740
280.518750	-1409.749878	-70921.328125	24917.750000	-0.227968	9.968608	-0.225548	-0.020124	0.001353	0.001632	1022.279968	42.715740
280.530000	-1355.311768	-70943.257812	25004.873047	-0.232425	9.968844	-0.234056	-0.035234	-0.002104	0.004278	1022.279968	42.715740
280.541250	-1458.319946	-70912.500000	25063.839844	-0.240046	9.966454	-0.234675	-0.034980	-0.001763	-3.244580E-5	1022.279968	42.715740
280.552500	-1526.114624	-70903.328125	25022.996094	-0.232745	9.941729	-0.221135	-0.016633	0.000145	-0.006415	1022.279968	42.715740
280.563750	-1444.870728	-70885.429687	24965.033203	-0.236943	9.955861	-0.166564	0.004844	0.003942	-0.012894	1022.279968	42.715740
280.575000	-1427.654419	-70887.546875	24832.925781	-0.243876	9.948718	-0.252838	0.033094	0.007267	-0.021485	1022.279968	42.715740
280.586250	-1361.662231	-70871.296875	24857.162109	-0.243040	9.951888	-0.243590	0.052961	0.009311	-0.026835	1022.279968	42.715740
280.597500	-1449.331299	-70866.851562	24870.677734	-0.242083	9.988830	-0.234567	0.071015	0.011604	-0.029896	1022.279968	42.715740
280.608750	-1391.465454	-70850.257812	24986.755859	-0.245307	9.963269	-0.249897	0.064143	0.011370	-0.025983	1022.259949	42.718086
280.620000	-1347.780640	-70833.015625	25021.083984	-0.246754	9.999749	-0.236957	0.043350	0.009380	-0.020743	1022.259949	42.718086
280.631250	-1526.222046	-70827.617187	24908.978516	-0.232903	9.972610	-0.223557	0.025284	0.005838	-0.016501	1022.259949	42.718086
280.642500	-1344.522339	-70803.976562	24850.228516	-0.254322	9.939985	-0.232686	-0.010854	0.001954	-0.001952	1022.259949	42.718086
280.653750	-1487.040161	-70787.851562	24983.197266	-0.225242	9.998689	-0.204153	-0.023743	-0.000715	0.002786	1022.259949	42.718086
280.665000	-1434.996826	-70811.750000	24946.773437	-0.268285	9.899708	-0.244417	-0.042316	-0.001984	0.007227	1022.259949	42.718086
280.676250	-1448.985229	-70851.984375	24924.121094	-0.219153	10.028116	-0.185569	-0.032390	-0.001474	0.000959	1022.259949	42.718086
280.687500	-1332.000732	-70832.578125	25077.994141	-0.264805	9.907819	-0.246151	-0.012820	0.001755	-0.005426	1022.259949	42.718086
280.698750	-1295.753174	-70873.320312	25156.265625	-0.229455	9.977657	-0.222558	0.019550	0.005813	-0.016553	1022.259949	42.718086
280.710000	-1449.876709	-70894.695312	24850.773437	-0.247025	9.946637	-0.221591	0.049743	0.009569	-0.023167	1022.259949	42.720623
280.721250	-1310.789917	-70879.546875	24954.744141	-0.239586	9.987535	-0.237286	0.064405	0.011073	-0.023896	1022.259949	42.720623
280.732500	-1515.992554	-70912.031250	25056.181641	-0.227533	9.965723	-0.212947	0.077102	0.013183	-0.027215	1022.259949	42.720623
280.743750	-1368.489502	-70882.156250	24995.382812	-0.271483	9.974622	-0.233160	0.063768	0.011630	-0.025509	1022.259949	42.720623
280.755000	-1334.757690	-70864.617187	25105.923828	-0.233370	9.942091	-0.226178	0.046632	0.008915	-0.020543	1022.259949	42.720623
280.766250	-1369.236694	-70856.335937	25038.595703	-0.254455	9.957387	-0.231305	0.007166	0.005156	-0.006676	1022.259949	42.720623
280.777500	-1296.163940	-70860.359375	25013.447266	-0.225740	9.990608	-0.204592	-0.018737	0.001019	0.001123	1022.259949	42.720623
280.788750	-1299.726929	-70860.429687	25041.115234	-0.253858	9.921210	-0.228383	-0.033858	-0.000382	0.007540	1022.259949	42.720623
