time	vector.x	vector.y	vector.z	accel.x	accel.y	accel.z	gyro.x	gyro.y	gyro.z	bar	therm
158.546250	115.580490	-50638.003906	21056.677734	0.022187	9.967860	-0.195124	0.057883	0.011719	-0.020031	1022.429993	41.295235
158.557500	56.591415	-50620.972656	20876.996094	0.007089	9.965050	-0.183731	0.061327	0.011231	-0.021163	1022.429993	41.295235
158.568750	12.840472	-50625.277344	21020.378906	0.029224	9.963905	-0.196471	0.051250	0.010436	-0.018959	1022.429993	41.295235
158.580000	4.686674	-50598.328125	20845.865234	0.023923	9.954545	-0.201735	0.030762	0.008337	-0.014944	1022.429993	41.295235
158.591250	-37.417072	-50658.937500	20901.580078	0.023019	9.959045	-0.204310	0.013668	0.006533	-0.008532	1022.429993	41.295235
158.602500	136.010971	-50647.285156	20976.994141	0.008390	9.965700	-0.183417	-0.008322	0.003457	-0.000469	1022.429993	41.295235
158.613750	25.364834	-50648.578125	21011.287109	0.011310	9.962798	-0.195246	-0.020236	0.000853	0.002408	1022.429993	41.295235
158.625000	-26.387451	-50623.640625	21029.529297	0.019579	9.948947	-0.196244	-0.035098	-0.000833	0.004737	1022.429993	41.295235
158.636250	45.577969	-50640.914062	21023.439453	0.013390	9.959197	-0.200003	-0.032715	-0.000312	0.001557	1022.429993	41.295235
158.647500	3.066602	-50642.042969	21018.664062	0.014812	9.965409	-0.193759	-0.018589	0.001078	-0.003391	1022.429993	41.295235
158.658750	30.523865	-50638.925781	20972.824219	0.014603	9.961319	-0.198073	-0.001585	0.004188	-0.010000	1022.429993	41.295235
158.670000	84.850243	-50627.925781	20902.496094	0.022935	9.970205	-0.199176	0.015600	0.006943	-0.013554	1022.429993	41.295235
158.681250	93.843307	-50629.574219	20928.474609	0.020147	9.966739	-0.198553	0.036217	0.008496	-0.016573	1022.429993	41.295235
158.692500	80.061737	-50612.222656	20999.447266	0.013974	9.962526	-0.195596	0.053412	0.010810	-0.020805	1022.429993	41.295235
158.703750	190.624969	-50579.632812	21082.675781	0.004056	9.968834	-0.189324	0.058022	0.011981	-0.020196	1022.469971	41.300117
158.715000	53.771187	-50620.144531	20947.740234	0.002571	9.964176	-0.191671	0.061235	0.012479	-0.021925	1022.469971	41.300117
158.726250	83.014374	-50638.406250	20972.212891	0.015955	9.966432	-0.196992	0.042385	0.009571	-0.018093	1022.469971	41.300117
158.737500	60.690445	-50662.074219	20957.482422	0.015630	9.953269	-0.203953	0.027071	0.007131	-0.014854	1022.469971	41.300117
158.748750	75.221153	-50653.031250	20997.753906	0.010127	9.962657	-0.183495	0.009433	0.004843	-0.010095	1022.469971	41.300117
158.760000	-11.557752	-50658.457031	21050.519531	0.019286	9.966198	-0.196779	-0.005969	0.004193	-0.001208	1022.469971	41.300117
158.771250	64.121552	-50630.062500	21047.460937	0.007218	9.966095	-0.197041	-0.024519	0.001277	0.003478	1022.469971	41.300117
