time	vector.x	vector.y	vector.z	accel.x	accel.y	accel.z	gyro.x	gyro.y	gyro.z	bar	therm
95.242500	-316.678802	-48882.363281	22331.115234	-0.010601	10.008784	-0.222566	0.052659	0.011216	-0.021031	1021.969971	38.220623
95.253750	-243.088486	-48960.425781	22287.898437	0.000685	10.020813	-0.212506	0.051824	0.011279	-0.020359	1021.969971	38.220623
95.265000	-261.243774	-48905.777344	22311.898437	-0.020840	10.034030	-0.230340	0.049309	0.010500	-0.018674	1021.969971	38.220623
95.276250	-189.394806	-48943.957031	22298.539062	-0.021974	10.007367	-0.227104	0.043975	0.010457	-0.015656	1021.969971	38.220623
95.287500	-150.057190	-48829.125000	22281.845703	-0.003201	10.002427	-0.213857	0.036581	0.009951	-0.013432	1021.969971	38.220623
95.298750	-253.137039	-48908.628906	22381.078125	-0.010025	10.030357	-0.213682	0.026077	0.008219	-0.011336	1021.969971	38.220623
95.310000	-210.509384	-48935.769531	22247.478516	-0.028875	10.031116	-0.219426	0.008474	0.006037	-0.006580	1021.949951	38.220623
95.321250	-224.986557	-48943.546875	22297.679687	-0.015139	9.966066	-0.211002	-0.003533	0.003988	-0.003114	1021.949951	38.220623
95.332500	-121.467499	-49004.535156	22281.396484	-0.012125	9.951697	-0.206078	-0.012229	0.003909	0.000449	1021.949951	38.220623
95.343750	-185.891739	-48950.691406	22472.519531	-0.024542	9.946410	-0.221298	-0.016823	0.002077	0.000973	1021.949951	38.220623
95.355000	-301.815796	-48980.851562	22363.421875	-0.030340	9.944623	-0.220976	-0.024649	0.001422	0.002829	1021.949951	38.220623
95.366250	-276.122131	-48943.417969	22290.425781	-0.010584	9.933477	-0.228803	-0.026503	0.001036	0.002791	1021.949951	38.220623
95.377500	-442.634552	-49039.574219	22399.607422	-0.010419	9.938262	-0.210366	-0.030548	-0.000270	0.002291	1021.949951	38.220623
95.388750	-288.235138	-48998.085937	22389.119141	-0.023593	9.936642	-0.223679	-0.026416	0.000138	0.001060	1021.949951	38.220623
95.400000	-181.239792	-49010.085937	22306.535156	-0.020981	9.936430	-0.217399	-0.021483	0.000135	-0.001256	1021.979980	38.222969
95.411250	-237.066025	-48979.468750	22208.083984	-0.012065	9.921631	-0.217488	-0.011788	0.000574	-0.006400	1021.979980	38.222969
95.422500	-158.725769	-48900.488281	22246.341797	-0.020428	9.934209	-0.216773	-0.005053	0.001963	-0.012039	1021.979980	38.222969
95.433750	-327.130859	-48972.925781	22236.039062	-0.012065	9.935169	-0.220703	0.006050	0.003681	-0.014742	1021.979980	38.222969
95.445000	-129.120544	-48899.828125	22188.433594	-0.017880	9.926254	-0.216517	0.016158	0.004669	-0.017412	1021.979980	38.222969
95.456250	-193.232254	-48970.328125	22306.117187	-0.004568	9.912414	-0.213801	0.030682	0.007852	-0.020029	1021.979980	38.222969
95.467500	-36.615452	-48902.722656	22335.470703	-0.004290	9.940572	-0.215010	0.043963	0.010042	-0.022047	1021.979980	38.222969
95.478750	-74.982430	-48945.195312	22248.187500	-0.009003	9.919990	-0.212775	0.052677	0.011325	-0.023393	1021.979980	38.222969
95.490000	-241.220444	-48898.183594	22161.937500	-0.011255	9.905849	-0.213462	0.059332	0.011569	-0.024241	1021.979980	38.222969
95.501250	-239.229996	-48934.843750	22167.132812	-0.020863	9.950500	-0.224512	0.055473	0.011303	-0.022071	1022.000000	38.230389
95.512500	-87.895416	-48922.218750	22243.019531	-0.017798	10.008232	-0.216112	0.055243	0.011429	-0.020710	1022.000000	38.230389
95.523750	-164.032013	-48865.500000	22177.117187	-0.020232	9.994447	-0.221174	0.051853	0.011911	-0.018325	1022.000000	38.230389
95.535000	-200.625809	-48932.863281	22232.917969	-0.022843	10.008734	-0.224238	0.051647	0.011784	-0.018066	1022.000000	38.230389
95.546250	-242.764343	-48852.769531	22194.322266	-0.020348	10.020400	-0.217702	0.040279	0.009451	-0.014789	1022.000000	38.230389
95.557500	-160.267014	-48945.449219	22199.248047	-0.017274	10.024302	-0.239342	0.028462	0.008402	-0.012444	1022.000000	38.230389
95.568750	-230.441956	-48876.289062	22281.417969	-0.006215	10.001678	-0.221276	0.017184	0.006672	-0.008963	1022.000000	38.230389
95.580000	-166.867569	-48957.636719	22182.703125	-0.017299	10.009618	-0.221260	0.002428	0.004386	-0.006750	1022.000000	38.230389
95.591250	-181.897537	-48935.921875	22352.539062	-0.005421	10.028996	-0.226448	-0.006272	0.003741	-0.004062	1022.000000	38.230389
95.602500	-207.519104	-48900.121094	22293.550781	-0.014443	10.027618	-0.211091	-0.011922	0.002947	-0.000199	1021.959961	38.230389
95.613750	-194.458313	-48971.781250	22401.365234	-0.019876	10.004303	-0.215603	-0.021083	0.001965	0.002631	1021.959961	38.230389
95.625000	-168.479645	-48965.156250	22408.482422	-0.015646	10.012600	-0.214754	-0.028276	0.000643	0.003408	1021.959961	38.230389
95.636250	-103.064133	-49058.531250	22362.394531	-0.013806	10.028281	-0.218929	-0.027289	0.000413	0.002543	1021.959961	38.230389
95.647500	-297.931183	-49005.671875	22343.458984	-0.020128	10.032905	-0.209287	-0.029667	-0.000470	0.002037	1021.959961	38.230389
95.658750	-284.546936	-49074.835937	22304.927734	-0.006696	10.022451	-0.224142	-0.025080	-0.000376	-0.000149	1021.959961	38.230389
95.670000	-204.161041	-49056.062500	22342.871094	-0.020898	10.028419	-0.220945	-0.019324	0.001424	-0.002394	1021.959961	38.230389
95.681250	-282.219025	-49078.722656	22428.685547	-0.018273	10.005826	-0.222496	-0.011228	0.001966	-0.007349	1021.959961	38.230389
95.692500	-184.258682	-49125.437500	22441.306641	-0.012734	9.950352	-0.223170	-0.002824	0.002115	-0.012431	1021.959961	38.230389
95.703750	-169.940079	-49066.875000	22394.234375	-0.019508	9.927250	-0.222388	0.015946	0.004823	-0.017823	1021.959961	38.237617
95.715000	-185.706482	-49158.039062	22352.294922	-0.019217	9.938672	-0.222430	0.028812	0.006032	-0.020688	1021.959961	38.237617
95.726250	-74.484924	-49131.957031	22373.300781	-0.020787	9.935721	-0.225783	0.036140	0.008067	-0.021014	1021.959961	38.237617
95.737500	-132.009735	-49203.648437	22427.857422	-0.005913	9.933618	-0.213271	0.050119	0.010347	-0.023155	1021.959961	38.237617
95.748750	-166.264954	-49166.699219	22504.908203	-0.018686	9.923018	-0.221491	0.054613	0.011429	-0.023670	1021.959961	38.237617
95.760000	-119.248825	-49229.777344	22419.839844	-0.018247	9.942085	-0.202687	0.059560	0.011660	-0.023370	1021.959961	38.237617
