time	vector.x	vector.y	vector.z	accel.x	accel.y	accel.z	gyro.x	gyro.y	gyro.z	bar	therm
67.556250	-4476.707031	-36360.687500	44143.859375	0.042171	9.969029	-0.246675	0.002034	0.002496	-0.012379	1022.119995	38.931953
67.567500	-4441.311523	-36346.003906	44036.609375	0.036776	9.961269	-0.246405	0.012907	0.004948	-0.015954	1022.119995	38.931953
67.578750	-4411.651367	-36282.183594	43944.488281	0.027251	9.966475	-0.256816	0.029190	0.006999	-0.020543	1022.119995	38.931953
67.590000	-4384.562988	-36319.011719	43945.062500	0.044629	9.965034	-0.255876	0.042080	0.008608	-0.022752	1022.119995	38.931953
67.601250	-4371.239258	-36264.953125	43951.222656	0.040996	9.970610	-0.267471	0.061614	0.011430	-0.025634	1022.109985	38.936836
67.612500	-4386.510742	-36309.238281	43946.101562	0.048965	9.961334	-0.250737	0.070763	0.013197	-0.026701	1022.109985	38.936836
67.623750	-4497.520020	-36278.914062	44050.953125	0.031453	9.965754	-0.248951	0.071152	0.013387	-0.024085	1022.109985	38.936836
67.635000	-4388.915039	-36301.253906	43924.792969	0.027599	9.965319	-0.251935	0.067059	0.012779	-0.022181	1022.109985	38.936836
67.646250	-4430.674805	-36290.664062	43970.394531	0.039721	9.967604	-0.259174	0.059393	0.011830	-0.019222	1022.109985	38.936836
67.657500	-4419.251953	-36261.589844	44122.597656	0.045784	9.973098	-0.245041	0.052962	0.010527	-0.018365	1022.109985	38.936836
67.668750	-4388.325684	-36299.316406	44002.574219	0.044261	9.958773	-0.263910	0.034050	0.009016	-0.013546	1022.109985	38.936836
67.680000	-4523.795410	-36270.433594	44030.554687	0.032628	9.963357	-0.241153	0.019540	0.006987	-0.010614	1022.109985	38.936836
67.691250	-4495.919922	-36338.578125	44002.839844	0.047849	9.964132	-0.245529	0.002553	0.004641	-0.007164	1022.109985	38.936836
67.702500	-4528.743652	-36306.250000	43899.355469	0.051297	9.972591	-0.261031	-0.012697	0.003287	-0.003927	1022.079956	38.939373
67.713750	-4387.928223	-36308.742187	43976.972656	0.051749	9.977720	-0.251613	-0.022393	0.001592	-0.000359	1022.079956	38.939373
67.725000	-4310.187500	-36247.488281	43912.574219	0.046724	9.965255	-0.246433	-0.032710	0.000129	0.003481	1022.079956	38.939373
67.736250	-4397.641602	-36274.671875	44061.667969	0.047889	9.969654	-0.242400	-0.035660	0.000399	0.006047	1022.079956	38.939373
67.747500	-4285.388672	-36284.593750	43964.128906	0.070961	9.969403	-0.249148	-0.035706	-0.000367	0.004983	1022.079956	38.939373
67.758750	-4299.808594	-36260.925781	43949.265625	0.039628	9.957409	-0.235498	-0.026729	0.000351	-5.244170E-5	1022.079956	38.939373
67.770000	-4479.152832	-36269.859375	43958.367187	0.025389	9.991591	-0.235823	-0.019818	-0.000578	-0.004579	1022.079956	38.939373
67.781250	-4458.175293	-36215.136719	43899.945312	0.036102	9.977092	-0.244333	-0.002310	0.002189	-0.008984	1022.079956	38.939373
67.792500	-4404.849609	-36291.167969	43902.718750	0.037833	9.953556	-0.248481	0.011030	0.005109	-0.014305	1022.079956	38.939373
67.803750	-4337.888184	-36237.316406	43927.718750	0.045850	9.985786	-0.247462	0.026763	0.007164	-0.019695	1022.109985	38.944256
67.815000	-4425.594727	-36279.113281	43885.492187	0.041271	9.960628	-0.256580	0.038760	0.008245	-0.021424	1022.109985	38.944256
67.826250	-4298.856934	-36245.050781	44055.304687	0.036351	9.962324	-0.251388	0.049481	0.010712	-0.023382	1022.109985	38.944256
67.837500	-4475.748047	-36234.824219	44050.613281	0.044271	9.987339	-0.253086	0.056350	0.011395	-0.024410	1022.109985	38.944256
67.848750	-4367.567383	-36199.753906	43954.582031	0.033714	9.972844	-0.259062	0.066390	0.013099	-0.023234	1022.109985	38.944256
67.860000	-4561.687988	-36221.925781	44043.718750	0.035931	9.965886	-0.244476	0.067132	0.013838	-0.021798	1022.109985	38.944256
67.871250	-4476.203125	-36263.027344	43981.546875	0.046666	9.967125	-0.257767	0.064737	0.013724	-0.020436	1022.109985	38.944256
67.882500	-4530.193359	-36245.820312	44024.378906	0.043231	9.968264	-0.250831	0.054241	0.011541	-0.017786	1022.109985	38.944256
67.893750	-4377.168457	-36275.050781	43957.472656	0.042567	9.976008	-0.247648	0.040666	0.009954	-0.015463	1022.109985	38.944256
67.905000	-4369.129883	-36229.203125	43957.375000	0.045857	9.971734	-0.251856	0.031696	0.009977	-0.012370	1022.089966	38.951485
67.916250	-4444.580566	-36255.066406	43886.992187	0.040365	9.955878	-0.243136	0.012052	0.007816	-0.007011	1022.089966	38.951485
67.927500	-4342.105469	-36245.367187	43913.070312	0.042764	9.970880	-0.250515	-0.003002	0.005873	-0.003175	1022.089966	38.951485
67.938750	-4323.513184	-36221.203125	43932.355469	0.026868	9.957564	-0.238349	-0.018770	0.002945	0.002186	1022.089966	38.951485
67.950000	-4318.572266	-36278.738281	43970.859375	0.035590	9.963920	-0.242208	-0.029608	0.000447	0.004334	1022.089966	38.951485
67.961250	-4446.166992	-36202.070312	44033.718750	0.036339	9.967636	-0.242360	-0.031346	0.000185	0.003810	1022.089966	38.951485
67.972500	-4395.794922	-36258.726562	43978.722656	0.035002	9.972579	-0.235165	-0.037875	-0.001109	0.004877	1022.089966	38.951485
