time	vector.x	vector.y	vector.z	accel.x	accel.y	accel.z	gyro.x	gyro.y	gyro.z	bar	therm
95.625000	934.147034	-46595.433594	20840.804687	0.064437	9.964084	-0.381326	-0.028994	0.000275	0.004976	1022.469971	39.487419
95.636250	993.783264	-46563.343750	20874.628906	0.064807	9.965895	-0.371943	-0.031294	0.000515	0.004823	1022.469971	39.487419
95.647500	986.050049	-46577.484375	20898.812500	0.064754	9.963663	-0.372423	-0.030036	-0.000126	0.002399	1022.469971	39.487419
95.658750	934.771667	-46541.457031	20809.662109	0.060387	9.977744	-0.357941	-0.022444	0.000286	-0.000537	1022.469971	39.487419
95.670000	877.025208	-46499.957031	20810.378906	0.062161	9.972767	-0.356400	-0.015378	0.002317	-0.005052	1022.469971	39.487419
95.681250	917.497192	-46576.777344	20969.783203	0.069817	9.969095	-0.378250	0.002688	0.004854	-0.010065	1022.469971	39.487419
95.692500	1038.652222	-46519.886719	20968.121094	0.062921	9.970398	-0.363581	0.017046	0.005826	-0.016308	1022.469971	39.487419
95.703750	940.770386	-46648.207031	20921.703125	0.058488	9.969666	-0.366756	0.030352	0.006730	-0.020780	1022.469971	39.492302
95.715000	1031.189819	-46585.992187	20969.988281	0.050096	9.971642	-0.376047	0.049374	0.009923	-0.022993	1022.469971	39.492302
95.726250	897.107483	-46666.421875	20981.908203	0.066477	9.974118	-0.378586	0.062044	0.011430	-0.024087	1022.469971	39.492302
95.737500	897.534119	-46598.437500	20866.000000	0.065595	9.959541	-0.375495	0.071370	0.013690	-0.024371	1022.469971	39.492302
95.748750	949.504272	-46601.894531	20970.324219	0.070804	9.969095	-0.367422	0.066167	0.013177	-0.020842	1022.469971	39.492302
95.760000	971.470947	-46605.933594	20928.867187	0.073137	9.962313	-0.363122	0.063692	0.012907	-0.018211	1022.469971	39.492302
95.771250	938.588562	-46560.039062	20846.257812	0.062869	9.966224	-0.362060	0.047443	0.011045	-0.015058	1022.469971	39.492302
95.782500	922.807251	-46657.457031	20944.671875	0.075026	9.960444	-0.371231	0.037105	0.010220	-0.014106	1022.469971	39.492302
