time	vector.x	vector.y	vector.z	accel.x	accel.y	accel.z	gyro.x	gyro.y	gyro.z	bar	therm
83.902500	2040.215576	-51112.859375	19537.093750	-0.140782	9.985188	-0.043066	0.049898	0.012126	-0.018419	1021.789978	37.952656
83.913750	2042.200684	-51119.019531	19449.527344	-0.153309	9.978159	-0.049879	0.049686	0.010819	-0.017359	1021.789978	37.952656
83.925000	2041.398193	-51093.253906	19448.171875	-0.156614	9.982501	-0.058074	0.044904	0.010892	-0.015886	1021.789978	37.952656
83.936250	1932.711792	-51117.816406	19550.064453	-0.153926	9.965939	-0.046838	0.041619	0.009203	-0.014804	1021.789978	37.952656
83.947500	2001.619751	-51113.476562	19430.000000	-0.147903	9.969232	-0.041066	0.040404	0.010028	-0.014461	1021.789978	37.952656
83.958750	1968.355591	-51149.175781	19366.744141	-0.144496	9.982161	-0.045008	0.027840	0.008296	-0.011778	1021.789978	37.952656
83.970000	2011.868652	-51119.050781	19435.560547	-0.148290	9.971890	-0.038937	0.018747	0.007321	-0.008603	1021.789978	37.952656
83.981250	1945.905396	-51145.265625	19425.900391	-0.151314	9.965021	-0.042980	0.008774	0.005666	-0.007895	1021.789978	37.952656
83.992500	1998.579712	-51144.804687	19547.572266	-0.149086	9.971642	-0.031303	-0.002596	0.004018	-0.005864	1021.789978	37.952656
84.003750	1933.310425	-51169.195312	19536.843750	-0.142149	9.964585	-0.039741	-0.016103	0.001336	-0.002141	1021.759949	37.955193
84.015000	2014.880005	-51162.035156	19514.542969	-0.151130	9.972229	-0.043949	-0.015155	0.002462	0.000478	1021.759949	37.955193
84.026250	2025.990845	-51137.351562	19582.939453	-0.150383	9.966715	-0.044498	-0.018063	0.001674	0.001320	1021.759949	37.955193
84.037500	2069.488525	-51159.152344	19467.406250	-0.140367	9.973046	-0.039620	-0.025613	0.000790	0.001869	1021.759949	37.955193
84.048750	1998.900757	-51144.171875	19383.119141	-0.152606	9.968264	-0.044305	-0.026665	0.000560	0.000987	1021.759949	37.955193
84.060000	2099.572754	-51126.363281	19497.789062	-0.152306	9.971179	-0.037044	-0.025852	2.304306E-5	-0.000593	1021.759949	37.955193
84.071250	1965.973267	-51119.980469	19258.589844	-0.159776	9.958042	-0.055021	-0.022491	0.000591	-0.002746	1021.759949	37.955193
84.082500	2134.693604	-51133.500000	19529.802734	-0.137073	9.968856	-0.053411	-0.014940	0.001132	-0.004691	1021.759949	37.955193
84.093750	1968.934814	-51122.144531	19492.701172	-0.134436	9.972342	-0.042663	-0.005088	0.002908	-0.006129	1021.759949	37.955193
84.105000	1990.581055	-51126.585937	19500.056641	-0.145878	9.964146	-0.038044	-0.001031	0.002882	-0.010908	1021.759949	37.957539
84.116250	2054.524414	-51141.289062	19451.238281	-0.136518	9.972448	-0.045057	0.009710	0.005190	-0.014548	1021.759949	37.957539
84.127500	1973.909790	-51154.144531	19337.335937	-0.161511	9.965782	-0.044739	0.022694	0.006859	-0.017284	1021.759949	37.957539
84.138750	1877.878296	-51149.824219	19471.226562	-0.149676	9.972522	-0.039538	0.028432	0.008376	-0.017648	1021.759949	37.957539
84.150000	1922.764526	-51125.925781	19350.156250	-0.148683	9.974187	-0.043412	0.034370	0.008941	-0.018073	1021.759949	37.957539
84.161250	1925.766968	-51132.453125	19544.679687	-0.144726	9.976010	-0.045241	0.045102	0.010135	-0.020169	1021.759949	37.957539
84.172500	2001.241699	-51114.988281	19446.699219	-0.146421	9.978750	-0.065481	0.047521	0.010689	-0.019723	1021.759949	37.957539
84.183750	2038.574585	-51131.500000	19477.687500	-0.145800	9.985339	-0.041329	0.049241	0.011219	-0.019887	1021.759949	37.957539
84.195000	2060.694580	-51150.464844	19664.416016	-0.148503	9.976589	-0.043789	0.049065	0.010367	-0.018902	1021.759949	37.957539
84.206250	2000.198364	-51155.253906	19589.105469	-0.151662	9.973268	-0.029227	0.049175	0.010107	-0.017759	1021.809998	37.964958
84.217500	2010.759644	-51132.855469	19451.669922	-0.145319	9.985142	-0.032641	0.044410	0.010103	-0.015760	1021.809998	37.964958
84.228750	2060.804199	-51120.542969	19423.064453	-0.134303	9.980282	-0.035249	0.036124	0.009722	-0.013910	1021.809998	37.964958
84.240000	2131.312256	-51140.429687	19394.107422	-0.147210	9.980093	-0.050911	0.029919	0.008543	-0.012447	1021.809998	37.964958
84.251250	2021.042969	-51136.218750	19343.429687	-0.145931	9.979743	-0.055888	0.014494	0.006234	-0.008082	1021.809998	37.964958
84.262500	1944.168335	-51141.824219	19543.890625	-0.148280	9.977558	-0.051599	0.010661	0.006086	-0.007206	1021.809998	37.964958
84.273750	2018.121826	-51114.261719	19446.767578	-0.153589	9.982613	-0.042133	-0.001430	0.004439	-0.005894	1021.809998	37.964958
84.285000	1979.675171	-51122.589844	19447.177734	-0.149231	9.990647	-0.054167	-0.008153	0.004303	-0.002110	1021.809998	37.964958
84.296250	1987.689941	-51124.390625	19467.341797	-0.155329	9.982848	-0.038142	-0.014308	0.002526	0.000513	1021.809998	37.964958
84.307500	1985.211426	-51089.441406	19559.558594	-0.137756	9.978185	-0.037646	-0.023754	0.001888	0.002363	1021.809998	37.967304
84.318750	2048.502686	-51123.546875	19508.597656	-0.143557	9.977990	-0.041075	-0.021772	0.001425	0.000374	1021.809998	37.967304
84.330000	1888.657227	-51136.746094	19476.062500	-0.137951	9.984686	-0.055168	-0.029235	0.000487	0.002189	1021.809998	37.967304
84.341250	1882.649414	-51127.851562	19480.234375	-0.150077	9.970081	-0.051176	-0.026530	-0.000346	0.001264	1021.809998	37.967304
84.352500	1909.918579	-51110.515625	19393.656250	-0.139704	9.981429	-0.050040	-0.024150	-0.000404	-0.001026	1021.809998	37.967304
84.363750	2034.921631	-51147.480469	19613.244141	-0.147271	9.978383	-0.046567	-0.012480	0.001865	-0.004713	1021.809998	37.967304
84.375000	2116.228027	-51124.542969	19404.753906	-0.142424	9.982268	-0.034599	-0.009309	0.002386	-0.010173	1021.809998	37.967304
84.386250	2144.914551	-51116.597656	19456.863281	-0.145024	9.975392	-0.041922	0.000433	0.003281	-0.012790	1021.809998	37.967304
84.397500	1968.679321	-51139.269531	19429.492187	-0.152430	9.981819	-0.047625	0.007922	0.004322	-0.013643	1021.809998	37.967304
84.408750	1994.822998	-51149.046875	19378.777344	-0.148678	9.981125	-0.043646	0.017302	0.006065	-0.016288	1021.789978	37.972187
84.420000	1976.439087	-51168.976562	19419.468750	-0.155038	9.981076	-0.048034	0.031563	0.008186	-0.018642	1021.789978	37.972187
84.431250	1978.275391	-51131.218750	19435.912109	-0.147838	9.974665	-0.042463	0.040347	0.009257	-0.019145	1021.789978	37.972187
84.442500	1972.060059	-51151.109375	19395.998047	-0.147339	9.969578	-0.045953	0.043160	0.009869	-0.019044	1021.789978	37.972187
84.453750	2017.096680	-51138.761719	19386.169922	-0.144008	9.955684	-0.044149	0.050468	0.010656	-0.021427	1021.789978	37.972187
84.465000	1998.462891	-51116.757812	19281.646484	-0.135032	9.972271	-0.031465	0.046732	0.011195	-0.019805	1021.789978	37.972187
84.476250	1988.203613	-51124.238281	19431.246094	-0.143199	9.961725	-0.051090	0.047708	0.010528	-0.018208	1021.789978	37.972187
84.487500	2024.176025	-51140.332031	19476.244141	-0.152492	9.962849	-0.035522	0.051304	0.011952	-0.017861	1021.789978	37.972187
84.498750	2071.357910	-51156.601562	19420.929687	-0.140328	9.971375	-0.048060	0.045947	0.010165	-0.016109	1021.789978	37.972187
84.510000	2001.248413	-51166.800781	19212.064453	-0.152630	9.978099	-0.050496	0.042430	0.010166	-0.014770	1021.779968	37.974724
84.521250	1988.704468	-51166.828125	19251.044922	-0.153788	9.979781	-0.051782	0.029760	0.008876	-0.012474	1021.779968	37.974724
84.532500	1937.536011	-51151.523437	19449.833984	-0.142682	9.981439	-0.044188	0.015503	0.006411	-0.008787	1021.779968	37.974724
84.543750	1924.821045	-51162.578125	19343.964844	-0.147141	9.976562	-0.044735	0.006503	0.005729	-0.007080	1021.779968	37.974724
84.555000	2016.167114	-51155.949219	19313.314453	-0.151691	9.983371	-0.037727	0.002413	0.005788	-0.003721	1021.779968	37.974724
84.566250	2046.843750	-51149.226562	19465.464844	-0.147683	9.982448	-0.038697	-0.005206	0.003938	-0.001201	1021.779968	37.974724
84.577500	1978.230835	-51167.808594	19459.705078	-0.139228	9.989271	-0.041505	-0.012257	0.003659	-0.000430	1021.779968	37.974724
84.588750	1976.779297	-51123.804687	19412.232422	-0.151196	9.986094	-0.026470	-0.019857	0.002350	0.000635	1021.779968	37.974724
84.600000	1947.710449	-51161.066406	19337.230469	-0.157942	9.989652	-0.042184	-0.026679	0.001017	0.002669	1021.799988	37.977070
84.611250	1984.008301	-51146.425781	19335.212891	-0.137731	9.986690	-0.041184	-0.025929	-0.000240	0.000525	1021.799988	37.977070
84.622500	2105.962158	-51162.167969	19363.351562	-0.148657	9.977698	-0.049966	-0.025107	3.108661E-5	0.000461	1021.799988	37.977070
84.633750	2086.059082	-51142.070312	19393.636719	-0.147415	9.983705	-0.050023	-0.022156	0.000570	-0.000862	1021.799988	37.977070
84.645000	2054.639648	-51123.160156	19344.289062	-0.151108	9.978514	-0.041418	-0.018840	0.000839	-0.004189	1021.799988	37.977070
84.656250	1942.417358	-51118.140625	19394.318359	-0.154037	9.977234	-0.034894	-0.009871	0.001674	-0.009067	1021.799988	37.977070
84.667500	2077.806641	-51122.867187	19437.816406	-0.146620	9.978657	-0.040629	-0.001810	0.003710	-0.011725	1021.799988	37.977070
