time	vector.x	vector.y	vector.z	accel.x	accel.y	accel.z	gyro.x	gyro.y	gyro.z	bar	therm
92.047500	3957.070068	-51357.054687	18614.964844	-0.047589	9.970092	-0.038517	-0.012772	-0.002535	-0.006453	1016.500000	34.015743
92.058750	4004.502686	-51364.492187	18584.572266	0.000506	9.913023	-0.036664	-0.008822	-0.001719	-0.008409	1016.500000	34.015743
92.070000	3808.620605	-51351.867187	18642.843750	-0.009441	9.936389	-0.078028	-0.008182	0.000555	-0.009917	1016.500000	34.015743
92.081250	3757.335449	-51369.035156	18705.583984	-0.053746	9.986735	-0.055634	-0.014880	-0.000668	-0.008083	1016.500000	34.015743
92.092500	3802.856934	-51341.757812	18546.996094	0.007595	9.944448	-0.018859	-0.012236	-0.002625	-0.011020	1016.500000	34.015743
92.103750	3956.767334	-51377.324219	18555.789062	-0.012281	9.967995	-0.094013	-0.006723	0.004195	-0.009451	1016.519958	34.020626
92.115000	3869.263916	-51363.992187	18745.177734	-0.116871	10.079000	-0.133399	-0.017982	0.005574	-0.002129	1016.519958	34.020626
92.126250	3886.123291	-51365.910156	18558.195312	-0.003587	9.970510	-0.050211	-0.032084	0.003233	0.002317	1016.519958	34.020626
92.137500	3902.548584	-51349.414062	18526.056641	0.024826	9.862098	0.031968	-0.025020	0.003729	-0.005281	1016.519958	34.020626
92.148750	3969.964355	-51338.195312	18593.738281	-0.029929	9.934456	-0.028182	-0.015891	0.005186	-0.008687	1016.519958	34.020626
92.160000	3957.548828	-51347.156250	18690.689453	-0.048640	9.958817	-0.052951	-0.018927	0.003652	-0.005331	1016.519958	34.020626
92.171250	4045.755371	-51335.277344	18635.638672	-0.021477	9.932155	-0.015324	-0.017371	0.001880	-0.006144	1016.519958	34.020626
92.182500	3880.345947	-51338.671875	18568.798828	-0.033088	9.946409	-0.015015	-0.011460	0.003222	-0.009080	1016.519958	34.020626
92.193750	3912.087646	-51316.480469	18526.369141	-0.032384	9.954148	-0.035364	-0.003978	0.002254	-0.009965	1016.519958	34.020626
92.205000	3938.041016	-51324.917969	18592.919922	-0.035192	9.952209	-0.061539	-0.005822	0.002141	-0.008269	1016.559998	34.025509
92.216250	3820.743652	-51305.449219	18572.650391	-0.019518	9.989796	-0.061562	-0.005481	0.003539	-0.007610	1016.559998	34.025509
92.227500	3930.270508	-51324.003906	18644.130859	-0.028601	10.038844	-0.069477	-0.015758	0.002452	-0.006827	1016.559998	34.025509
92.238750	3946.014893	-51320.257812	18578.111328	-0.028843	10.036651	-0.048750	-0.014856	0.003055	-0.006658	1016.559998	34.025509
92.250000	3954.572754	-51277.148437	18573.708984	-0.028789	10.001550	-0.029879	-0.013490	0.003201	-0.005928	1016.559998	34.025509
92.261250	3967.321289	-51306.664062	18557.128906	-0.021677	9.996562	-0.042037	-0.013492	0.003338	-0.005813	1016.559998	34.025509
92.272500	4031.545166	-51288.605469	18616.755859	-0.031128	9.997821	-0.036516	-0.011768	0.004275	-0.006187	1016.559998	34.025509
92.283750	3882.094971	-51278.691406	18689.820312	-0.020233	10.010447	-0.028946	-0.006562	0.004483	-0.006950	1016.559998	34.025509
92.295000	3943.769775	-51216.457031	18669.716797	-0.024161	9.998669	-0.020567	-0.004840	0.005020	-0.005758	1016.559998	34.025509
92.306250	3909.173096	-51230.363281	18638.142578	-0.015734	9.980025	-0.028885	-0.005039	0.004081	-0.006452	1016.519958	34.032928
92.317500	4042.889893	-51212.082031	18627.642578	-0.022131	10.002353	-0.039998	-0.000947	0.004195	-0.007941	1016.519958	34.032928
92.328750	4171.502441	-51202.902344	18679.558594	-0.030247	10.026745	-0.027524	-0.007386	0.001381	-0.008123	1016.519958	34.032928
92.340000	4090.340332	-51216.992187	18430.437500	-0.040700	10.027003	-0.035356	-0.008168	0.002611	-0.006906	1016.519958	34.032928
92.351250	3943.548828	-51220.109375	18595.191406	-0.014700	10.021771	-0.053904	-0.007933	0.003199	-0.004764	1016.519958	34.032928
92.362500	3964.888916	-51214.656250	18498.945312	-0.015042	9.988551	-0.035400	-0.006250	0.004913	-0.005235	1016.519958	34.032928
92.373750	3965.806396	-51213.480469	18542.337891	-0.022741	9.991146	-0.032413	-0.000198	0.004767	-0.009258	1016.519958	34.032928
92.385000	4036.062988	-51198.378906	18561.037109	-0.054159	10.008414	-0.050836	-0.001807	0.005314	-0.007358	1016.519958	34.032928
92.396250	4010.305420	-51190.082031	18632.761719	-0.031158	10.012091	-0.051418	0.000979	0.005868	-0.006936	1016.519958	34.032928
92.407500	3978.890137	-51173.011719	18685.298828	-0.016224	9.997536	-0.024916	0.001536	0.005907	-0.006747	1016.539978	34.030392
92.418750	4040.159668	-51129.824219	18562.550781	-0.021673	9.987676	-0.040451	0.002670	0.005246	-0.008047	1016.539978	34.030392
92.430000	4013.347900	-51177.347656	18594.828125	-0.019691	9.938817	-0.047026	-0.003673	0.003068	-0.008113	1016.539978	34.030392
